metric,model,method,baseline,backend,mode,phase,batch,tokens,k,unit,formula,source_commit,source_run,source_file,source_key,numerator,denominator,session,statistic,value
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,0,pooled median of 150 samples,10163.477746829489
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,1,session median,10172.58061058015
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,2,session median,10158.482885478868
prefill_throughput,3b,fp16,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,3,session median,10155.22159483919
prefill_throughput,3b,hadamard,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,0,pooled median of 150 samples,12819.741405738194
prefill_throughput,3b,hadamard,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,1,session median,12824.192437971522
prefill_throughput,3b,hadamard,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,2,session median,12816.325525532222
prefill_throughput,3b,hadamard,,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,input tokens/s,median(batch * 2048 / elapsed_s),6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",null,null,3,session median,12826.891625751941
prefill_speedup,3b,hadamard,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12819.741405738194,10163.477746829489,0,ratio of pooled medians (150 samples per method),1.2613538126491526
prefill_speedup,3b,hadamard,fp16,original binary; uniform0..255 cohort,eager_sequence,prefill1,1,2048,8,ratio,throughput_method / throughput_FP16,6747960b96b0b03e626e98eaeeccf0d1abc34e79,results/e28_v2/20260912_a40_v2_full_int4,"[""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_hadamard_eager_sequence_prefill1_s3.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s1.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s2.json"", ""results/e28_v2/20260912_a40_v2_full_int4/raw_runs/3b_fp16_eager_sequence_prefill1_s3.json""]","[""/samples/*/prefill_tokens_per_second"", ""/summary/median"", ""/samples/*/prefill_tokens_per_second"", ""/summary/median""]",12819.741405738194,10163.477746829489,1,paired session ratio,1.2606626507961531
