model,site,layer,method,sample_row,sequence_index,token_position,source_persistent_channel,display_group,relative_channel,signed_value,group_mean,group_range,group_size,bos_excluded
llama32_3b,down_input,1,raw,684,10,1760,1419,11,0,-0.01129150390625,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,1,-0.000919342041015625,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,2,-0.0157470703125,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,3,-0.0250244140625,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,4,-0.000637054443359375,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,5,-0.000652313232421875,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,6,-0.0106201171875,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,7,-0.00616455078125,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,8,0.00531005859375,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,9,-0.000728607177734375,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,10,0.001922607421875,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,11,0.478515625,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,12,-0.0033416748046875,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,13,-0.006317138671875,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,14,-0.037109375,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,15,-0.0034942626953125,0.006756679154932499,0.521240234375,128,True
llama32_3b,down_input,1,raw,684,10,1760,1419,11,16,0.005096435546875,0.006756679154932499,0.521240234375,128,True
