panel,model,layer,method,metric,x,y,source_commit,source_file,source_csv_line,source_field,formula,x_unit,y_unit,round_for_display_only
a,llama32_3b,0,duquant_style,f,0,0.6413377648067778,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,194,f,identity,layer index,dimensionless,True
a,llama32_3b,1,duquant_style,f,1,0.9994934846839244,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,195,f,identity,layer index,dimensionless,True
a,llama32_3b,2,duquant_style,f,2,0.014847157181568,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,196,f,identity,layer index,dimensionless,True
a,llama32_3b,3,duquant_style,f,3,0.0235709058310356,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,197,f,identity,layer index,dimensionless,True
a,llama32_3b,4,duquant_style,f,4,0.0309312090159486,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,198,f,identity,layer index,dimensionless,True
a,llama32_3b,5,duquant_style,f,5,0.0218996595299557,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,199,f,identity,layer index,dimensionless,True
a,llama32_3b,6,duquant_style,f,6,0.0187691780382972,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,200,f,identity,layer index,dimensionless,True
a,llama32_3b,7,duquant_style,f,7,0.0131600841853109,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,201,f,identity,layer index,dimensionless,True
a,llama32_3b,8,duquant_style,f,8,0.0118406039276663,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,202,f,identity,layer index,dimensionless,True
a,llama32_3b,9,duquant_style,f,9,0.0133243012041063,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,203,f,identity,layer index,dimensionless,True
a,llama32_3b,10,duquant_style,f,10,0.0174209664908804,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,204,f,identity,layer index,dimensionless,True
a,llama32_3b,11,duquant_style,f,11,0.0160759440316372,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,205,f,identity,layer index,dimensionless,True
a,llama32_3b,12,duquant_style,f,12,0.0223310040893468,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,206,f,identity,layer index,dimensionless,True
a,llama32_3b,13,duquant_style,f,13,0.0494414735512738,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,207,f,identity,layer index,dimensionless,True
a,llama32_3b,14,duquant_style,f,14,0.0185482915508101,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,208,f,identity,layer index,dimensionless,True
a,llama32_3b,15,duquant_style,f,15,0.0324286599309259,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,209,f,identity,layer index,dimensionless,True
a,llama32_3b,16,duquant_style,f,16,0.0309288803250878,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,210,f,identity,layer index,dimensionless,True
a,llama32_3b,17,duquant_style,f,17,0.0225026391677198,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,211,f,identity,layer index,dimensionless,True
a,llama32_3b,18,duquant_style,f,18,0.0235559335733189,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,212,f,identity,layer index,dimensionless,True
a,llama32_3b,19,duquant_style,f,19,0.0356477333428067,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,213,f,identity,layer index,dimensionless,True
a,llama32_3b,20,duquant_style,f,20,0.0238337161460492,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,214,f,identity,layer index,dimensionless,True
a,llama32_3b,21,duquant_style,f,21,0.0256290734673852,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,215,f,identity,layer index,dimensionless,True
a,llama32_3b,22,duquant_style,f,22,0.0336255120978659,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,216,f,identity,layer index,dimensionless,True
a,llama32_3b,23,duquant_style,f,23,0.0564371098414961,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,217,f,identity,layer index,dimensionless,True
a,llama32_3b,24,duquant_style,f,24,0.0291744161528624,519ddad56370051e59afbc83d18aa35db0456d55,figures/fig2_capture.csv,218,f,identity,layer index,dimensionless,True
