model,site,layer,method,mean_group_range,evaluation_tokens,source_file,source_csv_line,source_row,source_column
llama32_3b,down,0,duquant,0.0621607229113578,8192,results/llama32_3b/e1c_per_layer.csv,233,down_input;layer=0;method=duquant,mean_group_range
llama32_3b,down,1,duquant,0.0735238790512085,8192,results/llama32_3b/e1c_per_layer.csv,234,down_input;layer=1;method=duquant,mean_group_range
llama32_3b,down,2,duquant,0.1065815687179565,8192,results/llama32_3b/e1c_per_layer.csv,235,down_input;layer=2;method=duquant,mean_group_range
llama32_3b,down,3,duquant,0.1457826048135757,8192,results/llama32_3b/e1c_per_layer.csv,236,down_input;layer=3;method=duquant,mean_group_range
llama32_3b,down,4,duquant,0.1794823557138443,8192,results/llama32_3b/e1c_per_layer.csv,237,down_input;layer=4;method=duquant,mean_group_range
llama32_3b,down,5,duquant,0.2058693170547485,8192,results/llama32_3b/e1c_per_layer.csv,238,down_input;layer=5;method=duquant,mean_group_range
llama32_3b,down,6,duquant,0.2243503928184509,8192,results/llama32_3b/e1c_per_layer.csv,239,down_input;layer=6;method=duquant,mean_group_range
llama32_3b,down,7,duquant,0.2308713495731353,8192,results/llama32_3b/e1c_per_layer.csv,240,down_input;layer=7;method=duquant,mean_group_range
llama32_3b,down,8,duquant,0.2369678020477295,8192,results/llama32_3b/e1c_per_layer.csv,241,down_input;layer=8;method=duquant,mean_group_range
llama32_3b,down,9,duquant,0.2401328980922699,8192,results/llama32_3b/e1c_per_layer.csv,242,down_input;layer=9;method=duquant,mean_group_range
llama32_3b,down,10,duquant,0.2485536038875579,8192,results/llama32_3b/e1c_per_layer.csv,243,down_input;layer=10;method=duquant,mean_group_range
llama32_3b,down,11,duquant,0.2559197247028351,8192,results/llama32_3b/e1c_per_layer.csv,244,down_input;layer=11;method=duquant,mean_group_range
llama32_3b,down,12,duquant,0.2781388163566589,8192,results/llama32_3b/e1c_per_layer.csv,245,down_input;layer=12;method=duquant,mean_group_range
llama32_3b,down,13,duquant,0.2988587319850921,8192,results/llama32_3b/e1c_per_layer.csv,246,down_input;layer=13;method=duquant,mean_group_range
llama32_3b,down,14,duquant,0.3369852304458618,8192,results/llama32_3b/e1c_per_layer.csv,247,down_input;layer=14;method=duquant,mean_group_range
llama32_3b,down,15,duquant,0.352651298046112,8192,results/llama32_3b/e1c_per_layer.csv,248,down_input;layer=15;method=duquant,mean_group_range
llama32_3b,down,16,duquant,0.3460878431797027,8192,results/llama32_3b/e1c_per_layer.csv,249,down_input;layer=16;method=duquant,mean_group_range
llama32_3b,down,17,duquant,0.3529954552650451,8192,results/llama32_3b/e1c_per_layer.csv,250,down_input;layer=17;method=duquant,mean_group_range
llama32_3b,down,18,duquant,0.3622476160526275,8192,results/llama32_3b/e1c_per_layer.csv,251,down_input;layer=18;method=duquant,mean_group_range
llama32_3b,down,19,duquant,0.4080713987350464,8192,results/llama32_3b/e1c_per_layer.csv,252,down_input;layer=19;method=duquant,mean_group_range
llama32_3b,down,20,duquant,0.3995206356048584,8192,results/llama32_3b/e1c_per_layer.csv,253,down_input;layer=20;method=duquant,mean_group_range
llama32_3b,down,21,duquant,0.4078128933906555,8192,results/llama32_3b/e1c_per_layer.csv,254,down_input;layer=21;method=duquant,mean_group_range
llama32_3b,down,22,duquant,0.4262249171733856,8192,results/llama32_3b/e1c_per_layer.csv,255,down_input;layer=22;method=duquant,mean_group_range
llama32_3b,down,23,duquant,0.4777608513832092,8192,results/llama32_3b/e1c_per_layer.csv,256,down_input;layer=23;method=duquant,mean_group_range
llama32_3b,down,24,duquant,0.5601572394371033,8192,results/llama32_3b/e1c_per_layer.csv,257,down_input;layer=24;method=duquant,mean_group_range
llama32_3b,down,25,duquant,0.6956270337104797,8192,results/llama32_3b/e1c_per_layer.csv,258,down_input;layer=25;method=duquant,mean_group_range
llama32_3b,down,26,duquant,0.8797279596328735,8192,results/llama32_3b/e1c_per_layer.csv,259,down_input;layer=26;method=duquant,mean_group_range
llama32_3b,down,27,duquant,1.5854662656784058,8192,results/llama32_3b/e1c_per_layer.csv,260,down_input;layer=27;method=duquant,mean_group_range
llama32_3b,down,0,hadamard_full,0.0744665786623954,8192,results/llama32_3b/e1c_per_layer.csv,116,down_input;layer=0;method=hadamard_full,mean_group_range
llama32_3b,down,1,hadamard_full,0.2666968405246734,8192,results/llama32_3b/e1c_per_layer.csv,120,down_input;layer=1;method=hadamard_full,mean_group_range
llama32_3b,down,2,hadamard_full,0.1158598884940147,8192,results/llama32_3b/e1c_per_layer.csv,124,down_input;layer=2;method=hadamard_full,mean_group_range
llama32_3b,down,3,hadamard_full,0.1529928147792816,8192,results/llama32_3b/e1c_per_layer.csv,128,down_input;layer=3;method=hadamard_full,mean_group_range
llama32_3b,down,4,hadamard_full,0.1879771202802658,8192,results/llama32_3b/e1c_per_layer.csv,132,down_input;layer=4;method=hadamard_full,mean_group_range
llama32_3b,down,5,hadamard_full,0.2139695733785629,8192,results/llama32_3b/e1c_per_layer.csv,136,down_input;layer=5;method=hadamard_full,mean_group_range
llama32_3b,down,6,hadamard_full,0.2327222675085067,8192,results/llama32_3b/e1c_per_layer.csv,140,down_input;layer=6;method=hadamard_full,mean_group_range
llama32_3b,down,7,hadamard_full,0.236611932516098,8192,results/llama32_3b/e1c_per_layer.csv,144,down_input;layer=7;method=hadamard_full,mean_group_range
llama32_3b,down,8,hadamard_full,0.242477685213089,8192,results/llama32_3b/e1c_per_layer.csv,148,down_input;layer=8;method=hadamard_full,mean_group_range
llama32_3b,down,9,hadamard_full,0.2455063462257385,8192,results/llama32_3b/e1c_per_layer.csv,152,down_input;layer=9;method=hadamard_full,mean_group_range
llama32_3b,down,10,hadamard_full,0.255141943693161,8192,results/llama32_3b/e1c_per_layer.csv,156,down_input;layer=10;method=hadamard_full,mean_group_range
llama32_3b,down,11,hadamard_full,0.262346863746643,8192,results/llama32_3b/e1c_per_layer.csv,160,down_input;layer=11;method=hadamard_full,mean_group_range
llama32_3b,down,12,hadamard_full,0.2868539690971374,8192,results/llama32_3b/e1c_per_layer.csv,164,down_input;layer=12;method=hadamard_full,mean_group_range
llama32_3b,down,13,hadamard_full,0.312255322933197,8192,results/llama32_3b/e1c_per_layer.csv,168,down_input;layer=13;method=hadamard_full,mean_group_range
llama32_3b,down,14,hadamard_full,0.352533608675003,8192,results/llama32_3b/e1c_per_layer.csv,172,down_input;layer=14;method=hadamard_full,mean_group_range
llama32_3b,down,15,hadamard_full,0.3728830814361572,8192,results/llama32_3b/e1c_per_layer.csv,176,down_input;layer=15;method=hadamard_full,mean_group_range
llama32_3b,down,16,hadamard_full,0.3676233887672424,8192,results/llama32_3b/e1c_per_layer.csv,180,down_input;layer=16;method=hadamard_full,mean_group_range
llama32_3b,down,17,hadamard_full,0.3734050095081329,8192,results/llama32_3b/e1c_per_layer.csv,184,down_input;layer=17;method=hadamard_full,mean_group_range
llama32_3b,down,18,hadamard_full,0.3817839026451111,8192,results/llama32_3b/e1c_per_layer.csv,188,down_input;layer=18;method=hadamard_full,mean_group_range
llama32_3b,down,19,hadamard_full,0.4387293457984924,8192,results/llama32_3b/e1c_per_layer.csv,192,down_input;layer=19;method=hadamard_full,mean_group_range
llama32_3b,down,20,hadamard_full,0.4259110689163208,8192,results/llama32_3b/e1c_per_layer.csv,196,down_input;layer=20;method=hadamard_full,mean_group_range
