model,site,layer,method,nmse,evaluation_tokens,source_file,source_csv_line,source_row,source_column
llama32_3b,down,0,duquant,0.0035666133809434,8192,results/llama32_3b/e1c_per_layer.csv,233,down_input;layer=0;method=duquant,relative_quantization_error_nmse
llama32_3b,down,1,duquant,5.083529878099939e-06,8192,results/llama32_3b/e1c_per_layer.csv,234,down_input;layer=1;method=duquant,relative_quantization_error_nmse
llama32_3b,down,2,duquant,0.0098663001582632,8192,results/llama32_3b/e1c_per_layer.csv,235,down_input;layer=2;method=duquant,relative_quantization_error_nmse
llama32_3b,down,3,duquant,0.0097330744200203,8192,results/llama32_3b/e1c_per_layer.csv,236,down_input;layer=3;method=duquant,relative_quantization_error_nmse
llama32_3b,down,4,duquant,0.0097129138833184,8192,results/llama32_3b/e1c_per_layer.csv,237,down_input;layer=4;method=duquant,relative_quantization_error_nmse
llama32_3b,down,5,duquant,0.0099319621868947,8192,results/llama32_3b/e1c_per_layer.csv,238,down_input;layer=5;method=duquant,relative_quantization_error_nmse
llama32_3b,down,6,duquant,0.0098050446050069,8192,results/llama32_3b/e1c_per_layer.csv,239,down_input;layer=6;method=duquant,relative_quantization_error_nmse
llama32_3b,down,7,duquant,0.0098825595050275,8192,results/llama32_3b/e1c_per_layer.csv,240,down_input;layer=7;method=duquant,relative_quantization_error_nmse
llama32_3b,down,8,duquant,0.0099138375633621,8192,results/llama32_3b/e1c_per_layer.csv,241,down_input;layer=8;method=duquant,relative_quantization_error_nmse
llama32_3b,down,9,duquant,0.0098797416443686,8192,results/llama32_3b/e1c_per_layer.csv,242,down_input;layer=9;method=duquant,relative_quantization_error_nmse
llama32_3b,down,10,duquant,0.0098157051471465,8192,results/llama32_3b/e1c_per_layer.csv,243,down_input;layer=10;method=duquant,relative_quantization_error_nmse
llama32_3b,down,11,duquant,0.0098647616426843,8192,results/llama32_3b/e1c_per_layer.csv,244,down_input;layer=11;method=duquant,relative_quantization_error_nmse
llama32_3b,down,12,duquant,0.0098288497895665,8192,results/llama32_3b/e1c_per_layer.csv,245,down_input;layer=12;method=duquant,relative_quantization_error_nmse
llama32_3b,down,13,duquant,0.0095448231314798,8192,results/llama32_3b/e1c_per_layer.csv,246,down_input;layer=13;method=duquant,relative_quantization_error_nmse
llama32_3b,down,14,duquant,0.0098233902302433,8192,results/llama32_3b/e1c_per_layer.csv,247,down_input;layer=14;method=duquant,relative_quantization_error_nmse
llama32_3b,down,15,duquant,0.0097248371364353,8192,results/llama32_3b/e1c_per_layer.csv,248,down_input;layer=15;method=duquant,relative_quantization_error_nmse
llama32_3b,down,16,duquant,0.0096858948819801,8192,results/llama32_3b/e1c_per_layer.csv,249,down_input;layer=16;method=duquant,relative_quantization_error_nmse
llama32_3b,down,17,duquant,0.0098385092739524,8192,results/llama32_3b/e1c_per_layer.csv,250,down_input;layer=17;method=duquant,relative_quantization_error_nmse
llama32_3b,down,18,duquant,0.0098630557838999,8192,results/llama32_3b/e1c_per_layer.csv,251,down_input;layer=18;method=duquant,relative_quantization_error_nmse
llama32_3b,down,19,duquant,0.0097211368551141,8192,results/llama32_3b/e1c_per_layer.csv,252,down_input;layer=19;method=duquant,relative_quantization_error_nmse
llama32_3b,down,20,duquant,0.009788074388008,8192,results/llama32_3b/e1c_per_layer.csv,253,down_input;layer=20;method=duquant,relative_quantization_error_nmse
llama32_3b,down,21,duquant,0.0097575509966252,8192,results/llama32_3b/e1c_per_layer.csv,254,down_input;layer=21;method=duquant,relative_quantization_error_nmse
llama32_3b,down,22,duquant,0.0096542802052386,8192,results/llama32_3b/e1c_per_layer.csv,255,down_input;layer=22;method=duquant,relative_quantization_error_nmse
llama32_3b,down,23,duquant,0.0094853354303268,8192,results/llama32_3b/e1c_per_layer.csv,256,down_input;layer=23;method=duquant,relative_quantization_error_nmse
llama32_3b,down,24,duquant,0.0097574831838281,8192,results/llama32_3b/e1c_per_layer.csv,257,down_input;layer=24;method=duquant,relative_quantization_error_nmse
llama32_3b,down,25,duquant,0.009694907004944,8192,results/llama32_3b/e1c_per_layer.csv,258,down_input;layer=25;method=duquant,relative_quantization_error_nmse
llama32_3b,down,26,duquant,0.0091340391666439,8192,results/llama32_3b/e1c_per_layer.csv,259,down_input;layer=26;method=duquant,relative_quantization_error_nmse
llama32_3b,down,27,duquant,0.0054118190393387,8192,results/llama32_3b/e1c_per_layer.csv,260,down_input;layer=27;method=duquant,relative_quantization_error_nmse
llama32_3b,down,0,hadamard_full,0.0045732409917834,8192,results/llama32_3b/e1c_per_layer.csv,116,down_input;layer=0;method=hadamard_full,relative_quantization_error_nmse
llama32_3b,down,1,hadamard_full,0.0007495683439097,8192,results/llama32_3b/e1c_per_layer.csv,120,down_input;layer=1;method=hadamard_full,relative_quantization_error_nmse
