model,source_family,source_artifact,site,layer,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range_ratio_definition
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k0,nar,0.0,1.0,0.8592489052862557,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k1,nar,0.222138890337341,0.8819643471607335,0.78285067813059,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k2,nar,0.2887231240921612,0.8433723234182153,0.7571952982274076,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k3,nar,0.327159812176374,0.8202683632955899,0.7346258344167422,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k4,nar,0.3582657263742371,0.8010831877063473,0.7182678298273827,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k5,nar,0.3816573047938011,0.7863476935848409,0.7062889051135339,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k6,nar,0.401124205950354,0.7738706571835153,0.691253391012786,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k7,nar,0.418740161615228,0.7624039863384583,0.6797499457545906,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k8,nar,0.4351880023492596,0.7515397512112985,0.6692296648083491,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k9,nar,0.4502460004467413,0.741453976692592,0.6619629389605104,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k10,nar,0.4639590252603863,0.7321481917888029,0.6503219460554142,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k11,nar,0.476869824709119,0.7232773847500563,0.6409943444437768,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k12,nar,0.4887470042899054,0.7150195771516292,0.6295754158724767,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k13,nar,0.500163649673719,0.7069910539223824,0.6159325604516961,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k14,nar,0.5102613942800241,0.6998132648928397,0.6079673462426013,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k15,nar,0.5199012749268668,0.692891568048806,0.6010079660688217,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k16,nar,0.5287132135545551,0.6865033040309747,0.5935515612062741,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k17,nar,0.5370672610249471,0.6803916070727599,0.5872731273459115,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k18,nar,0.5451691225203144,0.6744115045576295,0.5807639031074434,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k19,nar,0.5526866553304789,0.6688148807177672,0.5743933510061219,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k20,nar,0.559700543964422,0.6635506431581375,0.5687373000071607,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k21,nar,0.5663220107486582,0.6585423215339632,0.5636776336551115,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k22,nar,0.5724209957782734,0.6538952547784137,0.5572119946585814,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k23,nar,0.5780613532693462,0.6495680462666354,0.5524964223218332,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,0,128,nar_k24,nar,0.5833845861595889,0.6454575228784704,0.54859722990374,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k0,nar,0.0,1.0,0.8703001790487065,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k1,nar,0.3060136063409284,0.8330584575280846,0.746027038949581,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k2,nar,0.3438386167895576,0.8100378899844392,0.7259929418480942,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k3,nar,0.3729632403187626,0.7918565272075727,0.7089991955782754,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k4,nar,0.3973785661450591,0.7762869532942963,0.6969056231673457,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k5,nar,0.4152164269046179,0.7647114312571652,0.6866873394400187,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k6,nar,0.4298621199598751,0.7550747512929596,0.6791665152969872,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k7,nar,0.4438236401114117,0.7457723244319195,0.6711973428134002,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k8,nar,0.4572774241631692,0.7366970719616244,0.6637109271609103,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k9,nar,0.4703100660922453,0.7277980035062989,0.6562266912318032,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k10,nar,0.4829655342156183,0.7190510870476323,0.6485722292861407,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k11,nar,0.4947007690446711,0.7108440271644186,0.642716869502037,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,1,128,nar_k12,nar,0.5047426438952798,0.7037452352270104,0.6368317201650362,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
