model,source_family,source_artifact,site,layer,expert,routed_rows,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,0,256,128,nar_k6_per_expert,nar,0.2051921917514479,0.891519942709389,0.8157233767027214,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,1,256,128,nar_k6_per_expert,nar,0.8467800498593461,0.3914332001001626,0.4068116809931467,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,2,256,128,nar_k6_per_expert,nar,0.1754027087375868,0.9080733953059154,0.800125647967498,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,3,256,128,nar_k6_per_expert,nar,0.1167264260380944,0.9398263530897107,0.7268843661316133,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,4,256,128,nar_k6_per_expert,nar,0.1518987135464589,0.9209241480456146,0.8345327387104106,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,5,83,128,nar_k6_per_expert,nar,0.0977847048503359,0.9498501435224739,0.5078497625514343,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,6,256,128,nar_k6_per_expert,nar,0.2744916772305787,0.851767763401164,0.7614616900941776,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,7,256,128,nar_k6_per_expert,nar,0.1591583739454035,0.9169741686953873,0.821781773267289,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,8,256,128,nar_k6_per_expert,nar,0.8773042942519833,0.35027946806516747,0.3365891081554688,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,9,256,128,nar_k6_per_expert,nar,0.1713451987351441,0.9103047848192691,0.8585185948930381,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,11,256,128,nar_k6_per_expert,nar,0.2054879913899515,0.8913540310168842,0.7020791201967929,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,12,256,128,nar_k6_per_expert,nar,0.1012478515911456,0.9480253943902844,0.7485224257815144,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,13,256,128,nar_k6_per_expert,nar,0.528049934035488,0.6869862196321787,0.5520894739699395,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,14,256,128,nar_k6_per_expert,nar,0.3212358033183906,0.8238714685444626,0.7819852349613491,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,16,256,128,nar_k6_per_expert,nar,0.3458036510060643,0.8088240531746912,0.6618651523114395,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,17,256,128,nar_k6_per_expert,nar,0.182413824754497,0.9042047197651111,0.8051502524122791,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,18,256,128,nar_k6_per_expert,nar,0.1178804325943696,0.9392122057371435,0.8864732914026536,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,19,256,128,nar_k6_per_expert,nar,0.0792456879918535,0.9595594364124332,0.7303357136707063,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,20,256,128,nar_k6_per_expert,nar,0.2222954392026792,0.8818755925850997,0.3176473327205901,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,21,256,128,nar_k6_per_expert,nar,0.1612905974984898,0.9158107896839337,0.8005085171546942,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,22,256,128,nar_k6_per_expert,nar,0.1496342328128,0.9221527895024773,0.8772144497114847,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,23,256,128,nar_k6_per_expert,nar,0.1714126103667031,0.9102677571095754,0.8223734218617715,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,24,256,128,nar_k6_per_expert,nar,0.1615468861645798,0.915670854529847,0.877604719603139,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,25,256,128,nar_k6_per_expert,nar,0.0924512496496536,0.9526535311173451,0.596779317086797,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,26,256,128,nar_k6_per_expert,nar,0.6077742671976933,0.6262792770021268,0.5584058423035081,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,27,256,128,nar_k6_per_expert,nar,0.395906102312311,0.7772347764271031,0.6836162806101522,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,28,256,128,nar_k6_per_expert,nar,0.0977434129192285,0.9498718792978196,0.9022187670491972,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,29,256,128,nar_k6_per_expert,nar,0.1501275982537171,0.9218852432631096,0.83509680620602,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,30,256,128,nar_k6_per_expert,nar,0.1694502040238065,0.9113450477048709,0.6664398142165879,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,31,256,128,nar_k6_per_expert,nar,0.3758732261282838,0.7900169453066916,0.724317658891346,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,32,256,128,nar_k6_per_expert,nar,0.2710349888132176,0.8537944783065667,0.6658593828952014,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,33,256,128,nar_k6_per_expert,nar,0.1983574113302798,0.8953449551260789,0.7927301251642426,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,34,256,128,nar_k6_per_expert,nar,0.1350847420267145,0.9300082031752652,0.8017267482515636,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,35,256,128,nar_k6_per_expert,nar,0.8286736842937775,0.4139158316689789,0.3174303046736179,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,36,256,128,nar_k6_per_expert,nar,0.0706267599144868,0.9640400614525899,0.7217753893144485,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,37,256,128,nar_k6_per_expert,nar,0.2411132344072676,0.8711410710055705,0.7668388797626244,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,38,256,128,nar_k6_per_expert,nar,0.105374698534174,0.9458463413609136,0.8222118393977564,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,39,212,128,nar_k6_per_expert,nar,0.0583134328274435,0.9704053622958586,0.7470574482524729,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,40,256,128,nar_k6_per_expert,nar,0.7207121638913504,0.5284769021524495,0.4419263185434021,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,41,256,128,nar_k6_per_expert,nar,0.1394088164351067,0.9276805396066543,0.8369467836775408,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,42,256,128,nar_k6_per_expert,nar,0.1559814124877671,0.9187048424343005,0.7651185017232777,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,43,256,128,nar_k6_per_expert,nar,0.4435148148459646,0.7459793463320786,0.6753396326409266,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,44,256,128,nar_k6_per_expert,nar,0.2622169429835784,0.8589429882223975,0.8657559952965272,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,45,256,128,nar_k6_per_expert,nar,0.7810413460303011,0.4679301806570067,0.552490254229603,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,46,256,128,nar_k6_per_expert,nar,0.1582526172465007,0.9174679191958155,0.8284096290610651,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,47,256,128,nar_k6_per_expert,nar,0.1300280999251555,0.9327228420462557,0.6442838059043707,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
