model,site,layer,sequence_index,token_position,projection_v1,projection_v2,bos_excluded
llama32_3b,down_input,1,0,32,-0.23107077,-0.12882695,True
llama32_3b,down_input,1,0,64,-0.18869315,0.1391507,True
llama32_3b,down_input,1,0,96,-0.35418364,-0.011396784,True
llama32_3b,down_input,1,0,128,-0.21514198,-0.10589206,True
llama32_3b,down_input,1,0,160,-0.22801803,-0.033463195,True
llama32_3b,down_input,1,0,192,-0.33987972,-0.042658143,True
llama32_3b,down_input,1,0,224,-0.33627278,-0.15754935,True
llama32_3b,down_input,1,0,256,-0.19814667,-0.07886532,True
llama32_3b,down_input,1,0,288,-0.1583727,-0.081770845,True
llama32_3b,down_input,1,0,320,-0.3754007,-0.03911973,True
llama32_3b,down_input,1,0,352,-0.16548789,0.08042215,True
llama32_3b,down_input,1,0,384,-0.28000247,-0.023616727,True
llama32_3b,down_input,1,0,416,-0.2790946,0.07604684,True
llama32_3b,down_input,1,0,448,-0.1854561,0.17600396,True
llama32_3b,down_input,1,0,480,-0.2726795,-0.06153825,True
llama32_3b,down_input,1,0,512,-0.2572969,-0.076701134,True
llama32_3b,down_input,1,0,544,-0.31341016,-0.020739064,True
llama32_3b,down_input,1,0,576,-0.18913485,0.55392534,True
llama32_3b,down_input,1,0,608,-0.25826752,-0.02203101,True
llama32_3b,down_input,1,0,640,-0.18534939,-0.016316429,True
llama32_3b,down_input,1,0,672,-0.15595356,-0.069316015,True
llama32_3b,down_input,1,0,704,-0.30341917,0.37206143,True
llama32_3b,down_input,1,0,736,-0.15145184,-0.03767535,True
llama32_3b,down_input,1,0,768,-0.18236542,-0.057278555,True
llama32_3b,down_input,1,0,800,-0.32388595,-0.04465829,True
llama32_3b,down_input,1,0,832,-0.22730686,0.22357963,True
llama32_3b,down_input,1,0,864,-0.27304024,0.19600117,True
llama32_3b,down_input,1,0,896,-0.18032058,-0.067305654,True
llama32_3b,down_input,1,0,928,-0.29066968,-0.121531926,True
llama32_3b,down_input,1,0,960,-0.33143964,-0.034307346,True
llama32_3b,down_input,1,0,992,-0.22006658,0.022299679,True
llama32_3b,down_input,1,0,1024,-0.1887352,-0.04844471,True
llama32_3b,down_input,1,0,1056,-0.29245082,-0.078140564,True
llama32_3b,down_input,1,0,1088,-0.23378137,0.5600407,True
llama32_3b,down_input,1,0,1120,-0.2188687,-0.061465528,True
llama32_3b,down_input,1,0,1152,-0.24374017,-0.13372761,True
llama32_3b,down_input,1,0,1184,-0.23269345,0.39102766,True
llama32_3b,down_input,1,0,1216,-0.23932908,-0.0036354528,True
llama32_3b,down_input,1,0,1248,-0.23104443,0.60744554,True
llama32_3b,down_input,1,0,1280,-0.20249021,-0.03555594,True
llama32_3b,down_input,1,0,1312,-0.25209445,-0.09736762,True
llama32_3b,down_input,1,0,1344,-0.22920272,-0.04693572,True
llama32_3b,down_input,1,0,1376,-0.2723603,-0.034033258,True
llama32_3b,down_input,1,0,1408,-0.34164387,-0.16112818,True
llama32_3b,down_input,1,0,1440,-0.26098976,-0.005117427,True
llama32_3b,down_input,1,0,1472,-0.15855043,-0.024580114,True
llama32_3b,down_input,1,0,1504,-0.27076557,-0.113344185,True
llama32_3b,down_input,1,0,1536,-0.23378228,0.0054771802,True
llama32_3b,down_input,1,0,1568,-0.21056831,-0.10871787,True
llama32_3b,down_input,1,0,1600,-0.2939774,0.15285933,True
llama32_3b,down_input,1,0,1632,-0.29573584,-0.06036238,True
