kind,model,method,g,m,effective_bits,ppl,seeds,seed_ids,chunks,source_file,source_row,source_csv_line,formula,source_commit,source_run,retained_csv,retained_csv_line,k,k_category,site_kmax,site_k_actual,site_kmax_source,ppl_bf16,ppl_hadamard,ppl_k,recovery,bf16_source_file,hadamard_source_file,bf16_source_csv_line,hadamard_source_csv_line,protocol,share_percent,decoder_layer_ms,kernel_ms,selection,recovery_percent,metric,baseline,backend,mode,phase,batch,tokens,unit,source_key,numerator,denominator,session,statistic,value
point,llama32_3b,hadamard,64.0,1.0,4.5,7.737411669365445,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,hadamard_g64_m1,7,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,hadamard,128.0,1.0,4.25,7.770807865215864,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,hadamard_g128_m1,3,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,hadamard,256.0,1.0,4.125,7.790031166232037,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,hadamard_g256_m1,4,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,hadamard,256.0,2.0,4.1875,7.791242825602765,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,hadamard_g256_m2,5,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,hadamard,256.0,3.0,4.25,7.788981080611163,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,hadamard_g256_m3,6,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,nar,64.0,1.0,4.5,7.684924881276758,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,nar_g64_m1,15,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,nar,128.0,1.0,4.25,7.71315744772667,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,nar_g128_m1,8,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,nar,256.0,1.0,4.125,7.739518233777171,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,nar_g256_m1,11,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,nar,256.0,2.0,4.1875,7.726741961494824,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,nar_g256_m2,12,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,llama32_3b,nar,256.0,3.0,4.25,7.725288991346312,3,"[0, 1, 2]",64,results/llama32_3b/e20_summary.csv,nar_g256_m3,13,4 + 16*(m+1)/g,6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4a.csv,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
