kind,model,k,k_category,site_kmax,site_k_actual,site_kmax_source,ppl_bf16,ppl_hadamard,ppl_k,recovery,seeds,seed_ids,chunks,source_file,source_row,source_csv_line,bf16_source_file,hadamard_source_file,bf16_source_csv_line,hadamard_source_csv_line,protocol,formula,method,share_percent,decoder_layer_ms,kernel_ms,selection
recovery,llama32_3b,8,8,"{""down"": 64, ""qkv"": 24}","{""down"": 8, ""qkv"": 8}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.7115904478206305,0.3858521046546738,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_k8,11,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama32_3b,16,16,"{""down"": 64, ""qkv"": 24}","{""down"": 16, ""qkv"": 16}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.712024410109571,0.3830397361894396,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_k16,12,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama32_3b,32,32,"{""down"": 64, ""qkv"": 24}","{""down"": 32, ""qkv"": 24}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.7065086318728575,0.41878570114883845,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_k32,13,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama32_3b,64,64,"{""down"": 64, ""qkv"": 24}","{""down"": 64, ""qkv"": 24}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.708128095933049,0.4082904812425502,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_k64_summary.csv,nar_b128_k64,2,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama32_3b,64,max,"{""down"": 64, ""qkv"": 24}","{""down"": 64, ""qkv"": 24}","results/llama32_3b/e11_factor_audit.csv:b=128,dc_slots",7.6168244064194095,7.771129325673322,7.705281475366341,0.426738503382557,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama32_3b/e11_summary.csv,nar_b128_kmax,4,results/llama32_3b/e11_summary.csv,results/llama32_3b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama31_8b,8,8,"{""down"": 112, ""qkv"": 32}","{""down"": 8, ""qkv"": 8}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.295711197147543,0.3553480552193636,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_k8,11,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama31_8b,16,16,"{""down"": 112, ""qkv"": 32}","{""down"": 16, ""qkv"": 16}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.295415943496352,0.35742359700295806,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_k16,12,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama31_8b,32,32,"{""down"": 112, ""qkv"": 32}","{""down"": 32, ""qkv"": 32}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.289038375421182,0.40225592664350657,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_k32,13,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama31_8b,64,64,"{""down"": 112, ""qkv"": 32}","{""down"": 64, ""qkv"": 32}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.28674352322354,0.41838802731077906,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_k64_summary.csv,nar_b128_k64,2,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
recovery,llama31_8b,112,max,"{""down"": 112, ""qkv"": 32}","{""down"": 112, ""qkv"": 32}","results/llama31_8b/e11_factor_audit.csv:b=128,dc_slots",6.204007025278876,6.346260798979771,6.284927613703762,0.4311533091907209,3.0,"[20260902, 20260903, 20260904]",64.0,results/llama31_8b/e11_summary.csv,nar_b128_kmax,4,results/llama31_8b/e11_summary.csv,results/llama31_8b/e11_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),,,,,
