pdf,method,block,claim,summary,spread,typography,color,geometry,alignment,collisions,visual_review
figures/end_to_end/q_proj/raw/detail/matrix.pdf,unrotated,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,hadamard,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_k8,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_kmax,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,unrotated,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,hadamard,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_k8,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_kmax,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,unrotated,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,hadamard,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_k8,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_kmax,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,unrotated,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,hadamard,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_k8,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/q_proj/raw/detail/matrix.pdf,nar_kmax,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,unrotated,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,hadamard,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_k8,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/end_to_end/down_proj/raw/detail/matrix.pdf,nar_kmax,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,1,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,13,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,24,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,unrotated,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,hadamard,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_k8,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
figures/paired_local/q_proj/raw/detail/matrix.pdf,nar_kmax,36,Measured activation magnitude for the recorded method/block,all 128 x 512 measured absolute values,none; fixed sample 0,Times New Roman Bold; body 14 pt,"Viridis, PowerNorm gamma=0.5; unchanged shared limits",unchanged measured vertices and native projected coordinates,"PASS; 1.5 pt tolerance, no exemptions",zero FAIL; pane bounds WARN reviewed,PASS
