model,row,benchmark,headline_metric,value,tech_report_16bit,bf16_minus_report,flag_pipeline_difference,effective_bits,gptq_protocol,git_commit,elapsed_seconds,artifact
qwen3_0.6b_base,bf16,arc_easy,"arc_easy:acc_norm,none",57.95454545454546,,,,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,9eb45e52a0fff7353e814ffaaa4979fc34c95c41,62.075217723846436,results/qwen3_0.6b_base/e22_bf16_arc_easy.json
qwen3_0.6b_base,bf16,c4,ppl,19.383769797636745,,,,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,97.3776319026947,results/qwen3_0.6b_base/e22_bf16_c4.json
qwen3_0.6b_base,bf16,gsm8k,"gsm8k_cot:exact_match,flexible-extract",60.955269143290366,59.59,1.3652691432903623,False,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,9eb45e52a0fff7353e814ffaaa4979fc34c95c41,1655.7419304847717,results/qwen3_0.6b_base/e22_bf16_gsm8k.json
qwen3_0.6b_base,bf16,mmlu,"mmlu:acc,none",52.52100840336135,52.81,-0.2889915966386525,False,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,7c2fe05abdd6e1d784fdfdc6182a9073d9472e9a,1744.8290266990662,results/qwen3_0.6b_base/e22_bf16_mmlu.json
qwen3_0.6b_base,bf16,mmlu_redux,"mmlu_redux_e22:exact_match,default",55.834896810506564,51.26,4.574896810506566,True,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,9d14373ee086ad0f66c1ffc77074d9a1aa0188ee,627.8426914215088,results/qwen3_0.6b_base/e22_bf16_mmlu_redux.json
qwen3_0.6b_base,bf16,wikitext,ppl,12.66225359753649,,,,"{""activation"": 16.0, ""context"": 2048, ""key"": 16.0, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 16.0, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 16.0}",,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,57.382755279541016,results/qwen3_0.6b_base/e22_bf16_wikitext.json
qwen3_0.6b_base,hadamard_asym_g128,arc_easy,"arc_easy:acc_norm,none",56.69191919191919,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,9eb45e52a0fff7353e814ffaaa4979fc34c95c41,171.6947922706604,results/qwen3_0.6b_base/e22_hadamard_asym_g128_arc_easy.json
qwen3_0.6b_base,hadamard_asym_g128,c4,ppl,25.36238744357199,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,3ca98b1fbad4ebb6f661a653020acfc9ad09c86d,213.16816020011902,results/qwen3_0.6b_base/e22_hadamard_asym_g128_c4.json
qwen3_0.6b_base,hadamard_asym_g128,gsm8k,"gsm8k_cot:exact_match,flexible-extract",28.96133434420015,59.59,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,85d0e718c2cadd6e36d9be8b80692aefff34285e,9735.650946378708,results/qwen3_0.6b_base/e22_hadamard_asym_g128_gsm8k.json
qwen3_0.6b_base,hadamard_asym_g128,mmlu,"mmlu:acc,none",43.46246973365617,52.81,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,7c2fe05abdd6e1d784fdfdc6182a9073d9472e9a,3373.2712845802307,results/qwen3_0.6b_base/e22_hadamard_asym_g128_mmlu.json
