model,k,tokens,backend,config,splits,projection_ms
llama32_3b,8,1,v2_triton_fp32,-,32,0.007197918790597014
llama32_3b,8,1,cublas_fp32out_2term,-,1,0.017301686115809217
llama32_3b,8,1,triton_dot_2term,T16_D64_S4_w4_s4,4,0.014185774066021752
llama32_3b,8,1,triton_dot_2term,T16_D128_S4_w4_s4,4,0.012986049679500506
llama32_3b,8,1,triton_dot_2term,T16_D256_S4_w8_s3,4,0.016662895453462542
llama32_3b,8,1,triton_dot_2term,T32_D64_S4_w4_s4,4,0.015005599823780358
llama32_3b,8,1,triton_dot_2term,T32_D128_S4_w8_s3,4,0.016166933222363393
llama32_3b,8,1,triton_dot_2term,T32_D256_S4_w8_s3,4,0.016656799955914417
llama32_3b,8,1,triton_dot_2term,T64_D64_S4_w8_s3,4,0.020994024972120922
llama32_3b,8,1,triton_dot_2term,T64_D128_S4_w8_s3,4,0.017512435475403296
llama32_3b,8,1,cublas_fp32out_3term,-,1,0.025481991752793517
llama32_3b,8,1,triton_dot_3term,T16_D64_S4_w4_s4,4,0.01905936111516061
llama32_3b,8,1,triton_dot_3term,T16_D128_S4_w4_s4,4,0.018901512558971132
llama32_3b,8,1,triton_dot_3term,T16_D256_S4_w8_s3,4,0.022691780449783247
llama32_3b,8,1,triton_dot_3term,T32_D64_S4_w4_s4,4,0.016542661101187125
llama32_3b,8,1,triton_dot_3term,T32_D128_S4_w8_s3,4,0.02314229090658263
llama32_3b,8,1,triton_dot_3term,T32_D256_S4_w8_s3,4,0.022172489498235002
llama32_3b,8,1,triton_dot_3term,T64_D64_S4_w8_s3,4,0.027498437763219738
llama32_3b,8,1,triton_dot_3term,T64_D128_S4_w8_s3,4,0.023514169812896998
llama32_3b,8,32,v2_triton_fp32,-,32,0.008300617901320622
llama32_3b,8,32,cublas_fp32out_2term,-,1,0.02178878655119421
llama32_3b,8,32,triton_dot_2term,T16_D64_S4_w4_s4,4,0.01419140252041248
llama32_3b,8,32,triton_dot_2term,T16_D128_S4_w4_s4,4,0.013222479530848747
llama32_3b,8,32,triton_dot_2term,T16_D256_S4_w8_s3,4,0.016812557071635995
llama32_3b,8,32,triton_dot_2term,T32_D64_S4_w4_s4,4,0.012789244964502412
llama32_3b,8,32,triton_dot_2term,T32_D128_S4_w8_s3,4,0.01704228578620598
llama32_3b,8,32,triton_dot_2term,T32_D256_S4_w8_s3,4,0.01681722043934515
llama32_3b,8,32,triton_dot_2term,T64_D64_S4_w8_s3,4,0.02119615161594962
llama32_3b,8,32,triton_dot_2term,T64_D128_S4_w8_s3,4,0.01787294164112135
llama32_3b,8,32,cublas_fp32out_3term,-,1,0.03235282382803925
llama32_3b,8,32,triton_dot_3term,T16_D64_S4_w4_s4,4,0.019202150928811366
llama32_3b,8,32,triton_dot_3term,T16_D128_S4_w4_s4,4,0.018814790007822654
llama32_3b,8,32,triton_dot_3term,T16_D256_S4_w8_s3,4,0.022161021321377854
llama32_3b,8,32,triton_dot_3term,T32_D64_S4_w4_s4,4,0.0200213326793557
llama32_3b,8,32,triton_dot_3term,T32_D128_S4_w8_s3,4,0.023520000366885774
llama32_3b,8,32,triton_dot_3term,T32_D256_S4_w8_s3,4,0.02379254760363927
llama32_3b,8,32,triton_dot_3term,T64_D64_S4_w8_s3,4,0.027559448290487815
llama32_3b,8,32,triton_dot_3term,T64_D128_S4_w8_s3,4,0.023577299669512317
llama32_3b,8,2048,v2_triton_fp32,-,2,0.12722341261411968
llama32_3b,8,2048,cublas_fp32out_2term,-,1,0.13748289185001494
llama32_3b,8,2048,triton_dot_2term,T16_D64_S4_w4_s4,4,0.07297652774433575
llama32_3b,8,2048,triton_dot_2term,T16_D128_S4_w4_s4,4,0.07067057420390313
llama32_3b,8,2048,triton_dot_2term,T16_D256_S4_w8_s3,4,0.0873819026842858
llama32_3b,8,2048,triton_dot_2term,T32_D64_S4_w4_s4,4,0.06282414706354891
llama32_3b,8,2048,triton_dot_2term,T32_D128_S4_w8_s3,4,0.0719589878905547
llama32_3b,8,2048,triton_dot_2term,T32_D256_S4_w8_s3,4,0.074757159144675
llama32_3b,8,2048,triton_dot_2term,T64_D64_S4_w8_s3,4,0.06266263480972036
llama32_3b,8,2048,triton_dot_2term,T64_D128_S4_w8_s3,4,0.062427109900724004
llama32_3b,8,2048,cublas_fp32out_3term,-,1,0.20415884229433107
llama32_3b,8,2048,triton_dot_3term,T16_D64_S4_w4_s4,4,0.08083107447824799
llama32_3b,8,2048,triton_dot_3term,T16_D128_S4_w4_s4,4,0.08388482952031537
llama32_3b,8,2048,triton_dot_3term,T16_D256_S4_w8_s3,4,0.13507526664323705
llama32_3b,8,2048,triton_dot_3term,T32_D64_S4_w4_s4,4,0.07534059024111354
llama32_3b,8,2048,triton_dot_3term,T32_D128_S4_w8_s3,4,0.07924975782775423
llama32_3b,8,2048,triton_dot_3term,T32_D256_S4_w8_s3,4,0.08695269864305709
llama32_3b,8,2048,triton_dot_3term,T64_D64_S4_w8_s3,4,0.06428138908226165
llama32_3b,8,2048,triton_dot_3term,T64_D128_S4_w8_s3,4,0.06622660471949467
