model,site,k,layer_configuration_points,median_absolute_relative_error,p90_absolute_relative_error,median_signed_relative_error,positive_error_fraction
llama31_8b,down,0,192,0.0014245892590322377,0.002601783960436629,-0.0003346433874219356,0.4635416666666667
llama31_8b,down,8,32,0.12149213078376486,0.1747630201703942,0.11958634540487936,0.96875
llama31_8b,down,16,32,0.11530806434355684,0.1725140048994748,0.11482106696771444,0.96875
llama31_8b,down,32,32,0.1081038102935899,0.16685021103773306,0.10713732959692666,0.96875
llama31_8b,down,56,64,0.08139598008273327,0.1555862228237828,0.07998375840524093,0.96875
llama31_8b,down,112,96,0.08806566546174284,0.15786894583537622,0.08746160019106403,0.96875
llama31_8b,down,168,64,0.07475293842230779,0.14954239910832443,0.07365376683975114,0.96875
llama31_8b,down,224,128,0.09014163368246486,0.16408593345040956,0.08780947820839383,0.96875
llama31_8b,qkv,0,192,0.0013277834363640854,0.0032406114943919614,-0.0005880444021683753,0.3802083333333333
llama31_8b,qkv,8,32,0.02018706604128468,0.03535559908769017,0.02018706604128468,1.0
llama31_8b,qkv,16,96,0.010816077998220996,0.0655322660890879,0.010816077998220996,0.8645833333333334
llama31_8b,qkv,32,128,0.012604802071572233,0.06433477120817366,0.012604802071572233,0.625
llama31_8b,qkv,48,64,0.014356053918848387,0.07387870556642967,0.014356053918848387,0.84375
llama31_8b,qkv,64,128,0.009715205075836154,0.06271133124536468,0.005057976214626252,0.609375
llama32_3b,down,0,168,0.001328522175889505,0.0029293093284067416,-0.000373188276017015,0.44047619047619047
llama32_3b,down,8,28,0.11050211230468299,0.14729276562673682,0.10326149896755005,0.9642857142857143
llama32_3b,down,16,28,0.10739611044993999,0.14027017301572314,0.10050101831894079,0.9642857142857143
llama32_3b,down,32,84,0.08769967940203438,0.15061873473068416,0.08519375814748774,0.9642857142857143
llama32_3b,down,64,84,0.09142320884486996,0.1499971714559895,0.08688002564969158,0.9642857142857143
llama32_3b,down,96,56,0.07865159980267651,0.12883692469808833,0.07792735345723212,0.9642857142857143
llama32_3b,down,128,112,0.0943670672711441,0.15169871247447042,0.09212735389474352,0.9642857142857143
llama32_3b,qkv,0,168,0.0010512188452622474,0.0020093631940393776,-0.00015186480072416512,0.47619047619047616
llama32_3b,qkv,8,28,0.016689137497198837,0.03794773216612325,0.016689137497198837,1.0
llama32_3b,qkv,12,56,0.029011807604052243,0.08246644945837361,0.029011807604052243,0.8928571428571429
llama32_3b,qkv,16,28,0.006855689122235194,0.032539677733084284,0.006855689122235194,0.7857142857142857
llama32_3b,qkv,24,112,0.017031008692227453,0.08889618666912422,0.017031008692227453,0.7678571428571429
llama32_3b,qkv,36,56,0.026882977953959476,0.11773465522848084,0.026882977953959476,0.9285714285714286
llama32_3b,qkv,48,112,0.015272520271757252,0.07640590329968235,0.015027884584046445,0.7232142857142857
qwen3_4b_base,down,8,36,0.2122793915278727,0.6284016121906912,0.19029378861733798,0.9444444444444444
qwen3_4b_base,down,76,36,0.1805102218745616,0.5218948795501392,0.15427049085819167,0.9444444444444444
qwen3_4b_base,qkv,8,36,0.024589548918517695,0.04563921712551972,-0.01804739189298012,0.3611111111111111
qwen3_4b_base,qkv,20,36,0.035366884983440275,0.061740028313860565,-0.031772989217945906,0.2777777777777778
