model,row,site,k,layers,median_absolute_relative_error,p90_absolute_relative_error
llama31_8b,E11_g128_k16,down,16,32,0.11530806434355684,0.1725140048994748
llama31_8b,E11_g128_k16,qkv,16,32,0.00857893684967264,0.024877120294609686
llama31_8b,E11_g128_k32,down,32,32,0.1081038102935899,0.16685021103773306
llama31_8b,E11_g128_k32,qkv,32,32,0.0057949332480178705,0.017471434839729266
llama31_8b,E11_g128_k8,down,8,32,0.12149213078376486,0.1747630201703942
llama31_8b,E11_g128_k8,qkv,8,32,0.02018706604128468,0.03535559908769017
llama31_8b,E11_g128_kmax,down,112,32,0.08767702416994275,0.100101664700761
llama31_8b,E11_g128_kmax,qkv,32,32,0.005305141114875635,0.018003430004855662
llama31_8b,E11_g256_kmax,down,56,32,0.07823854668506534,0.09180254833764924
llama31_8b,E11_g256_kmax,qkv,16,32,0.0033131393320746817,0.017170729031633702
llama31_8b,E11_g64_kmax,down,224,32,0.08938429162681832,0.10545013178853727
llama31_8b,E11_g64_kmax,qkv,64,32,0.014670586380252013,0.024225272503816415
llama31_8b,E20_hadamard_g128_m1,down,0,32,0.0010573561354358953,0.0018981792950954327
llama31_8b,E20_hadamard_g128_m1,qkv,0,32,0.0010791359370175189,0.0027288680840328278
llama31_8b,E20_hadamard_g128_m2,down,0,32,0.0018110992665614813,0.0023075657434426513
llama31_8b,E20_hadamard_g128_m2,qkv,0,32,0.0015143366429460456,0.0018409248351069214
llama31_8b,E20_hadamard_g256_m1,down,0,32,0.0005080448140538641,0.0011881766891186098
llama31_8b,E20_hadamard_g256_m1,qkv,0,32,0.0008544493344542229,0.0025114332038374916
llama31_8b,E20_hadamard_g256_m2,down,0,32,0.0008583628440873841,0.0011854513261612659
llama31_8b,E20_hadamard_g256_m2,qkv,0,32,0.000570506248112818,0.0016536209351989768
llama31_8b,E20_hadamard_g256_m3,down,0,32,0.0023199909332438278,0.0028159758787407074
llama31_8b,E20_hadamard_g256_m3,qkv,0,32,0.0013902697026816715,0.0019217188912269464
llama31_8b,E20_hadamard_g64_m1,down,0,32,0.0021810534066845693,0.0032583037215987627
llama31_8b,E20_hadamard_g64_m1,qkv,0,32,0.0031918937100431583,0.006753482665154154
llama31_8b,E20_nar_g128_m1,down,112,32,0.10381791075008842,0.17797324795990407
llama31_8b,E20_nar_g128_m1,qkv,32,32,0.026609860628439626,0.08647084276413872
llama31_8b,E20_nar_g128_m2,down,224,32,0.08486117160684659,0.15973767721805088
llama31_8b,E20_nar_g128_m2,qkv,64,32,0.008597747703592538,0.0607584926335907
llama31_8b,E20_nar_g128_m2_c32,down,224,32,0.08486117160684659,0.15973767721805088
llama31_8b,E20_nar_g128_m2_c32,qkv,64,32,0.008597747703592538,0.0607584926335907
llama31_8b,E20_nar_g256_m1,down,56,32,0.09566456122549505,0.16292444231312211
llama31_8b,E20_nar_g256_m1,qkv,16,32,0.04675372814588665,0.10434391294928984
llama31_8b,E20_nar_g256_m2,down,112,32,0.08483401191008508,0.15504028344205295
llama31_8b,E20_nar_g256_m2,qkv,32,32,0.026751422860698648,0.08591486452067276
llama31_8b,E20_nar_g256_m3,down,168,32,0.07475293842230779,0.14677774411529207
llama31_8b,E20_nar_g256_m3,qkv,48,32,0.014356053918848387,0.071750291598884
llama31_8b,E20_nar_g256_m3_c32,down,168,32,0.07475293842230779,0.14677774411529207
llama31_8b,E20_nar_g256_m3_c32,qkv,48,32,0.014356053918848387,0.071750291598884
llama31_8b,E20_nar_g64_m1,down,224,32,0.10419677284784643,0.1810944786382056
llama31_8b,E20_nar_g64_m1,qkv,64,32,0.00878282546426211,0.061097385615044145
llama32_3b,E11_g128_k16,down,16,28,0.10739611044993999,0.14027017301572314
llama32_3b,E11_g128_k16,qkv,16,28,0.006855689122235194,0.032539677733084284
llama32_3b,E11_g128_k32,down,32,28,0.09954445685047841,0.13131159532505216
llama32_3b,E11_g128_k32,qkv,24,28,0.0045298265869200705,0.028622773270536875
llama32_3b,E11_g128_k8,down,8,28,0.11050211230468299,0.14729276562673682
llama32_3b,E11_g128_k8,qkv,8,28,0.016689137497198837,0.03794773216612325
