model,row,site,layer,group,m,k,s_meas,s_meas_ci90_low,s_meas_ci90_high,s_hadamard,s_hadamard_ci90_low,s_hadamard_ci90_high,s_pred,s_pred_ci90_low,s_pred_ci90_high,relative_error,relative_error_ci90_low,relative_error_ci90_high,f_calibration,f_calibration_ci90_low,f_calibration_ci90_high,f_test_capture,f_test_capture_ci90_low,f_test_capture_ci90_high,seeds,observations_per_seed
llama31_8b,E11_g128_k16,down,0,128,1,16,0.0015228120583608196,0.0015224911092288386,0.0015231330074928005,0.002135297001878556,0.002134727866741355,0.002135866137015757,0.0019113582596667633,0.0019108488124355825,0.001911867706897944,0.2551504914945812,0.25455883965837434,0.25574214333078804,0.19875078929750387,0.19875078929750387,0.19875078929750387,0.19193547353557108,0.1919354474699349,0.19193549960120726,3,131072
llama31_8b,E11_g128_k16,down,1,128,1,16,0.002356371601851429,0.002356338199813731,0.0023564050038891267,0.0031545571522858633,0.003153485036794645,0.0031556292677770814,0.0003059733040945764,0.00030586931526084066,0.00030607729292831217,-0.8701506572158717,-0.8701934576647056,-0.8701078567670378,0.9905921524235793,0.9905921524235791,0.9905921524235796,0.990493881815541,0.9904937297985359,0.9904940338325461,3,131072
llama31_8b,E11_g128_k16,down,10,128,1,16,0.012280851789839424,0.012280483684073595,0.012281219895605253,0.013694316012595307,0.013693524646596159,0.013695107378594454,0.012846159820650857,0.01284541746783146,0.012846902173470254,0.04603166360192351,0.04594147128596586,0.04612185591788116,0.12003388174368086,0.12003388174368083,0.12003388174368089,0.11552813115096712,0.11552813112019264,0.1155281311817416,3,131072
llama31_8b,E11_g128_k16,down,11,128,1,16,0.01268186173833038,0.012681778078218155,0.012681945398442605,0.014161174540541782,0.014159964557334719,0.014162384523748845,0.013208351991577614,0.013207223421058479,0.013209480562096748,0.04151521786563269,0.04142743918901631,0.04160299654224907,0.13004113749473403,0.13004113749473403,0.13004113749473403,0.12640917000011362,0.12640916993105042,0.12640917006917682,3,131072
llama31_8b,E11_g128_k16,down,12,128,1,16,0.013142235070426847,0.013141000647909505,0.013143469492944189,0.014660924739905148,0.014659651565795757,0.01466219791401454,0.013749997911674652,0.013748803843656714,0.01375119197969259,0.04624501393985714,0.046222921883164576,0.0462671059965497,0.12040543802993527,0.12040543802993524,0.1204054380299353,0.11750824007157844,0.11750824003355873,0.11750824010959815,3,131072
llama31_8b,E11_g128_k16,down,13,128,1,16,0.014113325976732262,0.014112912035844504,0.01411373991762002,0.01602860987550023,0.01602664996749407,0.01603056978350639,0.014852101147988121,0.014850285098301073,0.014853917197675169,0.052345929376046534,0.05223857184903629,0.05245328690305678,0.14141345312210152,0.14141345312210152,0.14141345312210152,0.1372852648588295,0.13728526483367984,0.13728526488397916,3,131072
llama31_8b,E11_g128_k16,down,14,128,1,16,0.0151942751330941,0.015193073768276366,0.015195476497911834,0.01734506039356933,0.017343948769237096,0.017346172017901562,0.016287407555121033,0.016286363714503795,0.01628845139573827,0.07194370363454318,0.07191925005062066,0.0719681572184657,0.11823614013225363,0.11823614013225363,0.11823614013225363,0.11625544234469297,0.11625544231876384,0.1162554423706221,3,131072
llama31_8b,E11_g128_k16,down,15,128,1,16,0.016851727298073025,0.016851005868846598,0.016852448727299452,0.019671504631226376,0.01966975978437945,0.019673249478073303,0.0184647713728399,0.01846313356227517,0.018466409183404628,0.0957198059320269,0.09566772025716955,0.09577189160688426,0.11892534104075275,0.11892534104075275,0.11892534104075275,0.11468298949916966,0.11468298945089546,0.11468298954744387,3,131072
llama31_8b,E11_g128_k16,down,16,128,1,16,0.017204298954191653,0.017202900440311277,0.017205697468072028,0.02025933854786584,0.020256020353465964,0.020262656742265718,0.018994693001039883,0.018991581937774192,0.018997804064305575,0.10406666720636511,0.10389802205214654,0.10423531236058367,0.12094907813055004,0.12094907813055002,0.12094907813055007,0.1169847226387994,0.11698472259913424,0.11698472267846456,3,131072
llama31_8b,E11_g128_k16,down,17,128,1,16,0.018629026820365564,0.018626672717486557,0.01863138092324457,0.02223483271997262,0.022228798216003126,0.022240867223942112,0.020761103651467272,0.02075546911560304,0.020766738187331504,0.11444917531510594,0.11426584897983148,0.1146325016503804,0.12816732743329112,0.12816732743329112,0.12816732743329112,0.11739491720730671,0.11739491713084563,0.1173949172837678,3,131072
