model,site,layer,channels,activation_absmax_mean,activation_absmax_max,weight_absmax_mean,weight_absmax_max,smooth_scale_min,smooth_scale_max,smooth_scale_mean
llama31_8b,qkv,0,4096,0.2990124523639679,8.5625,0.11000537872314453,0.75390625,0.0061162603087723255,3.370090961456299,1.181617021560669
llama31_8b,qkv,1,4096,0.4956262409687042,6.59375,0.13051284849643707,0.5390625,0.027358783408999443,5.739439964294434,1.7133957147598267
llama31_8b,qkv,2,4096,1.3829007148742676,10.9375,0.12572383880615234,0.3515625,0.026057938113808632,7.657593727111816,3.1539580821990967
llama31_8b,qkv,3,4096,1.4875969886779785,8.6875,0.1263904571533203,0.28515625,1.3922182321548462,7.859884262084961,3.394238233566284
llama31_8b,qkv,4,4096,1.3594064712524414,10.75,0.11965680122375488,0.337890625,2.446920871734619,8.294576644897461,3.2935919761657715
llama31_8b,qkv,5,4096,1.6020183563232422,13.0625,0.12206864356994629,0.53125,2.5065360069274902,9.917304992675781,3.536083221435547
llama31_8b,qkv,6,4096,1.5874223709106445,14.875,0.11849033832550049,0.2890625,2.5169944763183594,9.550371170043945,3.586702823638916
llama31_8b,qkv,7,4096,1.6201534271240234,13.5,0.1144871711730957,0.26953125,2.612545967102051,9.627547264099121,3.7015268802642822
llama31_8b,qkv,8,4096,1.7461013793945312,16.375,0.1286543607711792,0.45703125,2.3729872703552246,9.49476432800293,3.648507595062256
llama31_8b,qkv,9,4096,1.7464065551757812,17.375,0.12132692337036133,0.37109375,2.625241279602051,9.19551944732666,3.738389730453491
llama31_8b,qkv,10,4096,1.828582763671875,18.625,0.12529385089874268,0.439453125,2.7583863735198975,9.204171180725098,3.756352663040161
llama31_8b,qkv,11,4096,1.8362846374511719,19.25,0.11785423755645752,0.314453125,2.5025241374969482,9.585467338562012,3.89284348487854
llama31_8b,qkv,12,4096,1.6945419311523438,14.8125,0.10741889476776123,0.25390625,2.845517635345459,10.097456932067871,3.9222285747528076
llama31_8b,qkv,13,4096,1.9432201385498047,21.375,0.11888313293457031,0.39453125,2.8661916255950928,9.5498685836792,3.979252338409424
llama31_8b,qkv,14,4096,1.9551925659179688,21.0,0.1245955228805542,0.375,2.8284270763397217,9.922779083251953,3.901639461517334
llama31_8b,qkv,15,4096,1.932058334350586,20.625,0.12029790878295898,0.431640625,2.7966461181640625,9.237604141235352,3.955324411392212
llama31_8b,qkv,16,4096,1.9033012390136719,20.625,0.12223458290100098,0.404296875,2.6010985374450684,9.400436401367188,3.870168924331665
llama31_8b,qkv,17,4096,1.9529953002929688,20.25,0.11641919612884521,0.36328125,2.879857301712036,8.19756031036377,4.023266792297363
llama31_8b,qkv,18,4096,2.0200729370117188,20.25,0.11303412914276123,0.28515625,3.2242021560668945,9.495078086853027,4.149789333343506
llama31_8b,qkv,19,4096,2.0461368560791016,19.375,0.1122819185256958,0.3046875,3.1659955978393555,9.607015609741211,4.194164752960205
llama31_8b,qkv,20,4096,2.0809097290039062,19.875,0.11115682125091553,0.318359375,3.0628340244293213,9.57474136352539,4.2415995597839355
llama31_8b,qkv,21,4096,2.0556812286376953,18.0,0.10688245296478271,0.33984375,3.092768669128418,9.41357421875,4.30082368850708
llama31_8b,qkv,22,4096,2.1463470458984375,21.875,0.10420238971710205,0.34375,3.3625388145446777,10.50451374053955,4.4404730796813965
llama31_8b,qkv,23,4096,2.1943416595458984,19.0,0.10197651386260986,0.47265625,3.3389198780059814,9.512781143188477,4.564460754394531
llama31_8b,qkv,24,4096,2.2182750701904297,19.375,0.10378468036651611,0.330078125,3.3785550594329834,9.073238372802734,4.552150249481201
llama31_8b,qkv,25,4096,2.2600173950195312,18.25,0.10102295875549316,0.435546875,3.56643009185791,8.7254056930542,4.668483734130859
llama31_8b,qkv,26,4096,2.17864990234375,20.25,0.1058892011642456,0.35546875,3.416968822479248,9.053201675415039,4.462664604187012
llama31_8b,qkv,27,4096,2.318817138671875,19.0,0.10351401567459106,0.41015625,3.601801633834839,8.580694198608398,4.677654266357422
llama31_8b,qkv,28,4096,2.276742935180664,18.625,0.09232151508331299,0.302734375,3.645988941192627,9.507293701171875,4.915257930755615
llama31_8b,qkv,29,4096,2.370481491088867,15.625,0.09989267587661743,0.40234375,3.5368194580078125,8.498739242553711,4.849086284637451
llama31_8b,qkv,30,4096,2.2472267150878906,16.875,0.09168088436126709,0.361328125,3.4765400886535645,8.221240043640137,4.904956340789795
llama31_8b,qkv,31,4096,1.9360265731811523,9.625,0.09721255302429199,0.57421875,1.7462482452392578,6.696531295776367,4.464862823486328
llama31_8b,down,0,14336,0.3899937570095062,10.0,0.05558902770280838,0.6171875,0.28605183959007263,6.135720252990723,2.517866849899292
llama31_8b,down,1,14336,0.35928377509117126,442.0,0.05014358088374138,0.7109375,0.4930066466331482,27.01875114440918,2.490032434463501
llama31_8b,down,2,14336,0.6679225564002991,3.03125,0.050107359886169434,0.60546875,0.6978023648262024,8.311027526855469,3.4862747192382812
llama31_8b,down,3,14336,0.6072793006896973,4.03125,0.04836136847734451,0.55078125,0.7895680665969849,9.444575309753418,3.407602071762085
llama31_8b,down,4,14336,0.8678011298179626,5.375,0.0492062047123909,0.66015625,0.7863336205482483,11.278736114501953,4.080996513366699
llama31_8b,down,5,14336,1.0166512727737427,6.5625,0.04916129633784294,0.6015625,0.8366600871086121,12.115004539489746,4.439194679260254
llama31_8b,down,6,14336,1.0296695232391357,5.34375,0.050885431468486786,0.6640625,0.9074851870536804,11.588020324707031,4.458273410797119
llama31_8b,down,7,14336,0.9781697392463684,6.0625,0.054989900439977646,0.64453125,0.7198485136032104,11.882251739501953,4.2609100341796875
llama31_8b,down,8,14336,0.9862005114555359,5.5625,0.053850557655096054,0.73828125,0.9145292639732361,10.865164756774902,4.3150200843811035
llama31_8b,down,9,14336,0.9936063885688782,5.65625,0.054417047649621964,0.7109375,0.9622504711151123,11.529227256774902,4.304814338684082
llama31_8b,down,10,14336,1.0084609985351562,7.375,0.053896017372608185,0.7109375,0.8784868121147156,11.934090614318848,4.347527980804443
llama31_8b,down,11,14336,0.9944484829902649,10.5625,0.05767616257071495,0.59765625,1.049781322479248,15.16995906829834,4.223126411437988
llama31_8b,down,12,14336,1.0571097135543823,8.1875,0.05768492445349693,0.921875,0.9789450168609619,11.313708305358887,4.353727340698242
