model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,nar_b128_k64,20260902,0,1.5805003643035889,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,1,2.2068076133728027,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,2,2.2757856845855713,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,3,1.841805338859558,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,4,1.7309026718139648,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,5,1.3142608404159546,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,6,1.335323691368103,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,7,1.7142306566238403,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,8,2.0125722885131836,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,9,1.8469973802566528,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,10,1.7552720308303833,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,11,2.0681862831115723,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,12,1.9762893915176392,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,13,2.082716226577759,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,14,1.9937517642974854,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,15,2.224003791809082,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,16,1.937708854675293,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,17,1.9273687601089478,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,18,1.5499987602233887,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,19,1.8724702596664429,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,20,1.9852875471115112,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,21,1.9484992027282715,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,22,1.9406218528747559,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,23,2.008049488067627,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,24,2.0629594326019287,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,25,2.1823835372924805,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
llama31_8b,nar_b128_k64,20260902,26,2.2507381439208984,2047,supplementary E11 k64 measurement for Figure 4,0.0027584671042859554
