model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,bf16,-1,0,1.5464779138565063,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,1,2.1922779083251953,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,2,2.264761447906494,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,3,1.8330577611923218,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,4,1.7191622257232666,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,5,1.292494773864746,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,6,1.318305253982544,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,7,1.6997891664505005,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,8,2.0047192573547363,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,9,1.8368663787841797,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,10,1.7400190830230713,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,11,2.057466506958008,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,12,1.956594467163086,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,13,2.071674108505249,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,14,1.9833183288574219,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,15,2.2152328491210938,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,16,1.928097128868103,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,17,1.9094105958938599,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,18,1.5210373401641846,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,19,1.8612604141235352,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,20,1.977912187576294,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,21,1.9391988515853882,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,22,1.9312353134155273,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,23,1.9972156286239624,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,24,2.050405740737915,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,25,2.1659064292907715,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,26,2.237657308578491,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,27,2.0679938793182373,2047,reused_verbatim_from_e5,0.0
llama31_8b,bf16,-1,28,1.774213433265686,2047,reused_verbatim_from_e5,0.0
