model,method,task,metric,accuracy,delta_vs_bf16,seed
llama31_8b,bf16,piqa,"acc_norm,none",0.8063112078346029,0.0,20260902
llama31_8b,bf16,arc_easy,"acc_norm,none",0.8253367003367004,0.0,20260902
llama31_8b,bf16,arc_challenge,"acc_norm,none",0.5460750853242321,0.0,20260902
llama31_8b,bf16,hellaswag,"acc_norm,none",0.7933678550089623,0.0,20260902
llama31_8b,bf16,winogrande,"acc,none",0.7434885556432518,0.0,20260902
llama31_8b,bf16,lambada_openai,"acc,none",0.7473316514651659,0.0,20260902
llama31_8b,bf16,mean,unweighted_mean_selected_accuracy,0.7436518426021527,0.0,20260902
llama31_8b,hadamard,piqa,"acc_norm,none",0.8030467899891186,-0.0032644178454842576,20260902
llama31_8b,hadamard,arc_easy,"acc_norm,none",0.8228114478114478,-0.002525252525252597,20260902
llama31_8b,hadamard,arc_challenge,"acc_norm,none",0.5341296928327645,-0.011945392491467643,20260902
llama31_8b,hadamard,hellaswag,"acc_norm,none",0.7879904401513643,-0.005377414857598017,20260902
llama31_8b,hadamard,winogrande,"acc,none",0.7205998421468035,-0.022888713496448276,20260902
llama31_8b,hadamard,lambada_openai,"acc,none",0.7420919852513099,-0.005239666213855965,20260902
llama31_8b,hadamard,mean,unweighted_mean_selected_accuracy,0.7351116996971347,-0.008540142905017922,20260902
llama31_8b,nar,piqa,"acc_norm,none",0.8046789989118607,-0.0016322089227421843,20260902
llama31_8b,nar,arc_easy,"acc_norm,none",0.8181818181818182,-0.007154882154882136,20260902
llama31_8b,nar,arc_challenge,"acc_norm,none",0.5443686006825939,-0.0017064846416382506,20260902
llama31_8b,nar,hellaswag,"acc_norm,none",0.7885879306910973,-0.004779924317865003,20260902
llama31_8b,nar,winogrande,"acc,none",0.7411207576953434,-0.0023677979479084232,20260902
llama31_8b,nar,lambada_openai,"acc,none",0.7471375897535416,-0.00019406171162428265,20260902
llama31_8b,nar,mean,unweighted_mean_selected_accuracy,0.7406792826527092,-0.002972559949443454,20260902
