model,method,layer,direction,s_i,top_magnitude_channel
llama31_8b,hadamard,0,v1,0.003354295389726758,2871
llama31_8b,hadamard,0,v2,0.027032239362597466,2871
llama31_8b,hadamard,0,v3,0.026730386540293694,2871
llama31_8b,hadamard,0,v4,0.01940883696079254,2871
llama31_8b,hadamard,0,v5,0.0071007260121405125,2871
llama31_8b,hadamard,0,v6,0.0022767188493162394,2871
llama31_8b,hadamard,0,v7,0.017178401350975037,2871
llama31_8b,hadamard,0,v8,0.00281811342574656,2871
llama31_8b,hadamard,0,top_magnitude_channel,0.0,2871
llama31_8b,smoothquant_hadamard,0,v1,0.0005570818320848048,2871
llama31_8b,smoothquant_hadamard,0,v2,0.004121946170926094,2871
llama31_8b,smoothquant_hadamard,0,v3,0.004083731211721897,2871
llama31_8b,smoothquant_hadamard,0,v4,0.004031146876513958,2871
llama31_8b,smoothquant_hadamard,0,v5,0.0016202194383367896,2871
llama31_8b,smoothquant_hadamard,0,v6,0.0005645605269819498,2871
llama31_8b,smoothquant_hadamard,0,v7,0.00294007477350533,2871
llama31_8b,smoothquant_hadamard,0,v8,0.0007268676999956369,2871
llama31_8b,smoothquant_hadamard,0,top_magnitude_channel,0.0,2871
llama31_8b,duquant_style,0,v1,0.8524406552314758,2871
llama31_8b,duquant_style,0,v2,0.5697811245918274,2871
llama31_8b,duquant_style,0,v3,0.6443086266517639,2871
llama31_8b,duquant_style,0,v4,0.5579210519790649,2871
llama31_8b,duquant_style,0,v5,0.15550550818443298,2871
llama31_8b,duquant_style,0,v6,0.25157132744789124,2871
llama31_8b,duquant_style,0,v7,0.3400832414627075,2871
llama31_8b,duquant_style,0,v8,0.40444085001945496,2871
llama31_8b,duquant_style,0,top_magnitude_channel,0.9999999403953552,2871
llama31_8b,nar,0,v1,0.9999999403953552,2871
llama31_8b,nar,0,v2,0.999999463558197,2871
llama31_8b,nar,0,v3,0.9999995827674866,2871
llama31_8b,nar,0,v4,0.9999997019767761,2871
llama31_8b,nar,0,v5,1.000000238418579,2871
llama31_8b,nar,0,v6,1.0,2871
llama31_8b,nar,0,v7,1.000000238418579,2871
llama31_8b,nar,0,v8,0.9999995827674866,2871
llama31_8b,nar,0,top_magnitude_channel,0.6850365400314331,2871
llama31_8b,hadamard,1,v1,0.005674556829035282,1935
llama31_8b,hadamard,1,v2,0.0016378855798393488,1935
llama31_8b,hadamard,1,v3,0.0005080127157270908,1935
llama31_8b,hadamard,1,v4,0.00974409468472004,1935
llama31_8b,hadamard,1,v5,0.03618917614221573,1935
llama31_8b,hadamard,1,v6,0.015467126853764057,1935
llama31_8b,hadamard,1,v7,0.0004660235426854342,1935
llama31_8b,hadamard,1,v8,0.0004974459880031645,1935
llama31_8b,hadamard,1,top_magnitude_channel,0.0,1935
llama31_8b,smoothquant_hadamard,1,v1,0.00028139003552496433,1935
llama31_8b,smoothquant_hadamard,1,v2,0.00016250200860667974,1935
llama31_8b,smoothquant_hadamard,1,v3,0.00010809765080921352,1935
llama31_8b,smoothquant_hadamard,1,v4,0.0005184328183531761,1935
llama31_8b,smoothquant_hadamard,1,v5,0.0018190550617873669,1935
llama31_8b,smoothquant_hadamard,1,v6,0.0008199578151106834,1935
llama31_8b,smoothquant_hadamard,1,v7,9.492674871580675e-05,1935
llama31_8b,smoothquant_hadamard,1,v8,0.00011516922677401453,1935
llama31_8b,smoothquant_hadamard,1,top_magnitude_channel,0.0,1935
llama31_8b,duquant_style,1,v1,0.48178085684776306,1935
llama31_8b,duquant_style,1,v2,0.22727656364440918,1935
llama31_8b,duquant_style,1,v3,0.2951512336730957,1935
llama31_8b,duquant_style,1,v4,0.4184369444847107,1935
llama31_8b,duquant_style,1,v5,0.3643375337123871,1935
llama31_8b,duquant_style,1,v6,0.34305840730667114,1935
llama31_8b,duquant_style,1,v7,0.33313533663749695,1935
llama31_8b,duquant_style,1,v8,0.22701172530651093,1935
llama31_8b,duquant_style,1,top_magnitude_channel,0.9999999403953552,1935
llama31_8b,nar,1,v1,1.0000003576278687,1935
llama31_8b,nar,1,v2,0.9999999403953552,1935
llama31_8b,nar,1,v3,1.000000238418579,1935
llama31_8b,nar,1,v4,0.9999999403953552,1935
llama31_8b,nar,1,v5,1.000000238418579,1935
llama31_8b,nar,1,v6,0.9999999403953552,1935
llama31_8b,nar,1,v7,1.000000238418579,1935
llama31_8b,nar,1,v8,0.9999998211860657,1935
llama31_8b,nar,1,top_magnitude_channel,0.46586349606513977,1935
llama31_8b,hadamard,2,v1,0.009770750999450684,3475
llama31_8b,hadamard,2,v2,0.006502643693238497,3475
llama31_8b,hadamard,2,v3,0.011263156309723854,3475
llama31_8b,hadamard,2,v4,0.009350305423140526,3475
llama31_8b,hadamard,2,v5,0.002985734026879072,3475
llama31_8b,hadamard,2,v6,0.021538959816098213,3475
llama31_8b,hadamard,2,v7,0.0015106922946870327,3475
llama31_8b,hadamard,2,v8,0.019369861111044884,3475
llama31_8b,hadamard,2,top_magnitude_channel,0.0,3475
