model,method,direction,mean_s_i_across_layers
llama31_8b,hadamard,v1,0.004766193243995076
llama31_8b,hadamard,v2,0.008243836851761444
llama31_8b,hadamard,v3,0.004277661506421282
llama31_8b,hadamard,v4,0.004347351041360525
llama31_8b,hadamard,v5,0.005930680468736682
llama31_8b,hadamard,v6,0.004640434963221196
llama31_8b,hadamard,v7,0.0051461790017128806
llama31_8b,hadamard,v8,0.005739746313338401
llama31_8b,hadamard,top_magnitude_channel,0.0
llama31_8b,smoothquant_hadamard,v1,0.0001784430472753229
llama31_8b,smoothquant_hadamard,v2,0.0004094843677648896
llama31_8b,smoothquant_hadamard,v3,0.0002640294705997803
llama31_8b,smoothquant_hadamard,v4,0.0002941409586583177
llama31_8b,smoothquant_hadamard,v5,0.00029701972505336016
llama31_8b,smoothquant_hadamard,v6,0.00021238572435322567
llama31_8b,smoothquant_hadamard,v7,0.000282184600337132
llama31_8b,smoothquant_hadamard,v8,0.00024773945540346176
llama31_8b,smoothquant_hadamard,top_magnitude_channel,0.0
llama31_8b,duquant_style,v1,0.5924135521054268
llama31_8b,duquant_style,v2,0.5050614648498595
llama31_8b,duquant_style,v3,0.46383933862671256
llama31_8b,duquant_style,v4,0.5330350426957011
llama31_8b,duquant_style,v5,0.5265815071761608
llama31_8b,duquant_style,v6,0.5246284287422895
llama31_8b,duquant_style,v7,0.537839342141524
llama31_8b,duquant_style,v8,0.5155674717389047
llama31_8b,duquant_style,top_magnitude_channel,0.9999999403953552
llama31_8b,nar,v1,0.999999986961484
llama31_8b,nar,v2,0.9999999608844519
llama31_8b,nar,v3,0.9999999683350325
llama31_8b,nar,v4,0.9999998677521944
llama31_8b,nar,v5,1.0000000055879354
llama31_8b,nar,v6,0.9999999832361937
llama31_8b,nar,v7,1.000000013038516
llama31_8b,nar,v8,0.9999999795109034
llama31_8b,nar,top_magnitude_channel,0.6690122447907925
