tokens,model,k,nar_fused_ms,hadamard_fused_ms,down_matmul_ms,nar_over_hadamard,nar_over_matmul,hadamard_over_matmul,transform_flop_over_matmul,variant,kernel_a_backend,kernel_a_splits,warmup,repetitions,cublas_bf16_projection_ms,triton_fp32_projection_ms,cublas_fp32_projection_ms,triton_fp32_nar_fused_ms
1,llama31_8b,8,0.016412305271792264,0.004128317357125607,0.08910627512328596,3.9755435088981477,0.1841879850670951,0.04633026519640436,0.0047607421875,variant-1-two-launch,triton_fp32,32,25,100,0.010140591017786683,0.010276649550049224,0.014094615991591479,0.016412305271792264
1,llama31_8b,8,0.2793226193274017,0.004128317357125607,0.08910627512328596,67.66016155353996,3.134713228007069,0.04633026519640436,0.0047607421875,variant-2-single-launch,fused-in-kernel,0,25,100,0.010140591017786683,0.010276649550049224,0.014094615991591479,0.016412305271792264
32,llama31_8b,8,0.02801469443418948,0.00806104288768429,0.1058667471651176,3.4753188668665316,0.26462222732219864,0.07614329431612452,0.0047607421875,variant-1-two-launch,triton_fp32,32,25,100,0.014780737078133871,0.011037286227838837,0.022515935445441806,0.02801469443418948
32,llama31_8b,8,0.3205115348100662,0.00806104288768429,0.1058667471651176,39.76055446867125,3.027499601080335,0.07614329431612452,0.0047607421875,variant-2-single-launch,fused-in-kernel,0,25,100,0.014780737078133871,0.011037286227838837,0.022515935445441806,0.02801469443418948
2048,llama31_8b,8,0.19817489205140967,0.10638424063101411,0.9136982393264771,1.8628218886175507,0.21689315303649068,0.11643257702831311,0.0047607421875,variant-1-two-launch,triton_fp32,2,25,100,0.050705235277310134,0.11285514452594378,0.2210286537625573,0.19817489205140967
2048,llama31_8b,8,0.5004112225074273,0.10638424063101411,0.9136982393264771,4.703809695301269,0.547676684674691,0.11643257702831311,0.0047607421875,variant-2-single-launch,fused-in-kernel,0,25,100,0.050705235277310134,0.11285514452594378,0.2210286537625573,0.19817489205140967
1,llama31_8b,32,0.04135285949811709,0.005135918793689251,0.08967317621032876,8.051696523887667,0.46115082843863814,0.05727374685204564,0.0164794921875,variant-1-two-launch,triton_fp32,32,25,100,0.012164082856656148,0.02469917585120629,0.019270500856502254,0.04135285949811709
1,llama31_8b,32,0.8654699996113777,0.005135918793689251,0.08967317621032876,168.51317833818206,9.651381117374662,0.05727374685204564,0.0164794921875,variant-2-single-launch,fused-in-kernel,0,25,100,0.012164082856656148,0.02469917585120629,0.019270500856502254,0.04135285949811709
32,llama31_8b,32,0.05937738439890075,0.0074645723293716715,0.10244015948846937,7.954559454834679,0.5796299487954648,0.07286763674173977,0.0164794921875,variant-1-two-launch,triton_fp32,32,25,100,0.01584728042606586,0.026597036313329915,0.024071573117396584,0.05937738439890075
32,llama31_8b,32,0.8947085499763489,0.0074645723293716715,0.10244015948846937,119.86065785119946,8.73396287592716,0.07286763674173977,0.0164794921875,variant-2-single-launch,fused-in-kernel,0,25,100,0.01584728042606586,0.026597036313329915,0.024071573117396584,0.05937738439890075
2048,llama31_8b,32,0.5758054685249603,0.10625698858941043,0.8949598467465744,5.418989152327106,0.6433869302831539,0.11872821889795823,0.0164794921875,variant-1-two-launch,triton_fp32,2,25,100,0.05278618816031605,0.3165692724635668,0.22340817427460527,0.5758054685249603
2048,llama31_8b,32,1.7302073982526671,0.10625698858941043,0.8949598467465744,16.28323389568655,1.933279358333726,0.11872821889795823,0.0164794921875,variant-2-single-launch,fused-in-kernel,0,25,100,0.05278618816031605,0.3165692724635668,0.22340817427460527,0.5758054685249603
