model,row,method,group,m,seed,chunk,nll,tokens_scored,effective_bits,slots,coeff,bit_accounted
llama31_8b,bf16,bf16,0,0,0,0,1.5455693006515503,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,1,2.192683219909668,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,2,2.2641265392303467,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,3,1.8333871364593506,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,4,1.7193009853363037,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,5,1.2922852039337158,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,6,1.3175839185714722,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,7,1.6995736360549927,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,8,2.004021167755127,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,9,1.8369431495666504,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,10,1.738706111907959,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,11,2.057640552520752,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,12,1.955901026725769,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,13,2.0715150833129883,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,14,1.9833519458770752,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,15,2.2163476943969727,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,16,1.9266260862350464,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,17,1.9081172943115234,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,18,1.5221651792526245,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,19,1.8630183935165405,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,20,1.976601004600525,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,21,1.9395151138305664,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,22,1.9305630922317505,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,23,1.997559905052185,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,24,2.0524559020996094,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,25,2.1660609245300293,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,26,2.2379050254821777,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,27,2.067958116531372,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,28,1.7725396156311035,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,29,1.593917965888977,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,30,1.424722671508789,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,31,1.4547768831253052,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,32,1.8200501203536987,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,33,1.78804612159729,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,34,1.943972110748291,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,35,1.2878100872039795,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,36,1.3001290559768677,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,37,1.3028682470321655,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,38,1.2923098802566528,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,39,1.511764407157898,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,40,2.05047345161438,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,41,2.5307843685150146,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,42,2.5280768871307373,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,43,2.019115924835205,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,44,2.040931224822998,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,45,2.0914807319641113,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,46,2.179140329360962,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,47,2.0336225032806396,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,48,1.8135279417037964,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,49,1.8353122472763062,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,50,1.5262689590454102,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,51,1.669022560119629,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,52,1.508880615234375,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,53,1.7061355113983154,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,54,1.442960500717163,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,55,1.4169812202453613,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,56,1.4580246210098267,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,57,1.6269268989562988,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,58,1.9249606132507324,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,59,2.149505138397217,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,60,2.1720309257507324,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,61,2.2899019718170166,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,62,1.2647061347961426,2047,16.0,0,,
llama31_8b,bf16,bf16,0,0,0,63,1.727656364440918,2047,16.0,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,0,1.5985093116760254,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,1,2.221660614013672,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,2,2.284558057785034,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,3,1.841905117034912,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,4,1.7426328659057617,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,5,1.320106029510498,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,6,1.3648173809051514,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,7,1.725684642791748,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,8,2.0354466438293457,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,9,1.8543087244033813,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,10,1.7561920881271362,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,11,2.0790066719055176,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,12,1.9795916080474854,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,13,2.093778371810913,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,14,2.023597002029419,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,15,2.2375001907348633,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,16,1.9475151300430298,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,17,1.9275916814804077,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,18,1.5785554647445679,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,19,1.8892133235931396,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,20,1.9968953132629395,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,21,1.9592903852462769,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,22,1.9384829998016357,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,23,2.020155429840088,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,24,2.071786642074585,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,25,2.1910769939422607,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,26,2.252875328063965,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,27,2.0871360301971436,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,28,1.7975887060165405,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,29,1.6164556741714478,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,30,1.455662727355957,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,31,1.4779059886932373,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,32,1.8373749256134033,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,33,1.8072792291641235,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,34,1.9609007835388184,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,35,1.3080345392227173,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,36,1.3150041103363037,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,37,1.329732060432434,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,38,1.306635856628418,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,39,1.5319310426712036,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,40,2.0685648918151855,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,41,2.5455892086029053,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,42,2.540177345275879,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,43,2.0477428436279297,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,44,2.070326805114746,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,45,2.106980562210083,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,46,2.196376085281372,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,47,2.054182291030884,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,48,1.833878993988037,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,49,1.8514665365219116,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,50,1.5423293113708496,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,51,1.6863852739334106,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,52,1.5255110263824463,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,53,1.7260777950286865,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,54,1.4612482786178589,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,55,1.4445050954818726,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,56,1.515690565109253,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,57,1.6501611471176147,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,58,1.9469784498214722,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,59,2.1762993335723877,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,60,2.1963915824890137,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,61,2.3053712844848633,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,62,1.295676827430725,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,0,63,1.7435203790664673,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,0,1.5872660875320435,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,1,2.210221529006958,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,2,2.2785685062408447,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,3,1.838001012802124,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,4,1.7287648916244507,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,5,1.3148536682128906,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,6,1.359235167503357,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,7,1.7263998985290527,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,8,2.0254716873168945,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,9,1.8561431169509888,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,10,1.7617406845092773,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,11,2.071406841278076,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,12,1.9805455207824707,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,13,2.0883004665374756,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,14,1.9933267831802368,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,15,2.234790563583374,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,16,1.9495736360549927,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,17,1.9377572536468506,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,18,1.5755622386932373,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,19,1.8784936666488647,2047,4.5,0,,
