model,row,method,group,m,effective_bits,slots,seeds,mean_ppl,seed_ppl_std,ppl_delta_vs_bf16,paired_delta_vs_nar_g128_m1,paired_90ci_low,paired_90ci_high,seed_ppls
llama31_8b,bf16,bf16,0,0,16.0,0,1,6.204425165181543,0.0,0.0,nan,nan,nan,6.204425
llama31_8b,hadamard_g128_m1,hadamard,128,1,4.25,0,3,6.346608043012249,0.0025612198672606973,0.14218287783070593,0.05996411950033783,0.05704046755900913,0.06288777144166653,6.346034 6.344383 6.349408
llama31_8b,hadamard_g256_m1,hadamard,256,1,4.125,0,3,6.3735624099581605,0.009988005044886922,0.16913724477661773,0.08691848644625051,0.06841145946523348,0.10542551342726754,6.375933 6.382152 6.362602
llama31_8b,hadamard_g256_m2,hadamard,256,2,4.1875,0,3,6.377215826945062,0.007265933462415658,0.17279066176351954,0.09057190343315291,0.07762618724270438,0.10351761962360144,6.373334 6.385598 6.372715
llama31_8b,hadamard_g256_m3,hadamard,256,3,4.25,0,3,6.368741461051276,0.00629028736640325,0.1643162958697335,0.08209753753936688,0.06960916058113581,0.09458591449759796,6.372015 6.372720 6.361490
llama31_8b,hadamard_g64_m1,hadamard,64,1,4.5,0,3,6.335004871595902,0.015285631864036725,0.130579706414359,0.0483609480839912,0.022136604695306462,0.07458529147267592,6.349474 6.319016 6.336524
llama31_8b,nar_g128_m1,nar,128,1,4.25,112,3,6.28664392351191,0.0011733602759966832,0.08221875833036751,nan,nan,nan,6.285668 6.286319 6.287946
llama31_8b,nar_g128_m2,nar,128,2,4.375,224,3,6.28530992137538,0.004411343670235422,0.0808847561938375,-0.0013340021365300103,-0.0069730228526273886,0.004305018579567368,6.280609 6.285962 6.289359
llama31_8b,nar_g256_m1,nar,256,1,4.125,56,3,6.30502633556351,0.0028704640090382134,0.10060117038196736,0.01838241205159985,0.013450629226345849,0.02331419487685385,6.306921 6.301724 6.306435
llama31_8b,nar_g256_m2,nar,256,2,4.1875,112,3,6.304714954276931,0.005855847666653387,0.10028978909538822,0.018071030765020108,0.009210090308297812,0.026931971221742405,6.298062 6.309087 6.306996
llama31_8b,nar_g256_m3,nar,256,3,4.25,168,3,6.302500403739203,0.00207545868360315,0.09807523855766043,0.015856480227292913,0.010382526319181332,0.021330434135404495,6.304107 6.303237 6.300157
llama31_8b,nar_g64_m1,nar,64,1,4.5,224,3,6.264503276116856,0.002653522189732952,0.060078110935313234,-0.022140647395054575,-0.02657194215315331,-0.01770935263695584,6.261907 6.267211 6.264392
