model,row,site,group,m,slots,f,hadamard_step,one_term_score_f,two_term_step_pred,measured_step,mean_ppl
llama31_8b,nar_g128_m1,qkv,128,1,112,0.4562718793749809,0.14863447745641073,0.4562718793749809,0.1095999757107727,0.10669002210100492,6.28664392351191
llama31_8b,nar_g128_m1,down,128,1,112,0.2624006327241659,0.018533813332517943,0.2624006327241659,0.01591750710403188,0.014274690936629971,6.28664392351191
llama31_8b,nar_g128_m1,combined,128,1,112,0.3593362560495734,nan,0.3593362560495734,0.0627587414074023,0.06048235651881745,6.28664392351191
llama31_8b,nar_g128_m2,qkv,128,2,224,0.5251771956682205,0.14863447745641073,0.5251771956682205,0.10242013524504015,0.10189392951627572,6.28530992137538
llama31_8b,nar_g128_m2,down,128,2,224,0.31545401364564896,0.018533813332517943,0.31545401364564896,0.015334375676851569,0.013875532243400813,6.28530992137538
llama31_8b,nar_g128_m2,combined,128,2,224,0.42031560465693474,nan,0.42031560465693474,0.05887725546094586,0.05788473087983827,6.28530992137538
llama31_8b,nar_g256_m1,qkv,256,1,56,0.3822331465780735,0.16167030682166417,0.3822331465780735,0.1270698635843478,0.12072487970193227,6.30502633556351
llama31_8b,nar_g256_m1,down,256,1,56,0.21310565434396267,0.02017743717879057,0.21310565434396267,0.01789881239955683,0.016263374236101906,6.30502633556351
llama31_8b,nar_g256_m1,combined,256,1,56,0.2976694004610181,nan,0.2976694004610181,0.07248433799195231,0.06849412696901709,6.30502633556351
llama31_8b,nar_g256_m2,qkv,256,2,112,0.4562718793749809,0.16167030682166417,0.4562718793749809,0.11921232545796073,0.11612130552530289,6.304714954276931
llama31_8b,nar_g256_m2,down,256,2,112,0.2624006364494562,0.02017743717879057,0.2624006364494562,0.017329110478305793,0.015778271683181324,6.304714954276931
llama31_8b,nar_g256_m2,combined,256,2,112,0.35933625791221857,nan,0.35933625791221857,0.06827071796813326,0.06594978860424211,6.304714954276931
llama31_8b,nar_g256_m3,qkv,256,3,168,0.49777088314294815,0.16167030682166417,0.49777088314294815,0.11457271544056315,0.11298060516516367,6.302500403739203
llama31_8b,nar_g256_m3,down,256,3,168,0.293610330671072,0.02017743717879057,0.293610330671072,0.016958528806249953,0.01550626194414993,6.302500403739203
llama31_8b,nar_g256_m3,combined,256,3,168,0.3956906069070101,nan,0.3956906069070101,0.06576562212340654,0.0642434335546568,6.302500403739203
llama31_8b,nar_g64_m1,qkv,64,1,224,0.5251772180199623,0.13431459764639536,0.5251772180199623,0.09255267800551215,0.09208516875902811,6.264503276116856
llama31_8b,nar_g64_m1,down,64,1,224,0.31545401364564896,0.0167656348242114,0.31545401364564896,0.013871432621169895,0.012370202286789814,6.264503276116856
llama31_8b,nar_g64_m1,combined,64,1,224,0.42031561583280563,nan,0.42031561583280563,0.05321205531334102,0.05222768552290896,6.264503276116856
