model,site,layer,evaluation_tokens,recaptured_raw_mean_group_range,original_E1c_raw_mean_group_range,relative_range_replay_drift,reference_status,provenance
llama31_8b,down,0,8192,0.04998909623827785,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,1,8192,0.1404585958890883,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,2,8192,0.1052943001434739,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,3,8192,0.1497094826772809,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,4,8192,0.19443380500056912,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,5,8192,0.23637656029313803,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,6,8192,0.26086136179843117,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,7,8192,0.2703473546675273,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,8,8192,0.2800994017826659,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,9,8192,0.3011591846921614,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,10,8192,0.3025524030838694,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,11,8192,0.3100503031164408,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,12,8192,0.3259296856288399,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,13,8192,0.35843067855707234,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,14,8192,0.39290662535599297,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,15,8192,0.4401437006890774,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,16,8192,0.46143605905984125,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,17,8192,0.5094972016023738,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,18,8192,0.5113160724618605,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,19,8192,0.5232069761093173,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,20,8192,0.5390360318124294,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,21,8192,0.6048931881253208,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,22,8192,0.6135398583220584,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,23,8192,0.6208599092704908,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,24,8192,0.6449868689690317,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,25,8192,0.6727620890097958,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,26,8192,0.7244188402380262,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,27,8192,0.8340744349573339,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,28,8192,0.9683036649865763,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,29,8192,1.2019136218088013,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,30,8192,1.8440374662833554,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,down,31,8192,4.977807817714555,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,qkv,0,8192,1.2488216403871775,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,qkv,1,8192,2.407362174242735,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,qkv,2,8192,3.74268189817667,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,qkv,3,8192,2.7925974875688553,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
llama31_8b,qkv,4,8192,3.032593809068203,nan,nan,no original E1c dump or per-layer reference for this model,same frozen token IDs and E1c row positions; freshly replayed bf16 values
