model,site,layer,method,selected_tokens,selected_bos,selected_sequences,bos_fraction,indices_sha256,values_sha256,selection_artifact
llama31_8b,qkv,0,B_top1,128,2,128,0.015625,f74ac640b82d4f3e9a47bec9f520b7a23e10d8594cbcbd62a079bd0133bd104e,7e2470011e838fb93939e2c605e1a97975848fb2cbe5c554944826c92a3cfa44,qkv_layer_00.selection.pt
llama31_8b,qkv,0,B_top1_no_bos,128,0,128,0.0,5d7dfa2eb916dda948a3a2b9e2dcf0cc96d1d1c216b616116ec1e419dbccee1c,7dff4bf958e043ff9855b35ae3b0770317e85f5be5640a6d2d0e13735cf13dc5,qkv_layer_00.selection.pt
llama31_8b,qkv,0,C_top1pct,2622,0,52,0.0,8565312ab31e731b3a58b19afbb18dcea442cf3ca1ca318c3c1bb315c8dbe83b,4b757dc64ede4e925529443fa31f2d689f5e351b10c04854fcc931171a016c3c,qkv_layer_00.selection.pt
llama31_8b,qkv,0,C_top1pct_no_bos,2621,0,52,0.0,40ebb47ec906cc85f31ec1a7982f8b0d0f3d04c1173fa8ccedbb7860b8b72a42,7e7c5160a9f8c42554e1ad8ccc260195e28c46f03a90da7505b459e9320ced29,qkv_layer_00.selection.pt
llama31_8b,qkv,1,B_top1,128,0,128,0.0,513d6271b64cf3540f918d49f280246d1c3cc59f179d52520d52b737adf7014d,1cd87be3ecfe0625024bf9f8c8e7ad94cf0a201cbe938d55b5f6d537a392a819,qkv_layer_01.selection.pt
llama31_8b,qkv,1,B_top1_no_bos,128,0,128,0.0,513d6271b64cf3540f918d49f280246d1c3cc59f179d52520d52b737adf7014d,1cd87be3ecfe0625024bf9f8c8e7ad94cf0a201cbe938d55b5f6d537a392a819,qkv_layer_01.selection.pt
llama31_8b,qkv,1,C_top1pct,2622,0,128,0.0,2d2a11aafdb6782f96c8891a942c8dbb24f6b18abf416c76ea71346eeda1318d,6dadafa2b52c4c07cd28e0d8f2cec0078518e9c5c01eae23355ca1882bfbc47b,qkv_layer_01.selection.pt
llama31_8b,qkv,1,C_top1pct_no_bos,2621,0,128,0.0,c233d075452643589c55278f99307031abc0282351d4e06cd18868b8c1c69e57,10527ac430d7fc7febeb65eae62370d64bfac756d65a21dfccc2a40e156293b6,qkv_layer_01.selection.pt
llama31_8b,qkv,2,B_top1,128,0,128,0.0,5149ba6223a37f3cb1c2e495f89eb8c2ce0c851c4b525f0198cf67656ee89099,a5eba171a833a45b50664fd0e84df5abbddac3c97bf0eb9003bea33a0cf501b0,qkv_layer_02.selection.pt
llama31_8b,qkv,2,B_top1_no_bos,128,0,128,0.0,5149ba6223a37f3cb1c2e495f89eb8c2ce0c851c4b525f0198cf67656ee89099,a5eba171a833a45b50664fd0e84df5abbddac3c97bf0eb9003bea33a0cf501b0,qkv_layer_02.selection.pt
