model,site,method,seeds,mean_ppl,seed_ppl_std,paired_ppl_delta_vs_A,paired_90ci_low_vs_A,paired_90ci_high_vs_A,seed_ppls,seed_values,eval_sequences,tokens_scored_per_sequence
llama31_8b,qkv_only,A_full,3,6.224503385075912,0.0013210362219679165,0.0,0.0,0.0,6.22449353331;6.22582931963;6.22318730229,20260902;20260903;20260904,64,2047
llama31_8b,qkv_only,B_top1,3,6.227524581922928,0.0015468490957410313,0.003021196847016109,0.0008034174096921585,0.0052389762843400595,6.22607440511;6.22915271105;6.22734662961,20260902;20260903;20260904,64,2047
llama31_8b,qkv_only,B_top1_no_bos,3,6.226370962672675,0.003390365852827641,0.001867577596763444,-0.0018861563387705968,0.005621311532297485,6.22485603099;6.23025465901;6.22400219802,20260902;20260903;20260904,64,2047
llama31_8b,qkv_only,C_top1pct,3,6.227541139738858,0.0010558914561401786,0.0030377546629463126,0.0017125097312777004,0.004362999594614924,6.22680932511;6.22875158378;6.22706251033,20260902;20260903;20260904,64,2047
llama31_8b,qkv_only,C_top1pct_no_bos,3,6.22392709326089,0.002876903368563744,-0.0005762918150222044,-0.006252389404396332,0.005099805774351923,6.22720266031;6.22181017678;6.2227684427,20260902;20260903;20260904,64,2047
llama31_8b,qkv_only,hadamard,3,6.242933937490464,0.008083332891675439,0.018430552414552714,0.006920641420579937,0.02994046340852549,6.24021860315;6.25202532887;6.23655788045,20260902;20260903;20260904,64,2047
llama31_8b,both,A_full,3,6.284927613703762,0.0023962634965659035,0.0,0.0,0.0,6.28458222401;6.28747783;6.28272278711,20260902;20260903;20260904,64,2047
llama31_8b,both,B_top1,3,6.300943417502354,0.0022763822339917222,0.016015803798591577,0.011750370236885835,0.02028123736029732,6.30318075284;6.30101959879;6.29862990088,20260902;20260903;20260904,64,2047
llama31_8b,both,B_top1_no_bos,3,6.341784933548229,0.006927105829192663,0.0568573198444667,0.0486284517412089,0.0650861879477245,6.34433357091;6.34707667387;6.33394455586,20260902;20260903;20260904,64,2047
llama31_8b,both,C_top1pct,3,6.292885262247708,0.0015415793305387294,0.00795764854394528,0.001773631978464819,0.014141665109425742,6.29182449659;6.29217768344;6.29465360671,20260902;20260903;20260904,64,2047
llama31_8b,both,C_top1pct_no_bos,3,6.329329909383007,0.007030432625431665,0.044402295679244475,0.03652269904844088,0.05228189231004807,6.32951851963;6.33626413914;6.32220706938,20260902;20260903;20260904,64,2047
llama31_8b,both,hadamard,3,6.346260798979771,0.001195006502822177,0.06133318527600876,0.056407224380832253,0.06625914617118527,6.34497245501;6.34647698977;6.34733295216,20260902;20260903;20260904,64,2047
llama31_8b,down_only,A_full,3,6.2621701781452925,0.0005906708545457149,0.0,0.0,0.0,6.26150185985;6.26238641759;6.26262225699,20260902;20260903;20260904,64,2047
llama31_8b,down_only,B_top1,3,6.279177829832026,0.00291878267162552,0.01700765168673435,0.012882223405019497,0.021133079968449202,6.27678947087;6.27831261659;6.28243140204,20260902;20260903;20260904,64,2047
llama31_8b,down_only,B_top1_no_bos,3,6.315851909729432,0.003329371999907989,0.05368173158414032,0.04802687230666974,0.0593365908616109,6.3149106518;6.31955057882;6.31309449857,20260902;20260903;20260904,64,2047
llama31_8b,down_only,C_top1pct,3,6.271271925036498,0.004159706531167802,0.00910174689120602,0.002606838566399066,0.015596655216012972,6.26779426853;6.27588000186;6.27014150472,20260902;20260903;20260904,64,2047
llama31_8b,down_only,C_top1pct_no_bos,3,6.305636361099304,0.0041733692818150874,0.04346618295401209,0.03715674720738743,0.04977561870063675,6.30141357233;6.30975848979;6.30573702118,20260902;20260903;20260904,64,2047
llama31_8b,down_only,hadamard,3,6.315415446026737,0.0023000056071356733,0.05324526788144546,0.0495363502889915,0.05695418547389942,6.31515712673;6.3132555056;6.31783370575,20260902;20260903;20260904,64,2047
