model,row,site,layer,seed,round_trip,tolerance
llama31_8b,E11_g64_kmax,qkv,0,0,1.4501749490136717e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,0,1,1.442787578298521e-07,1e-06
llama31_8b,E11_g64_kmax,qkv,0,2,1.4285096483490634e-07,1e-06
llama31_8b,E11_g128_k8,qkv,0,0,1.2105321900435229e-07,1e-06
llama31_8b,E11_g128_k8,qkv,0,1,1.2244379377079895e-07,1e-06
llama31_8b,E11_g128_k8,qkv,0,2,1.2161001450294862e-07,1e-06
llama31_8b,E11_g128_k16,qkv,0,0,1.3126216913406097e-07,1e-06
llama31_8b,E11_g128_k16,qkv,0,1,1.3115381136685755e-07,1e-06
llama31_8b,E11_g128_k16,qkv,0,2,1.3109657004406472e-07,1e-06
llama31_8b,E11_g128_k32,qkv,0,0,1.3817540889249358e-07,1e-06
llama31_8b,E11_g128_k32,qkv,0,1,1.384683940841569e-07,1e-06
llama31_8b,E11_g128_k32,qkv,0,2,1.3771489193459274e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,0,0,1.4335829234823905e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,0,1,1.4420149341276556e-07,1e-06
llama31_8b,E11_g128_kmax,qkv,0,2,1.4211522625373618e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,0,0,1.2661264747748646e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,0,1,1.2460535003810946e-07,1e-06
llama31_8b,E11_g256_kmax,qkv,0,2,1.2598913201600226e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,0,0,1.3511333918359014e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,0,1,1.330367354057671e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,qkv,0,2,1.3382931740579807e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,0,0,1.3511333918359014e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,0,1,1.330367354057671e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,qkv,0,2,1.3382931740579807e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,0,0,1.3511333918359014e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,0,1,1.330367354057671e-07,1e-06
