model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
llama31_8b,E11_g64_kmax,qkv,0,0,64,1,64,0.016957497894787482,0.04100672680337403,0.6880287662921419,0.6785770923298331,0.02290405511366201,0.35067421242036084,131072,8388608,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g64_kmax,qkv,0,1,64,1,64,0.016952858880111346,0.04092411468289914,0.6880287662921419,0.6785770966785164,0.022857912621736573,0.3483220018160407,131072,8388608,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g64_kmax,qkv,0,2,64,1,64,0.016956890860242213,0.04107493087588154,0.6880287662921419,0.6785770890473216,0.022942150078987547,0.35296914204823987,131072,8388608,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k8,qkv,0,0,128,1,8,0.02653767864990486,0.04510075218542653,0.4775295414255003,0.47153664994420935,0.03259977892347556,0.22843370565844254,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k8,qkv,0,1,128,1,8,0.02657510916451733,0.044947463970548274,0.4775295414255003,0.47153664366850956,0.032488978955083465,0.2225341673652367,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k8,qkv,0,2,128,1,8,0.0266125489374055,0.04516880367085019,0.4775295414255003,0.4715366426593738,0.03264896797848521,0.22682603817010435,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k16,qkv,0,0,128,1,16,0.02420138130654731,0.04510075218542653,0.5483453269588338,0.5410967022918628,0.030310076958649797,0.2524110328549666,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k16,qkv,0,1,128,1,16,0.024211872136705337,0.044947463970548274,0.5483453269588338,0.5410966995780893,0.030207059218042905,0.24761352808603468,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k16,qkv,0,2,128,1,16,0.024175336713039897,0.04516880367085019,0.5483453269588338,0.5410966902048401,0.03035581113514116,0.25565205132251934,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k32,qkv,0,0,128,1,32,0.021668061744006067,0.04510075218542653,0.6176722462167302,0.6087243619132897,0.027886993644495022,0.2870091461784425,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k32,qkv,0,1,128,1,32,0.02165017922564949,0.044947463970548274,0.6176722462167302,0.6087243477917219,0.027792211467547935,0.28369429083625464,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_k32,qkv,0,2,128,1,32,0.021661305231707756,0.04516880367085019,0.6176722462167302,0.6087243489932526,0.027929071686424473,0.2893531293553806,131072,4194304,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g128_kmax,qkv,0,0,128,1,32,0.021968106244441787,0.04510075218542653,0.6133184217178345,0.6045448427499901,0.028045328175902044,0.2766384076915083,131072,4194304,saved factor eigenvalue sum / calibration trace
llama31_8b,E11_g128_kmax,qkv,0,1,128,1,32,0.021964606943710885,0.044947463970548274,0.6133184217178345,0.6045448333843487,0.027950007852327752,0.27250207226360884,131072,4194304,saved factor eigenvalue sum / calibration trace
llama31_8b,E11_g128_kmax,qkv,0,2,128,1,32,0.021947889537545923,0.04516880367085019,0.6133184217178345,0.6045448437612757,0.028087645125156404,0.2797424133699641,131072,4194304,saved factor eigenvalue sum / calibration trace
llama31_8b,E11_g256_kmax,qkv,0,0,256,1,16,0.027058338512032987,0.048806955064004676,0.5483453269588338,0.5410966885684166,0.032800840172802395,0.21222669153228635,131072,2097152,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g256_kmax,qkv,0,1,256,1,16,0.027046046742750685,0.04859234115481037,0.5483453269588338,0.5410966903956179,0.03265660834098435,0.2074447941171845,131072,2097152,frozen E11 selected eigenvalue fractions
llama31_8b,E11_g256_kmax,qkv,0,2,256,1,16,0.02708202726462794,0.048867888941129145,0.5483453269588338,0.5410966779392492,0.03284179094225827,0.2126784535496426,131072,2097152,frozen E11 selected eigenvalue fractions
llama31_8b,E20_hadamard_g64_m1,qkv,0,0,64,1,0,0.040932846775603604,0.040932846775603604,0.010552121326327324,0.014446569469706506,0.040716309846985814,-0.005290052993500769,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g64_m1,qkv,0,1,64,1,0,0.04095621906092006,0.04095621906092006,0.010552121326327324,0.014446569528447195,0.04073955849167437,-0.005290052993500751,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g64_m1,qkv,0,2,64,1,0,0.040991715144929275,0.040991715144929275,0.010552122257649899,0.01444656959714404,0.040774866780328343,-0.005290053461638475,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m1,qkv,0,0,128,1,0,0.04498200483658854,0.04498200483658854,0.007217623759061098,0.009234130264380329,0.04481937926922049,-0.003615347247390087,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m1,qkv,0,1,128,1,0,0.04494701471312812,0.04494701471312812,0.007217623759061098,0.009234130205051915,0.04478451564720661,-0.00361534724739005,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m1,qkv,0,2,128,1,0,0.04506803320715003,0.04506803320715003,0.007217624224722385,0.009234130289248127,0.044905096606817976,-0.0036153474810655937,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m1,qkv,0,0,256,1,0,0.048676427374442,0.048676427374442,0.007039316464215517,0.008608452534561916,0.048504800418602466,-0.0035258741262849526,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
