model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
llama31_8b,qkv,0,1,21.339738544275118,0.29231450153914523,0.29231450153914523,6.851051852741842e-05
llama31_8b,qkv,0,2,3.903592031016867,0.053471909057901536,0.3457864105970468,0.002526239001737573
llama31_8b,qkv,0,3,3.580219720007703,0.049042313273113244,0.39482872387016005,0.001757427186254477
llama31_8b,qkv,0,4,1.6430166171972114,0.022506254351714217,0.41733497822187426,0.01722795718512092
llama31_8b,qkv,0,5,1.2114136756840963,0.016594101377137054,0.4339290795990113,0.02517766095435301
llama31_8b,qkv,0,6,1.1677714931759833,0.01599628511057544,0.4499253647095867,0.023088772288456134
llama31_8b,qkv,0,7,1.073157688277278,0.014700252960963814,0.46462561767055055,0.025410902019691723
llama31_8b,qkv,0,8,0.9371036282387419,0.012836566830975544,0.4774621845015261,0.04702715551938779
llama31_8b,qkv,0,9,0.8282536309731855,0.011345525475093774,0.4888077099766198,0.034771761976848926
llama31_8b,qkv,0,10,0.7451210845547775,0.010206765090679597,0.49901447506729946,0.04528092977375531
llama31_8b,qkv,0,11,0.7225766004723608,0.009897947828774728,0.5089124228960743,0.05412804270467295
llama31_8b,qkv,0,12,0.6536362935590851,0.008953594578640077,0.5178660174747143,0.06931444476863145
llama31_8b,qkv,0,13,0.6167376858258998,0.008448152672468828,0.5263141701471832,0.08397853916216169
llama31_8b,qkv,0,14,0.5938268503391698,0.008134317081594377,0.5344484872287776,0.0784417369260044
llama31_8b,qkv,0,15,0.5161705936901393,0.007070571623482984,0.5415190588522605,0.06996580094257931
llama31_8b,qkv,0,16,0.4654869574022054,0.006376300611354144,0.5478953594636146,0.11017916618397772
llama31_8b,qkv,0,17,0.4156460831500757,0.005693573862708245,0.5535889333263229,0.13458635918908518
llama31_8b,qkv,0,18,0.40796492462583167,0.005588356358726224,0.5591772896850491,0.1443688722103099
llama31_8b,qkv,0,19,0.37699805561555816,0.005164168177592462,0.5643414578626416,0.1312967269907523
llama31_8b,qkv,0,20,0.37343595648861594,0.0051153740825493205,0.5694568319451908,0.14074096530121769
llama31_8b,qkv,0,21,0.3413246641266445,0.004675509442169946,0.5741323413873608,0.1642696281135828
llama31_8b,qkv,0,22,0.3322526295526942,0.004551239537975567,0.5786835809253363,0.12904111543443894
llama31_8b,qkv,0,23,0.31363853364704775,0.004296261242202557,0.582979842167539,0.15993661198384354
llama31_8b,qkv,0,24,0.29322529818608184,0.004016638099857439,0.5869964802673965,0.18010479378554195
llama31_8b,qkv,0,25,0.2900067650558607,0.003972550216320542,0.590969030483717,0.19743687353217082
llama31_8b,qkv,0,26,0.2766925693010832,0.003790170639017966,0.594759201122735,0.24028129008645127
llama31_8b,qkv,0,27,0.2477107221021496,0.003393173543666359,0.5981523746664013,0.1984682536520715
llama31_8b,qkv,0,28,0.23993558699255968,0.003286668736250665,0.601439043402652,0.1828067790332613
llama31_8b,qkv,0,29,0.23073853102210928,0.0031606862727798996,0.6045997296754319,0.25954254330887055
llama31_8b,qkv,0,30,0.2232121810417092,0.0030575893562752674,0.607657319031707,0.25195328838056885
llama31_8b,qkv,0,31,0.2123362078873146,0.0029086088678412668,0.6105659278995484,0.21172853386694707
llama31_8b,qkv,0,32,0.20093939273516742,0.002752493818286106,0.6133184217178345,0.20582699171033583
llama31_8b,qkv,1,1,86.38832844141419,0.4122085980406799,0.4122085980406799,4.6613191355726616e-05
llama31_8b,qkv,1,2,8.073269192137174,0.038522229048021606,0.4507308270887015,0.005540986674843146
llama31_8b,qkv,1,3,6.016875086983888,0.028709985352633836,0.47944081244133535,0.006636844466218572
llama31_8b,qkv,1,4,5.155282136639274,0.02459882787857596,0.5040396403199113,0.01244078890974815
llama31_8b,qkv,1,5,3.8942010505723834,0.018581481833319605,0.5226211221532309,0.014853349368427705
llama31_8b,qkv,1,6,3.2189858592697975,0.015359640267402946,0.5379807624206339,0.0311460530801223
llama31_8b,qkv,1,7,3.1467803686001004,0.015015106177939922,0.5529958685985737,0.027199850553070073
llama31_8b,qkv,1,8,2.738031050505414,0.01306472715797591,0.5660605957565497,0.028156087295402074
llama31_8b,qkv,1,9,2.589497914136854,0.012355989797157647,0.5784165855537073,0.023618755669116864
llama31_8b,qkv,1,10,2.4051514487549595,0.011476366363994926,0.5898929519177022,0.05380864537589645
llama31_8b,qkv,1,11,2.2560524909197324,0.01076492914223799,0.6006578810599402,0.036704286307610995
llama31_8b,qkv,1,12,2.0020312695711215,0.00955284721619745,0.6102107282761376,0.04097492711745968
llama31_8b,qkv,1,13,1.883221040443426,0.008985935008666634,0.6191966632848044,0.0664184494768277
llama31_8b,qkv,1,14,1.8454277804187327,0.00880560154219922,0.6280022648270036,0.07622421364201282
llama31_8b,qkv,1,15,1.7909180367562003,0.008545504079728612,0.6365477689067321,0.06537979216621681
llama31_8b,qkv,1,16,1.53823358008476,0.007339800629848313,0.6438875695365806,0.06083180983485687
llama31_8b,qkv,1,17,1.5123222437727513,0.007216162682370523,0.651103732218951,0.08215073035867763
llama31_8b,qkv,1,18,1.466643911200609,0.006998204981716923,0.658101937200668,0.11341182447185261
llama31_8b,qkv,1,19,1.3887678244059178,0.006626613203780115,0.664728550404448,0.09223258152293101
llama31_8b,qkv,1,20,1.3204278335930004,0.006300523646181951,0.6710290740506301,0.08479770381699073
