method,seed,site,max_relative_error
identity,20260902,qkv,0.0
identity,20260902,down,0.0
hadamard,20260902,qkv,0.0024976301938295364
hadamard,20260902,down,0.002021482214331627
hadamard,20260903,qkv,0.002367377048358321
hadamard,20260903,down,0.00257793627679348
hadamard,20260904,qkv,0.002345099812373519
hadamard,20260904,down,0.002262845868244767
nar,20260902,qkv,0.0025662656407803297
nar,20260902,down,0.0024014085065573454
nar,20260903,qkv,0.002633485710248351
nar,20260903,down,0.0022414959967136383
nar,20260904,qkv,0.002636075485497713
nar,20260904,down,0.0020101782865822315
