model,site,layer,requested_k,realized_k,orthogonality_error,reconstructed_k32_reflector_error,source_file,source_sha256
llama32_3b,down,0,64,64,4.76837158203125e-07,1.53828295879066e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_00.pt,ec82a559894106d91afcbed03afbaa506d7205eba4612469bc79facde74ab51b
llama32_3b,down,1,64,64,3.5762786865234375e-07,1.2316741049289703e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_01.pt,fba09172af814d9a96839d46f8541f5db8ad5c19c70773e98e0dc72bc741ff6c
llama32_3b,down,2,64,64,4.76837158203125e-07,1.1920928955078125e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_02.pt,6a6cd0308d60fc928f387ec36c89f01415c5d253fae047098605f2e9317cd869
llama32_3b,down,3,64,64,4.76837158203125e-07,1.441221684217453e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_03.pt,a1be3d44d70d5737992976a1d6cc36e8e6bd4b4fe5a626618b2d40d37f36ac40
llama32_3b,down,4,64,64,4.76837158203125e-07,1.444714143872261e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_04.pt,20d39b4cfb81e4accadaa361b5052c15d30a4a1d949aa7abf819473c87b3df6e
llama32_3b,down,5,64,64,4.76837158203125e-07,1.51805579662323e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_05.pt,b6979fa3657fddfa5edb78b1f60af3cbe0730088b52ed175c0a15362d8040cf4
llama32_3b,down,6,64,64,4.76837158203125e-07,1.2421514838933945e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_06.pt,7bd539acf93641d978f23421daa1545cb074a2a28b8200ca83a0a2c3da4ac8b5
llama32_3b,down,7,64,64,4.76837158203125e-07,1.5366822481155396e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_07.pt,e27178d6d84514447cafe5f201edd99a5a1620f9f3503550bb42727f50bc2a1f
llama32_3b,down,8,64,64,4.76837158203125e-07,1.6670674085617065e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_08.pt,b4a7abce2dc6ab60b44d8ac07f73c54143f9c1c83026efaa23ed87b80d78214a
llama32_3b,down,9,64,64,4.76837158203125e-07,1.9767321646213531e-07,activations/llama32_3b/e11_calibration/factors/nar_b64_kmax/down_layer_09.pt,f65d9e71a9b9850b72574c0166cad1ae305dc2246ea1044a47e6357e7e14f9fe
