model,site,layer,method,b,requested_k,realized_k,dc_slots,anchor_error,permutation_energy_rows
llama32_3b,down,0,nar_b128_k64,128,64,64,64,4.76837158203125e-07,8192
llama32_3b,down,1,nar_b128_k64,128,64,64,64,4.76837158203125e-07,8192
llama32_3b,down,2,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,3,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,4,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,5,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,6,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,7,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,8,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,9,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,10,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,11,nar_b128_k64,128,64,64,64,2.384185791015625e-07,8192
llama32_3b,down,12,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,13,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,14,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,15,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,16,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,17,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,18,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,19,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,20,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,21,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,22,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,23,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,24,nar_b128_k64,128,64,64,64,4.76837158203125e-07,8192
llama32_3b,down,25,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,26,nar_b128_k64,128,64,64,64,3.5762786865234375e-07,8192
llama32_3b,down,27,nar_b128_k64,128,64,64,64,4.172325134277344e-07,8192
llama32_3b,qkv,0,nar_b128_k64,128,64,24,24,2.980232238769531e-07,8192
llama32_3b,qkv,1,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,2,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,3,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,4,nar_b128_k64,128,64,24,24,2.980232238769531e-07,8192
llama32_3b,qkv,5,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,6,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,7,nar_b128_k64,128,64,24,24,2.980232238769531e-07,8192
llama32_3b,qkv,8,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,9,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,10,nar_b128_k64,128,64,24,24,2.980232238769531e-07,8192
llama32_3b,qkv,11,nar_b128_k64,128,64,24,24,1.7881393432617188e-07,8192
llama32_3b,qkv,12,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,13,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,14,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,15,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,16,nar_b128_k64,128,64,24,24,4.76837158203125e-07,8192
llama32_3b,qkv,17,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,18,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,19,nar_b128_k64,128,64,24,24,1.7881393432617188e-07,8192
llama32_3b,qkv,20,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,21,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,22,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,23,nar_b128_k64,128,64,24,24,2.384185791015625e-07,8192
llama32_3b,qkv,24,nar_b128_k64,128,64,24,24,3.5762786865234375e-07,8192
llama32_3b,qkv,25,nar_b128_k64,128,64,24,24,1.1920928955078125e-07,8192
llama32_3b,qkv,26,nar_b128_k64,128,64,24,24,2.980232238769531e-07,8192
llama32_3b,qkv,27,nar_b128_k64,128,64,24,24,2.980232238769531e-07,8192
