model,method,seed,source,max_relative_weight_fold_error
llama32_3b,hadamard_g128_asym,20260902,reused_verbatim_from_e5,0.0025041678454726934
llama32_3b,hadamard_g128_asym,20260903,reused_verbatim_from_e5,0.002490169834345579
llama32_3b,hadamard_g128_asym,20260904,reused_verbatim_from_e5,0.0025404621846973896
llama32_3b,nar_b128_kmax,20260902,reused_verbatim_from_e5,0.002726680599153042
llama32_3b,nar_b128_kmax,20260903,reused_verbatim_from_e5,0.002612246200442314
llama32_3b,nar_b128_kmax,20260904,reused_verbatim_from_e5,0.002598899882286787
llama32_3b,smoothquant_hadamard_g128_asym,20260902,e11_new,0.004557070787996054
llama32_3b,smoothquant_hadamard_g128_asym,20260903,e11_new,0.0038092457689344883
llama32_3b,smoothquant_hadamard_g128_asym,20260904,e11_new,0.0044857291504740715
llama32_3b,duquant_style_g128_asym,20260902,e11_new,0.0026804928202182055
llama32_3b,duquant_style_g128_asym,20260903,e11_new,0.0029274222906678915
llama32_3b,duquant_style_g128_asym,20260904,e11_new,0.003010657848790288
llama32_3b,hadamard_token_symmetric,20260902,e11_new,0.0025475069414824247
llama32_3b,hadamard_token_symmetric,20260903,e11_new,0.0027969363145530224
llama32_3b,hadamard_token_symmetric,20260904,e11_new,0.0026793149299919605
llama32_3b,hadamard_token_asymmetric,20260902,e11_new,0.0025475069414824247
llama32_3b,hadamard_token_asymmetric,20260903,e11_new,0.0027969363145530224
llama32_3b,hadamard_token_asymmetric,20260904,e11_new,0.0026793149299919605
llama32_3b,nar_b64_kmax,20260902,e11_new,0.0029000365175306797
llama32_3b,nar_b64_kmax,20260903,e11_new,0.0026783463545143604
llama32_3b,nar_b64_kmax,20260904,e11_new,0.002914241747930646
llama32_3b,nar_b256_kmax,20260902,e11_new,0.0026549464091658592
llama32_3b,nar_b256_kmax,20260903,e11_new,0.0029354183934628963
llama32_3b,nar_b256_kmax,20260904,e11_new,0.0028363552410155535
llama32_3b,nar_b128_k8,20260902,e11_new,0.0029501966200768948
llama32_3b,nar_b128_k8,20260903,e11_new,0.0030385744757950306
llama32_3b,nar_b128_k8,20260904,e11_new,0.0026264649350196123
llama32_3b,nar_b128_k16,20260902,e11_new,0.003475919831544161
llama32_3b,nar_b128_k16,20260903,e11_new,0.0028534079901874065
llama32_3b,nar_b128_k16,20260904,e11_new,0.0026261042803525925
llama32_3b,nar_b128_k32,20260902,e11_new,0.002878631930798292
llama32_3b,nar_b128_k32,20260903,e11_new,0.002909761155024171
llama32_3b,nar_b128_k32,20260904,e11_new,0.002797097899019718
