model,layer,top_eigenvalue,trace,rows,anchor_error
llama32_3b,0,0.03355664275356077,0.398905538222607,2097152,1.1920928955078125e-07
llama32_3b,1,0.05633823239202943,2.16688299379166,2097152,5.960464477539063e-08
llama32_3b,2,0.24921572683484455,7.24136552636628,2097152,7.450580596923828e-09
llama32_3b,3,0.3981171209502444,9.88283101696288,2097152,1.1920928955078125e-07
llama32_3b,4,0.3161063973877385,8.705008991004433,2097152,5.960464477539063e-08
llama32_3b,5,0.2541194163710831,8.402779399883002,2097152,1.1920928955078125e-07
llama32_3b,6,0.2519817204905352,9.430671842885204,2097152,5.960464477539063e-08
llama32_3b,7,0.30028988594937106,10.698143610643456,2097152,1.1920928955078125e-07
llama32_3b,8,0.36587180029555877,10.931338949769266,2097152,3.725290298461914e-09
llama32_3b,9,0.32973311195364696,13.601999926555436,2097152,1.1920928955078125e-07
llama32_3b,10,0.36153067561227437,12.971183465095239,2097152,7.450580596923828e-09
llama32_3b,11,0.27800495786446283,12.579176763771102,2097152,5.960464477539063e-08
llama32_3b,12,0.2697039735797038,13.262157228426076,2097152,1.1920928955078125e-07
llama32_3b,13,0.36934549618518353,13.996608713350726,2097152,1.4901161193847656e-08
llama32_3b,14,0.26363401507843415,12.841471304709557,2097152,1.1920928955078125e-07
llama32_3b,15,0.3087175419257594,12.676586549030617,2097152,2.384185791015625e-07
llama32_3b,16,1.016687487548504,14.775959124788642,2097152,5.960464477539063e-08
llama32_3b,17,0.8964473340826162,16.292383087798953,2097152,1.4901161193847656e-08
llama32_3b,18,1.5510138623082743,17.7267512314138,2097152,2.9802322387695312e-08
llama32_3b,19,0.9182524693092592,16.977525380614683,2097152,1.1920928955078125e-07
llama32_3b,20,0.7891918802851885,18.550171170616522,2097152,2.384185791015625e-07
llama32_3b,21,1.0799030994444436,23.49907614541007,2097152,5.960464477539063e-08
llama32_3b,22,1.3058554604810995,27.07641089928802,2097152,1.1920928955078125e-07
llama32_3b,23,0.6508820761180947,20.444566362188198,2097152,1.1920928955078125e-07
llama32_3b,24,4.083893091742233,34.14598828658927,2097152,1.1920928955078125e-07
llama32_3b,25,2.870088754333145,35.600515244179405,2097152,5.960464477539063e-08
llama32_3b,26,1.9204183063311988,35.61854750092607,2097152,5.960464477539063e-08
llama32_3b,27,3.11990377239555,34.2143901704112,2097152,2.384185791015625e-07
