model,site,method,scale_rule,pearson_layer_kurtosis_vs_nmse,layers
llama32_3b,q_input,identity,absmax,-0.6262743574774141,28
llama32_3b,q_input,identity,mse_optimal,0.4493220312699259,28
llama32_3b,q_input,hadamard_b16,absmax,0.7829924232879668,28
llama32_3b,q_input,hadamard_b16,mse_optimal,-0.9094355763733853,28
llama32_3b,q_input,nar_b128,absmax,0.8014776452301107,28
llama32_3b,q_input,nar_b128,mse_optimal,-0.7667811371587189,28
llama32_3b,q_input,nar_b16,absmax,-0.717662034333416,28
llama32_3b,q_input,nar_b16,mse_optimal,-0.9599057254597165,28
llama32_3b,q_input,nar_b128_minus_hadamard_b16,absmax,0.8742143064867929,28
llama32_3b,q_input,nar_b128_minus_hadamard_b16,mse_optimal,0.669861892049209,28
llama32_3b,q_input,nar_b16_minus_hadamard_b16,absmax,-0.7074581025156291,28
llama32_3b,q_input,nar_b16_minus_hadamard_b16,mse_optimal,-0.9135202791209717,28
llama32_3b,down_input,identity,absmax,-0.8723764821637718,28
llama32_3b,down_input,identity,mse_optimal,-0.8920201437169772,28
llama32_3b,down_input,hadamard_b16,absmax,-0.9084005792260749,28
llama32_3b,down_input,hadamard_b16,mse_optimal,-0.8935591943988362,28
llama32_3b,down_input,nar_b128,absmax,-0.973809170194297,28
llama32_3b,down_input,nar_b128,mse_optimal,-0.9784400646358282,28
llama32_3b,down_input,nar_b16,absmax,-0.9708124760290213,28
llama32_3b,down_input,nar_b16,mse_optimal,-0.9329794314073515,28
llama32_3b,down_input,nar_b128_minus_hadamard_b16,absmax,0.04028601693485956,28
llama32_3b,down_input,nar_b128_minus_hadamard_b16,mse_optimal,0.3622258696470337,28
llama32_3b,down_input,nar_b16_minus_hadamard_b16,absmax,0.12881798697081656,28
llama32_3b,down_input,nar_b16_minus_hadamard_b16,mse_optimal,-0.39002390475551657,28
