model,site,layer,method,nar_group_size,fp4_block_size,scale_rule,layer_global_nmse,transformed_pearson_kurtosis,blocks
llama32_3b,q_input,0,identity,,16,absmax,0.00785830345242819,87.83013916015625,393216
llama32_3b,q_input,0,identity,,16,mse_optimal,0.0070941637713124025,87.83013916015625,393216
llama32_3b,q_input,0,hadamard_b16,,16,absmax,0.010110224870207442,8.094157218933105,393216
llama32_3b,q_input,0,hadamard_b16,,16,mse_optimal,0.006329046686255526,8.094157218933105,393216
llama32_3b,q_input,0,nar_b128,128,16,absmax,0.009645159756697304,4.741600513458252,393216
llama32_3b,q_input,0,nar_b128,128,16,mse_optimal,0.005786668703525413,4.741600513458252,393216
llama32_3b,q_input,0,nar_b16,16,16,absmax,0.007312155736725831,26.211729049682617,393216
llama32_3b,q_input,0,nar_b16,16,16,mse_optimal,0.004043955566431911,26.211729049682617,393216
llama32_3b,q_input,1,identity,,16,absmax,0.008446700851276369,33.795719146728516,393216
llama32_3b,q_input,1,identity,,16,mse_optimal,0.0076279731080039015,33.795719146728516,393216
llama32_3b,q_input,1,hadamard_b16,,16,absmax,0.010327828519505772,5.251408576965332,393216
llama32_3b,q_input,1,hadamard_b16,,16,mse_optimal,0.00648388726492369,5.251408576965332,393216
llama32_3b,q_input,1,nar_b128,128,16,absmax,0.01028726996064262,4.608195781707764,393216
llama32_3b,q_input,1,nar_b128,128,16,mse_optimal,0.0064742565852018,4.608195781707764,393216
llama32_3b,q_input,1,nar_b16,16,16,absmax,0.010028597986700258,24.654367446899414,393216
llama32_3b,q_input,1,nar_b16,16,16,mse_optimal,0.005009531928572452,24.654367446899414,393216
llama32_3b,q_input,2,identity,,16,absmax,0.008340337891478368,23.479324340820312,393216
llama32_3b,q_input,2,identity,,16,mse_optimal,0.007291934592876523,23.479324340820312,393216
llama32_3b,q_input,2,hadamard_b16,,16,absmax,0.009759787650524605,4.510955333709717,393216
llama32_3b,q_input,2,hadamard_b16,,16,mse_optimal,0.006578531054464872,4.510955333709717,393216
llama32_3b,q_input,2,nar_b128,128,16,absmax,0.009486761166718826,3.637336015701294,393216
llama32_3b,q_input,2,nar_b128,128,16,mse_optimal,0.006598519168055492,3.637336015701294,393216
llama32_3b,q_input,2,nar_b16,16,16,absmax,0.01050671285602464,11.258279800415039,393216
llama32_3b,q_input,2,nar_b16,16,16,mse_optimal,0.0061443346500171,11.258279800415039,393216
llama32_3b,q_input,3,identity,,16,absmax,0.008365980948134951,11.072675704956055,393216
llama32_3b,q_input,3,identity,,16,mse_optimal,0.006816144411570341,11.072675704956055,393216
llama32_3b,q_input,3,hadamard_b16,,16,absmax,0.009285700443857249,3.678224563598633,393216
llama32_3b,q_input,3,hadamard_b16,,16,mse_optimal,0.006581400188043922,3.678224563598633,393216
llama32_3b,q_input,3,nar_b128,128,16,absmax,0.009499037683187904,3.7391061782836914,393216
llama32_3b,q_input,3,nar_b128,128,16,mse_optimal,0.006591419523497087,3.7391061782836914,393216
llama32_3b,q_input,3,nar_b16,16,16,absmax,0.010231540028268758,11.704495429992676,393216
llama32_3b,q_input,3,nar_b16,16,16,mse_optimal,0.006296033149721874,11.704495429992676,393216
llama32_3b,q_input,4,identity,,16,absmax,0.008271461673952063,16.934505462646484,393216
llama32_3b,q_input,4,identity,,16,mse_optimal,0.006997156000962465,16.934505462646484,393216
llama32_3b,q_input,4,hadamard_b16,,16,absmax,0.009455421663792717,4.009198188781738,393216
llama32_3b,q_input,4,hadamard_b16,,16,mse_optimal,0.0065745348356260214,4.009198188781738,393216
llama32_3b,q_input,4,nar_b128,128,16,absmax,0.009548777011629185,3.862950086593628,393216
llama32_3b,q_input,4,nar_b128,128,16,mse_optimal,0.006604271937419996,3.862950086593628,393216
llama32_3b,q_input,4,nar_b16,16,16,absmax,0.010558798887003179,13.727611541748047,393216
llama32_3b,q_input,4,nar_b16,16,16,mse_optimal,0.0062335133204928965,13.727611541748047,393216
llama32_3b,q_input,5,identity,,16,absmax,0.008270354705360876,16.698545455932617,393216
llama32_3b,q_input,5,identity,,16,mse_optimal,0.007034060820849338,16.698545455932617,393216
llama32_3b,q_input,5,hadamard_b16,,16,absmax,0.009487555961942862,4.025302886962891,393216
llama32_3b,q_input,5,hadamard_b16,,16,mse_optimal,0.0065772078202424415,4.025302886962891,393216
llama32_3b,q_input,5,nar_b128,128,16,absmax,0.009388860390228331,3.539078712463379,393216
llama32_3b,q_input,5,nar_b128,128,16,mse_optimal,0.006595161119562889,3.539078712463379,393216
llama32_3b,q_input,5,nar_b16,16,16,absmax,0.010313932521873414,9.856424331665039,393216
llama32_3b,q_input,5,nar_b16,16,16,mse_optimal,0.006330152543643165,9.856424331665039,393216
llama32_3b,q_input,6,identity,,16,absmax,0.008338438935007414,17.84536361694336,393216
llama32_3b,q_input,6,identity,,16,mse_optimal,0.006977827750922929,17.84536361694336,393216
llama32_3b,q_input,6,hadamard_b16,,16,absmax,0.009428565760935106,4.0160040855407715,393216
llama32_3b,q_input,6,hadamard_b16,,16,mse_optimal,0.006573477550205252,4.0160040855407715,393216
llama32_3b,q_input,6,nar_b128,128,16,absmax,0.009448093662189969,3.7198333740234375,393216
llama32_3b,q_input,6,nar_b128,128,16,mse_optimal,0.00660402285355984,3.7198333740234375,393216
llama32_3b,q_input,6,nar_b16,16,16,absmax,0.010417005975492137,11.786733627319336,393216
llama32_3b,q_input,6,nar_b16,16,16,mse_optimal,0.006333821877631238,11.786733627319336,393216
llama32_3b,q_input,7,identity,,16,absmax,0.008418593833540084,17.294864654541016,393216
llama32_3b,q_input,7,identity,,16,mse_optimal,0.006884351301232422,17.294864654541016,393216
llama32_3b,q_input,7,hadamard_b16,,16,absmax,0.00932523953602118,3.9649388790130615,393216
llama32_3b,q_input,7,hadamard_b16,,16,mse_optimal,0.006568224710179411,3.9649388790130615,393216
llama32_3b,q_input,7,nar_b128,128,16,absmax,0.009418128042763355,3.6844303607940674,393216
llama32_3b,q_input,7,nar_b128,128,16,mse_optimal,0.006603039920844794,3.6844303607940674,393216
llama32_3b,q_input,7,nar_b16,16,16,absmax,0.010231732341166953,11.253766059875488,393216
llama32_3b,q_input,7,nar_b16,16,16,mse_optimal,0.006386568283138055,11.253766059875488,393216
llama32_3b,q_input,8,identity,,16,absmax,0.008390794563333004,25.2867374420166,393216
llama32_3b,q_input,8,identity,,16,mse_optimal,0.007036296193967653,25.2867374420166,393216
llama32_3b,q_input,8,hadamard_b16,,16,absmax,0.009484798994014674,4.389559268951416,393216
llama32_3b,q_input,8,hadamard_b16,,16,mse_optimal,0.006562330252892028,4.389559268951416,393216
llama32_3b,q_input,8,nar_b128,128,16,absmax,0.009457444810609622,3.6688084602355957,393216
llama32_3b,q_input,8,nar_b128,128,16,mse_optimal,0.006596109432622111,3.6688084602355957,393216
llama32_3b,q_input,8,nar_b16,16,16,absmax,0.010346968657839215,11.467259407043457,393216
llama32_3b,q_input,8,nar_b16,16,16,mse_optimal,0.006356009755508986,11.467259407043457,393216
llama32_3b,q_input,9,identity,,16,absmax,0.008463971675359703,27.808300018310547,393216
llama32_3b,q_input,9,identity,,16,mse_optimal,0.007021691372365402,27.808300018310547,393216
llama32_3b,q_input,9,hadamard_b16,,16,absmax,0.009457557714464158,4.544521331787109,393216
llama32_3b,q_input,9,hadamard_b16,,16,mse_optimal,0.006564639847802733,4.544521331787109,393216
llama32_3b,q_input,9,nar_b128,128,16,absmax,0.009427893534557415,3.681544542312622,393216
llama32_3b,q_input,9,nar_b128,128,16,mse_optimal,0.006598652818427974,3.681544542312622,393216
llama32_3b,q_input,9,nar_b16,16,16,absmax,0.010287196041561553,11.53657341003418,393216
llama32_3b,q_input,9,nar_b16,16,16,mse_optimal,0.0063773307789189194,11.53657341003418,393216
llama32_3b,q_input,10,identity,,16,absmax,0.008449268993243636,30.283613204956055,393216
llama32_3b,q_input,10,identity,,16,mse_optimal,0.007052936773243113,30.283613204956055,393216
llama32_3b,q_input,10,hadamard_b16,,16,absmax,0.009510498527363248,4.701972961425781,393216
llama32_3b,q_input,10,hadamard_b16,,16,mse_optimal,0.00656643263918633,4.701972961425781,393216
llama32_3b,q_input,10,nar_b128,128,16,absmax,0.009449513652059335,3.613408327102661,393216
llama32_3b,q_input,10,nar_b128,128,16,mse_optimal,0.006592132313513018,3.613408327102661,393216
llama32_3b,q_input,10,nar_b16,16,16,absmax,0.0102940686015375,11.203734397888184,393216
llama32_3b,q_input,10,nar_b16,16,16,mse_optimal,0.006367588685393861,11.203734397888184,393216
llama32_3b,q_input,11,identity,,16,absmax,0.008465579409706351,21.409198760986328,393216
llama32_3b,q_input,11,identity,,16,mse_optimal,0.006912816210271436,21.409198760986328,393216
llama32_3b,q_input,11,hadamard_b16,,16,absmax,0.009370628682585045,4.240840435028076,393216
llama32_3b,q_input,11,hadamard_b16,,16,mse_optimal,0.006564040441171152,4.240840435028076,393216
llama32_3b,q_input,11,nar_b128,128,16,absmax,0.009429701149880653,3.6707475185394287,393216
llama32_3b,q_input,11,nar_b128,128,16,mse_optimal,0.00660686235788845,3.6707475185394287,393216
llama32_3b,q_input,11,nar_b16,16,16,absmax,0.010209212917139431,11.201855659484863,393216
llama32_3b,q_input,11,nar_b16,16,16,mse_optimal,0.006391279548258401,11.201855659484863,393216
llama32_3b,q_input,12,identity,,16,absmax,0.008492388042169209,42.35133361816406,393216
llama32_3b,q_input,12,identity,,16,mse_optimal,0.0071516726552088876,42.35133361816406,393216
llama32_3b,q_input,12,hadamard_b16,,16,absmax,0.009667314465027783,5.397119522094727,393216
llama32_3b,q_input,12,hadamard_b16,,16,mse_optimal,0.0065519938972562275,5.397119522094727,393216
llama32_3b,q_input,12,nar_b128,128,16,absmax,0.009416772725637259,3.42842698097229,393216
llama32_3b,q_input,12,nar_b128,128,16,mse_optimal,0.006585025261076314,3.42842698097229,393216
llama32_3b,q_input,12,nar_b16,16,16,absmax,0.010290604362242722,9.908347129821777,393216
llama32_3b,q_input,12,nar_b16,16,16,mse_optimal,0.006415123901695232,9.908347129821777,393216
llama32_3b,q_input,13,identity,,16,absmax,0.008415622694973705,36.43212127685547,393216
llama32_3b,q_input,13,identity,,16,mse_optimal,0.007138956632717824,36.43212127685547,393216
llama32_3b,q_input,13,hadamard_b16,,16,absmax,0.009629533418244723,4.9608025550842285,393216
llama32_3b,q_input,13,hadamard_b16,,16,mse_optimal,0.006562385580848547,4.9608025550842285,393216
llama32_3b,q_input,13,nar_b128,128,16,absmax,0.00944061813587486,3.468837022781372,393216
llama32_3b,q_input,13,nar_b128,128,16,mse_optimal,0.006594120185100762,3.468837022781372,393216
llama32_3b,q_input,13,nar_b16,16,16,absmax,0.010363709451316299,10.183637619018555,393216
llama32_3b,q_input,13,nar_b16,16,16,mse_optimal,0.006382847397209012,10.183637619018555,393216
llama32_3b,q_input,14,identity,,16,absmax,0.008454665733072813,31.68854331970215,393216
