model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,q_input,0,bf16,0.0,87.83013916015625,0.0,0.0,101671.19481377886,2048
llama32_3b,q_input,0,identity,0.00785830342615818,87.83013916015625,0.025996845215559006,798.9630985467143,101671.19481377886,2048
llama32_3b,q_input,0,hadamard,0.010110224945940506,8.094157218933105,0.028375737369060516,1027.918650089844,101671.19481377886,2048
llama32_3b,q_input,0,nar,0.009645160005629597,4.741600513458252,0.030277185142040253,980.6349419424353,101671.19481377886,2048
llama32_3b,q_input,0,logdiag,0.029793458635802083,145.70901489257812,0.024502813816070557,3029.1365371368956,101671.19481377886,2048
llama32_3b,q_input,1,bf16,0.0,33.795719146728516,0.0,0.0,300462.2085430538,2048
llama32_3b,q_input,1,identity,0.008446700818129264,33.795719146728516,0.028490394353866577,2537.914382717538,300462.2085430538,2048
llama32_3b,q_input,1,hadamard,0.010327828595893306,5.251408576965332,0.030728157609701157,3103.1221893762095,300462.2085430538,2048
llama32_3b,q_input,1,nar,0.010287268989738967,4.608195781707764,0.02803640067577362,3090.93556053344,300462.2085430538,2048
llama32_3b,q_input,1,logdiag,0.028935256500159042,102.12421417236328,0.02715505287051201,8693.95107279754,300462.2085430538,2048
llama32_3b,q_input,2,bf16,0.0,23.479324340820312,0.0,0.0,998908.0799430504,2048
llama32_3b,q_input,2,identity,0.008340337835293915,23.479324340820312,0.02663249336183071,8331.230853129822,998908.0799430504,2048
llama32_3b,q_input,2,hadamard,0.009759787675349647,4.510955333709717,0.028458669781684875,9749.130767435363,998908.0799430504,2048
llama32_3b,q_input,2,nar,0.009486761019846423,3.637336015701294,0.02761850133538246,9476.402235213363,998908.0799430504,2048
llama32_3b,q_input,2,logdiag,0.03333751883208669,56.887939453125,0.02500479482114315,33301.11692662499,998908.0799430504,2048
llama32_3b,q_input,3,bf16,0.0,11.072675704956055,0.0,0.0,719109.4103914273,2048
llama32_3b,q_input,3,identity,0.008365980880674195,11.072675704956055,0.026942886412143707,6016.055578447575,719109.4103914273,2048
llama32_3b,q_input,3,hadamard,0.009285700413820638,3.678224563598633,0.02840711548924446,6677.434549653992,719109.4103914273,2048
llama32_3b,q_input,3,nar,0.00949903727658483,3.7391061782836914,0.026565250009298325,6830.847095251107,719109.4103914273,2048
llama32_3b,q_input,3,logdiag,0.04178055319717264,27.02754783630371,0.0252519603818655,30044.788975446478,719109.4103914273,2048
llama32_3b,q_input,4,bf16,0.0,16.934505462646484,0.0,0.0,688129.8899669581,2048
llama32_3b,q_input,4,identity,0.008271461612493008,16.934505462646484,0.026239652186632156,5691.839969270732,688129.8899669581,2048
llama32_3b,q_input,4,hadamard,0.009455421658771683,4.009198188781738,0.02795345149934292,6506.55826564175,688129.8899669581,2048
llama32_3b,q_input,4,nar,0.00954877675192745,3.862950086593628,0.026500623673200607,6570.798695622883,688129.8899669581,2048
llama32_3b,q_input,4,logdiag,0.03860293033820558,54.36088943481445,0.02558770775794983,26563.830206031555,688129.8899669581,2048
llama32_3b,q_input,5,bf16,0.0,16.698545455932617,0.0,0.0,942587.3256711958,2048
llama32_3b,q_input,5,identity,0.008270354641981793,16.698545455932617,0.0256142970174551,7795.531464337979,942587.3256711958,2048
llama32_3b,q_input,5,hadamard,0.009487555962346537,4.025302886962891,0.027674134820699692,8942.850001704031,942587.3256711958,2048
llama32_3b,q_input,5,nar,0.009388860128385862,3.539078712463379,0.0262870155274868,8849.820559516149,942587.3256711958,2048
llama32_3b,q_input,5,logdiag,0.039033166437430655,46.178707122802734,0.024684783071279526,36792.167964736436,942587.3256711958,2048
llama32_3b,q_input,6,bf16,0.0,17.84536361694336,0.0,0.0,840695.8613030054,2048
