model,site,method,layers,global_fp4_nmse,mean_layer_fp4_nmse,mean_transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error
llama32_3b,q_input,bf16,28,0.0,0.0,25.97981401852199,0.0
llama32_3b,q_input,identity,28,0.008398542890074016,0.008380009119728844,25.97981401852199,0.02562298665621451
llama32_3b,q_input,hadamard,28,0.009496335238258585,0.009533338139735508,4.430879746164594,0.026671715014215027
llama32_3b,q_input,nar,28,0.009423524094870543,0.009459297326122626,3.681666612625122,0.025154151022434235
llama32_3b,q_input,logdiag,28,0.0384993953314236,0.037941918494239744,71.93261282784599,0.024295165203511715
llama32_3b,down_input,bf16,28,0.0,0.0,9342.781414849418,0.0
llama32_3b,down_input,identity,28,0.0018889810837989063,0.0072231100545737,9342.781414849418,0.06626393080555967
llama32_3b,down_input,hadamard,28,0.0023198104257534996,0.009204555186792673,586.6479197570255,0.08683893157701407
llama32_3b,down_input,nar,28,0.0015005343757290074,0.009010900420975455,86.42118184907096,0.19323563436046243
llama32_3b,down_input,logdiag,28,0.003089469596306649,0.027449695524410796,11277.14441217695,0.049546409863978624
