model,site,layer,method,mixing_width,fp4_block_size,scale_rule,layer_global_nmse,blocks
llama32_3b,q_input,0,hadamard_b128,128,16,absmax,0.0092892648641265,393216
llama32_3b,q_input,0,hadamard_b128,128,16,mse_optimal,0.00648912214705273,393216
llama32_3b,q_input,1,hadamard_b128,128,16,absmax,0.009296450669989536,393216
llama32_3b,q_input,1,hadamard_b128,128,16,mse_optimal,0.00658410891521945,393216
llama32_3b,q_input,2,hadamard_b128,128,16,absmax,0.009214194518885799,393216
llama32_3b,q_input,2,hadamard_b128,128,16,mse_optimal,0.006599878155026254,393216
llama32_3b,q_input,3,hadamard_b128,128,16,absmax,0.009120722273080225,393216
llama32_3b,q_input,3,hadamard_b128,128,16,mse_optimal,0.006596748384457181,393216
llama32_3b,q_input,4,hadamard_b128,128,16,absmax,0.00914463099149794,393216
llama32_3b,q_input,4,hadamard_b128,128,16,mse_optimal,0.006587442592374284,393216
llama32_3b,q_input,5,hadamard_b128,128,16,absmax,0.009151554360985213,393216
llama32_3b,q_input,5,hadamard_b128,128,16,mse_optimal,0.006595052008172558,393216
llama32_3b,q_input,6,hadamard_b128,128,16,absmax,0.009158823949226886,393216
llama32_3b,q_input,6,hadamard_b128,128,16,mse_optimal,0.006592898846845353,393216
llama32_3b,q_input,7,hadamard_b128,128,16,absmax,0.009149544970412472,393216
llama32_3b,q_input,7,hadamard_b128,128,16,mse_optimal,0.0065901876803314855,393216
llama32_3b,q_input,8,hadamard_b128,128,16,absmax,0.00918056777394989,393216
llama32_3b,q_input,8,hadamard_b128,128,16,mse_optimal,0.00658344461891418,393216
llama32_3b,q_input,9,hadamard_b128,128,16,absmax,0.009199086018861552,393216
llama32_3b,q_input,9,hadamard_b128,128,16,mse_optimal,0.006586193339785736,393216
llama32_3b,q_input,10,hadamard_b128,128,16,absmax,0.00920984394706784,393216
llama32_3b,q_input,10,hadamard_b128,128,16,mse_optimal,0.006586223057684701,393216
llama32_3b,q_input,11,hadamard_b128,128,16,absmax,0.00917915843645886,393216
llama32_3b,q_input,11,hadamard_b128,128,16,mse_optimal,0.006585869396187636,393216
llama32_3b,q_input,12,hadamard_b128,128,16,absmax,0.009259197754116695,393216
llama32_3b,q_input,12,hadamard_b128,128,16,mse_optimal,0.006581743185677985,393216
llama32_3b,q_input,13,hadamard_b128,128,16,absmax,0.00922647944892024,393216
llama32_3b,q_input,13,hadamard_b128,128,16,mse_optimal,0.0065817327649801815,393216
llama32_3b,q_input,14,hadamard_b128,128,16,absmax,0.009196156986158981,393216
llama32_3b,q_input,14,hadamard_b128,128,16,mse_optimal,0.006583724215576651,393216
llama32_3b,q_input,15,hadamard_b128,128,16,absmax,0.009234075526264054,393216
llama32_3b,q_input,15,hadamard_b128,128,16,mse_optimal,0.0065895872873370865,393216
llama32_3b,q_input,16,hadamard_b128,128,16,absmax,0.009181158224482552,393216
llama32_3b,q_input,16,hadamard_b128,128,16,mse_optimal,0.006592654884060151,393216
llama32_3b,q_input,17,hadamard_b128,128,16,absmax,0.009159597448839967,393216
llama32_3b,q_input,17,hadamard_b128,128,16,mse_optimal,0.006587356469633585,393216
llama32_3b,q_input,18,hadamard_b128,128,16,absmax,0.009190317925606338,393216
llama32_3b,q_input,18,hadamard_b128,128,16,mse_optimal,0.006588456180986347,393216
