model,site,layer,method,mean_token_group128_energy_cv,tokens
llama32_3b,q_input,0,hadamard_b128,0.7886776436207583,2048
llama32_3b,q_input,0,hadamard_b128_pi,0.7683028959436342,2048
llama32_3b,q_input,0,nar_b128,1.390017812635051,2048
llama32_3b,q_input,0,hadamard_b16,0.7886776473314967,2048
llama32_3b,q_input,1,hadamard_b128,0.7148534043953987,2048
llama32_3b,q_input,1,hadamard_b128_pi,0.6764004185024532,2048
llama32_3b,q_input,1,nar_b128,1.7000426953891292,2048
llama32_3b,q_input,1,hadamard_b16,0.7148534050793387,2048
llama32_3b,q_input,2,hadamard_b128,0.6013697190428502,2048
llama32_3b,q_input,2,hadamard_b128_pi,0.5406079987005796,2048
llama32_3b,q_input,2,nar_b128,1.0741691411385546,2048
llama32_3b,q_input,2,hadamard_b16,0.6013696458685445,2048
llama32_3b,q_input,3,hadamard_b128,0.38321726718641,2048
llama32_3b,q_input,3,hadamard_b128_pi,0.35984348679630784,2048
llama32_3b,q_input,3,nar_b128,0.9968658435100224,2048
llama32_3b,q_input,3,hadamard_b16,0.38321726848880644,2048
llama32_3b,q_input,4,hadamard_b128,0.44503353095205966,2048
llama32_3b,q_input,4,hadamard_b128_pi,0.41482798205834115,2048
llama32_3b,q_input,4,nar_b128,1.1090787928696955,2048
llama32_3b,q_input,4,hadamard_b16,0.44503351760067744,2048
llama32_3b,q_input,5,hadamard_b128,0.42505415355117293,2048
llama32_3b,q_input,5,hadamard_b128_pi,0.4209912923979573,2048
llama32_3b,q_input,5,nar_b128,0.9217408828117186,2048
llama32_3b,q_input,5,hadamard_b16,0.4250541624787729,2048
llama32_3b,q_input,6,hadamard_b128,0.43758162407175405,2048
llama32_3b,q_input,6,hadamard_b128_pi,0.40238549778587185,2048
llama32_3b,q_input,6,nar_b128,0.9932266847317806,2048
llama32_3b,q_input,6,hadamard_b16,0.4375816330575617,2048
llama32_3b,q_input,7,hadamard_b128,0.44601907320611645,2048
llama32_3b,q_input,7,hadamard_b128_pi,0.42699200980132446,2048
llama32_3b,q_input,7,nar_b128,1.0030413327767747,2048
llama32_3b,q_input,7,hadamard_b16,0.4460190745012369,2048
llama32_3b,q_input,8,hadamard_b128,0.521931559589575,2048
llama32_3b,q_input,8,hadamard_b128_pi,0.4415858435968403,2048
llama32_3b,q_input,8,nar_b128,0.9785491100192303,2048
llama32_3b,q_input,8,hadamard_b16,0.521931562165264,2048
llama32_3b,q_input,9,hadamard_b128,0.544272686172917,2048
llama32_3b,q_input,9,hadamard_b128_pi,0.5223814925120678,2048
llama32_3b,q_input,9,nar_b128,1.022056097019231,2048
llama32_3b,q_input,9,hadamard_b16,0.5442727023255429,2048
llama32_3b,q_input,10,hadamard_b128,0.5533174948213855,2048
llama32_3b,q_input,10,hadamard_b128_pi,0.49228497845615493,2048
llama32_3b,q_input,10,nar_b128,0.9516990993870422,2048
llama32_3b,q_input,10,hadamard_b16,0.553317496960517,2048
llama32_3b,q_input,11,hadamard_b128,0.4753518996294588,2048
llama32_3b,q_input,11,hadamard_b128_pi,0.4408247590472456,2048
llama32_3b,q_input,11,nar_b128,0.9723969968472375,2048
llama32_3b,q_input,11,hadamard_b16,0.47535190259077353,2048
llama32_3b,q_input,12,hadamard_b128,0.6029480564611731,2048
llama32_3b,q_input,12,hadamard_b128_pi,0.5795563602441689,2048
llama32_3b,q_input,12,nar_b128,0.8872067876800429,2048
llama32_3b,q_input,12,hadamard_b16,0.6029480589204468,2048
llama32_3b,q_input,13,hadamard_b128,0.5688499759635306,2048
llama32_3b,q_input,13,hadamard_b128_pi,0.5565358707681298,2048
llama32_3b,q_input,13,nar_b128,0.914188057067804,2048
llama32_3b,q_input,13,hadamard_b16,0.5688499770112685,2048
llama32_3b,q_input,14,hadamard_b128,0.5314564089640044,2048
llama32_3b,q_input,14,hadamard_b128_pi,0.5335565433633747,2048
llama32_3b,q_input,14,nar_b128,0.8538478738482809,2048
llama32_3b,q_input,14,hadamard_b16,0.531456410564715,2048
llama32_3b,q_input,15,hadamard_b128,0.5491461489509675,2048
llama32_3b,q_input,15,hadamard_b128_pi,0.5252214396605268,2048
llama32_3b,q_input,15,nar_b128,0.825651208855561,2048
llama32_3b,q_input,15,hadamard_b16,0.5491461648780387,2048
llama32_3b,q_input,16,hadamard_b128,0.4920352143308264,2048
llama32_3b,q_input,16,hadamard_b128_pi,0.5006995284275035,2048
llama32_3b,q_input,16,nar_b128,0.8717468677205034,2048
llama32_3b,q_input,16,hadamard_b16,0.49203522476454964,2048
llama32_3b,q_input,17,hadamard_b128,0.4546138633522787,2048
llama32_3b,q_input,17,hadamard_b128_pi,0.4135308990662452,2048
llama32_3b,q_input,17,nar_b128,0.8120903979070135,2048
llama32_3b,q_input,17,hadamard_b16,0.45461386566603323,2048
llama32_3b,q_input,18,hadamard_b128,0.5033949580974877,2048
llama32_3b,q_input,18,hadamard_b128_pi,0.4805952949463972,2048
llama32_3b,q_input,18,nar_b128,0.8615472253004555,2048
llama32_3b,q_input,18,hadamard_b16,0.5033949516509892,2048
llama32_3b,q_input,19,hadamard_b128,0.4646722830730141,2048
llama32_3b,q_input,19,hadamard_b128_pi,0.4300986984017072,2048
llama32_3b,q_input,19,nar_b128,0.8667080484156031,2048
llama32_3b,q_input,19,hadamard_b16,0.46467228455730947,2048
llama32_3b,q_input,20,hadamard_b128,0.4612298031061073,2048
llama32_3b,q_input,20,hadamard_b128_pi,0.4368770603032317,2048
llama32_3b,q_input,20,nar_b128,0.8227728927959106,2048
llama32_3b,q_input,20,hadamard_b16,0.461229813110549,2048
llama32_3b,q_input,21,hadamard_b128,0.4524265783620649,2048
llama32_3b,q_input,21,hadamard_b128_pi,0.4078296792358742,2048
llama32_3b,q_input,21,nar_b128,0.8804572500812355,2048
llama32_3b,q_input,21,hadamard_b16,0.45242656336631626,2048
llama32_3b,q_input,22,hadamard_b128,0.43196464195352746,2048
llama32_3b,q_input,22,hadamard_b128_pi,0.38930934484960744,2048
llama32_3b,q_input,22,nar_b128,0.9270310958963819,2048
llama32_3b,q_input,22,hadamard_b16,0.43196464401262347,2048
llama32_3b,q_input,23,hadamard_b128,0.4690975789053482,2048
llama32_3b,q_input,23,hadamard_b128_pi,0.4289314251000178,2048
llama32_3b,q_input,23,nar_b128,0.9247908400429878,2048
llama32_3b,q_input,23,hadamard_b16,0.46909758071706165,2048
llama32_3b,q_input,24,hadamard_b128,0.45365983903684537,2048
llama32_3b,q_input,24,hadamard_b128_pi,0.4277378093393054,2048
llama32_3b,q_input,24,nar_b128,0.9412693090489483,2048
llama32_3b,q_input,24,hadamard_b16,0.4536598255908757,2048
llama32_3b,q_input,25,hadamard_b128,0.3716891905241937,2048
llama32_3b,q_input,25,hadamard_b128_pi,0.3524039498952334,2048
llama32_3b,q_input,25,nar_b128,0.9518564648096799,2048
llama32_3b,q_input,25,hadamard_b16,0.3716891919648333,2048
llama32_3b,q_input,26,hadamard_b128,0.399201695665397,2048
llama32_3b,q_input,26,hadamard_b128_pi,0.36809690881636925,2048
llama32_3b,q_input,26,nar_b128,0.9119812568751513,2048
llama32_3b,q_input,26,hadamard_b16,0.3992016831616638,2048
llama32_3b,q_input,27,hadamard_b128,0.3160869497405656,2048
llama32_3b,q_input,27,hadamard_b128_pi,0.2954592868081818,2048
llama32_3b,q_input,27,nar_b128,0.9585926238141838,2048
llama32_3b,q_input,27,hadamard_b16,0.3160869428393198,2048
llama32_3b,down_input,0,hadamard_b128,2.168290560002788,2048
llama32_3b,down_input,0,hadamard_b128_pi,2.178669026514399,2048
llama32_3b,down_input,0,nar_b128,2.1852213080856018,2048
llama32_3b,down_input,0,hadamard_b16,2.168290561196045,2048
llama32_3b,down_input,1,hadamard_b128,1.5441616314055864,2048
llama32_3b,down_input,1,hadamard_b128_pi,1.54504427282518,2048
llama32_3b,down_input,1,nar_b128,1.6170335330753005,2048
llama32_3b,down_input,1,hadamard_b16,1.544161634054035,2048
llama32_3b,down_input,2,hadamard_b128,1.7024789219140075,2048
llama32_3b,down_input,2,hadamard_b128_pi,1.6976814031368122,2048
llama32_3b,down_input,2,nar_b128,1.6705555130611174,2048
llama32_3b,down_input,2,hadamard_b16,1.7024789114366286,2048
llama32_3b,down_input,3,hadamard_b128,0.9003753506112844,2048
llama32_3b,down_input,3,hadamard_b128_pi,0.8949011629010784,2048
llama32_3b,down_input,3,nar_b128,0.989477413269924,2048
llama32_3b,down_input,3,hadamard_b16,0.900375351542607,2048
llama32_3b,down_input,4,hadamard_b128,0.8984382472553989,2048
llama32_3b,down_input,4,hadamard_b128_pi,0.8953031343116891,2048
llama32_3b,down_input,4,nar_b128,0.9399041147189564,2048
llama32_3b,down_input,4,hadamard_b16,0.8984382427297533,2048
llama32_3b,down_input,5,hadamard_b128,0.8729832609824371,2048
llama32_3b,down_input,5,hadamard_b128_pi,0.8659108742867829,2048
llama32_3b,down_input,5,nar_b128,0.9246993503184058,2048
llama32_3b,down_input,5,hadamard_b16,0.8729832628450822,2048
llama32_3b,down_input,6,hadamard_b128,0.9075218848593067,2048
llama32_3b,down_input,6,hadamard_b128_pi,0.9088662072317675,2048
llama32_3b,down_input,6,nar_b128,0.9735838372580474,2048
llama32_3b,down_input,6,hadamard_b16,0.9075219178776024,2048
llama32_3b,down_input,7,hadamard_b128,0.6474259116002941,2048
llama32_3b,down_input,7,hadamard_b128_pi,0.6334130866089254,2048
llama32_3b,down_input,7,nar_b128,0.7689840937091503,2048
llama32_3b,down_input,7,hadamard_b16,0.6474259135211469,2048
llama32_3b,down_input,8,hadamard_b128,0.5788316193429637,2048
llama32_3b,down_input,8,hadamard_b128_pi,0.5731263739507995,2048
llama32_3b,down_input,8,nar_b128,0.6977202140988084,2048
llama32_3b,down_input,8,hadamard_b16,0.578831619801349,2048
llama32_3b,down_input,9,hadamard_b128,0.5380093104904518,2048
llama32_3b,down_input,9,hadamard_b128_pi,0.5326973264818662,2048
llama32_3b,down_input,9,nar_b128,0.6890199888293864,2048
llama32_3b,down_input,9,hadamard_b16,0.5380093103303807,2048
llama32_3b,down_input,10,hadamard_b128,0.6902121630992042,2048
llama32_3b,down_input,10,hadamard_b128_pi,0.6523902529006591,2048
llama32_3b,down_input,10,nar_b128,0.8367371727508726,2048
llama32_3b,down_input,10,hadamard_b16,0.6902121630701004,2048
llama32_3b,down_input,11,hadamard_b128,0.7995374827005435,2048
llama32_3b,down_input,11,hadamard_b128_pi,0.7948055619854131,2048
llama32_3b,down_input,11,nar_b128,0.8626227488712175,2048
llama32_3b,down_input,11,hadamard_b16,0.7995374551683199,2048
llama32_3b,down_input,12,hadamard_b128,0.9237632409931393,2048
llama32_3b,down_input,12,hadamard_b128_pi,0.9168675404944224,2048
llama32_3b,down_input,12,nar_b128,1.0239412328373874,2048
llama32_3b,down_input,12,hadamard_b16,0.9237632423028117,2048
llama32_3b,down_input,13,hadamard_b128,1.182204086049751,2048
llama32_3b,down_input,13,hadamard_b128_pi,1.1840377568951226,2048
llama32_3b,down_input,13,nar_b128,0.9349805083475076,2048
llama32_3b,down_input,13,hadamard_b16,1.1822041172054014,2048
llama32_3b,down_input,14,hadamard_b128,0.8993982139581931,2048
llama32_3b,down_input,14,hadamard_b128_pi,0.8851708347501699,2048
llama32_3b,down_input,14,nar_b128,1.0071229694440262,2048
llama32_3b,down_input,14,hadamard_b16,0.899398213630775,2048
llama32_3b,down_input,15,hadamard_b128,0.9893654868064914,2048
llama32_3b,down_input,15,hadamard_b128_pi,0.9794997550488915,2048
llama32_3b,down_input,15,nar_b128,1.1470204922370613,2048
llama32_3b,down_input,15,hadamard_b16,0.9893654932675418,2048
llama32_3b,down_input,16,hadamard_b128,1.0792371770367026,2048
llama32_3b,down_input,16,hadamard_b128_pi,1.0708339943230385,2048
llama32_3b,down_input,16,nar_b128,1.1808064489887329,2048
llama32_3b,down_input,16,hadamard_b16,1.0792371828429168,2048
llama32_3b,down_input,17,hadamard_b128,1.0577077518537408,2048
llama32_3b,down_input,17,hadamard_b128_pi,1.0433560853416566,2048
llama32_3b,down_input,17,nar_b128,1.1037134408543352,2048
llama32_3b,down_input,17,hadamard_b16,1.0577077575144358,2048
llama32_3b,down_input,18,hadamard_b128,1.094015792303253,2048
llama32_3b,down_input,18,hadamard_b128_pi,1.0800448396621505,2048
llama32_3b,down_input,18,nar_b128,1.218114758579759,2048
llama32_3b,down_input,18,hadamard_b16,1.0940157864388311,2048
llama32_3b,down_input,19,hadamard_b128,1.1825082843133714,2048
llama32_3b,down_input,19,hadamard_b128_pi,1.1803527114680037,2048
llama32_3b,down_input,19,nar_b128,1.2763722850650083,2048
llama32_3b,down_input,19,hadamard_b16,1.1825082859650138,2048
llama32_3b,down_input,20,hadamard_b128,1.113985562013113,2048
llama32_3b,down_input,20,hadamard_b128_pi,1.1099642674962524,2048
llama32_3b,down_input,20,nar_b128,1.2133791862070211,2048
llama32_3b,down_input,20,hadamard_b16,1.113985550837242,2048
llama32_3b,down_input,21,hadamard_b128,1.1345416222611675,2048
llama32_3b,down_input,21,hadamard_b128_pi,1.132555806543678,2048
llama32_3b,down_input,21,nar_b128,1.277095473582449,2048
llama32_3b,down_input,21,hadamard_b16,1.134541623017867,2048
llama32_3b,down_input,22,hadamard_b128,1.198897153706639,2048
llama32_3b,down_input,22,hadamard_b128_pi,1.183804610365769,2048
llama32_3b,down_input,22,nar_b128,1.315269563201582,2048
llama32_3b,down_input,22,hadamard_b16,1.1988971538667101,2048
llama32_3b,down_input,23,hadamard_b128,1.1082062554050935,2048
llama32_3b,down_input,23,hadamard_b128_pi,1.1015159652306465,2048
llama32_3b,down_input,23,nar_b128,1.3990290114452364,2048
llama32_3b,down_input,23,hadamard_b16,1.1082062581408536,2048
llama32_3b,down_input,24,hadamard_b128,1.1725028823129833,2048
llama32_3b,down_input,24,hadamard_b128_pi,1.1588951594021637,2048
llama32_3b,down_input,24,nar_b128,1.8203370311966864,2048
llama32_3b,down_input,24,hadamard_b16,1.1725028813525569,2048
llama32_3b,down_input,25,hadamard_b128,1.098974634136539,2048
llama32_3b,down_input,25,hadamard_b128_pi,1.087682397061144,2048
llama32_3b,down_input,25,nar_b128,2.1610710595268756,2048
llama32_3b,down_input,25,hadamard_b16,1.0989746381383156,2048
llama32_3b,down_input,26,hadamard_b128,1.2260604846596834,2048
llama32_3b,down_input,26,hadamard_b128_pi,1.2004439721713425,2048
llama32_3b,down_input,26,nar_b128,2.232259843731299,2048
llama32_3b,down_input,26,hadamard_b16,1.2260604568655253,2048
llama32_3b,down_input,27,hadamard_b128,1.1992672190899611,2048
llama32_3b,down_input,27,hadamard_b128_pi,1.2611885801889002,2048
llama32_3b,down_input,27,nar_b128,3.5427096264902502,2048
llama32_3b,down_input,27,hadamard_b16,1.1992672198393848,2048
