model,method,site,layer,mean_group_range,nmse,groups_observed
llama32_3b,hadamard,qkv,0,0.6675362167718882,0.009901560410623551,6291456
llama32_3b,hadamard,qkv,1,1.1626846231594168,0.009899966413713625,6291456
llama32_3b,hadamard,qkv,2,2.1297919202260496,0.00994264998749293,6291456
llama32_3b,hadamard,qkv,3,1.8103693267292253,0.00996584602116457,6291456
llama32_3b,hadamard,qkv,4,1.7677660207423667,0.00993592488843514,6291456
llama32_3b,hadamard,qkv,5,2.0669124273249886,0.009922079050430088,6291456
llama32_3b,hadamard,qkv,6,1.9552740764597918,0.00995179902955348,6291456
llama32_3b,hadamard,qkv,7,1.8868180349073025,0.009934580376601346,6291456
llama32_3b,hadamard,qkv,8,2.1136929624873346,0.009951953613448875,6291456
llama32_3b,hadamard,qkv,9,2.110748518683446,0.009926513749997218,6291456
llama32_3b,hadamard,qkv,10,2.1842124594502366,0.00992147305461273,6291456
llama32_3b,hadamard,qkv,11,1.9762499344493374,0.0099161366406787,6291456
llama32_3b,hadamard,qkv,12,2.362692043323648,0.009879310455473848,6291456
llama32_3b,hadamard,qkv,13,2.402465281423247,0.009885705215173568,6291456
llama32_3b,hadamard,qkv,14,2.308287145557737,0.0099039495828409,6291456
llama32_3b,hadamard,qkv,15,2.411228495284471,0.00991326482467743,6291456
llama32_3b,hadamard,qkv,16,2.4397070694776253,0.00993115588417968,6291456
llama32_3b,hadamard,qkv,17,2.430630366149861,0.009935454379401696,6291456
llama32_3b,hadamard,qkv,18,2.587774946563703,0.009911662806284898,6291456
llama32_3b,hadamard,qkv,19,2.4814015531079385,0.00992354595549518,6291456
llama32_3b,hadamard,qkv,20,2.5389705939790965,0.009931012686685805,6291456
llama32_3b,hadamard,qkv,21,2.585623994440899,0.009900305962571247,6291456
llama32_3b,hadamard,qkv,22,2.5398152993304657,0.009919626413111164,6291456
llama32_3b,hadamard,qkv,23,2.5328827711297968,0.009919345378203,6291456
llama32_3b,hadamard,qkv,24,2.6974065623802326,0.009917324371997115,6291456
llama32_3b,hadamard,qkv,25,2.606859651424069,0.009940432467835358,6291456
llama32_3b,hadamard,qkv,26,2.56566804415174,0.00995421436028812,6291456
llama32_3b,hadamard,qkv,27,2.282124059382833,0.009920899310711433,6291456
llama32_3b,hadamard,down,0,0.07022809371320626,0.009016699902741471,16777216
llama32_3b,hadamard,down,1,0.0852889181346479,0.0008941523425156019,16777216
llama32_3b,hadamard,down,2,0.11665384197741457,0.009375716129743535,16777216
llama32_3b,hadamard,down,3,0.15420585758962524,0.009796412324368968,16777216
llama32_3b,hadamard,down,4,0.1899119429374685,0.009775112431220515,16777216
llama32_3b,hadamard,down,5,0.2159663426309102,0.009793731436935946,16777216
llama32_3b,hadamard,down,6,0.2346127737429189,0.009867410501728008,16777216
llama32_3b,hadamard,down,7,0.23878159575988978,0.00989844471833307,16777216
llama32_3b,hadamard,down,8,0.24477358394814752,0.009907932094027825,16777216
llama32_3b,hadamard,down,9,0.24814147531283703,0.009901589542431465,16777216
llama32_3b,hadamard,down,10,0.2572377539336239,0.009899298393551671,16777216
llama32_3b,hadamard,down,11,0.26440796332746697,0.009913456265731872,16777216
llama32_3b,hadamard,down,12,0.2881430020400022,0.009897596765736979,16777216
llama32_3b,hadamard,down,13,0.3127844425366968,0.0098501524686394,16777216
llama32_3b,hadamard,down,14,0.356448605595193,0.009816065211936249,16777216
llama32_3b,hadamard,down,15,0.3766791660005726,0.009765111950655816,16777216
llama32_3b,hadamard,down,16,0.37114229691197664,0.009734300090291616,16777216
llama32_3b,hadamard,down,17,0.3781187642774322,0.009696424819011767,16777216
llama32_3b,hadamard,down,18,0.3857505459665349,0.009668682640198397,16777216
llama32_3b,hadamard,down,19,0.443820665516907,0.009685425623399649,16777216
llama32_3b,hadamard,down,20,0.42973466704313434,0.009680405922076881,16777216
llama32_3b,hadamard,down,21,0.4428128751979905,0.009712157984804957,16777216
llama32_3b,hadamard,down,22,0.4624139962450773,0.009647120230960494,16777216
llama32_3b,hadamard,down,23,0.517594191034429,0.009610120485492837,16777216
llama32_3b,hadamard,down,24,0.5995048250070898,0.00971419356899817,16777216
llama32_3b,hadamard,down,25,0.7418431877869232,0.009775526926402689,16777216
llama32_3b,hadamard,down,26,0.9391359326283713,0.009820789486469233,16777216
llama32_3b,hadamard,down,27,1.7846123958568327,0.009773064214548762,16777216
llama32_3b,smoothquant_hadamard,qkv,0,0.4272336570298331,0.009952717624886047,6291456
llama32_3b,smoothquant_hadamard,qkv,1,0.4248952699520648,0.009937320697727976,6291456
llama32_3b,smoothquant_hadamard,qkv,2,0.5650214972169513,0.009952851962963733,6291456
llama32_3b,smoothquant_hadamard,qkv,3,0.5166536396325228,0.009966606463427672,6291456
llama32_3b,smoothquant_hadamard,qkv,4,0.5112273263593655,0.009937723776482846,6291456
llama32_3b,smoothquant_hadamard,qkv,5,0.5639736354405613,0.009931304112961255,6291456
llama32_3b,smoothquant_hadamard,qkv,6,0.5288427347310906,0.009973456847516006,6291456
llama32_3b,smoothquant_hadamard,qkv,7,0.5121230707073275,0.00993984134016132,6291456
llama32_3b,smoothquant_hadamard,qkv,8,0.576165220285219,0.009960799690621205,6291456
llama32_3b,smoothquant_hadamard,qkv,9,0.5585052565240384,0.009943988388422698,6291456
llama32_3b,smoothquant_hadamard,qkv,10,0.5634577134502526,0.009950076158685104,6291456
llama32_3b,smoothquant_hadamard,qkv,11,0.5149319140491713,0.009942250859558731,6291456
llama32_3b,smoothquant_hadamard,qkv,12,0.5665392475835537,0.009944768626923929,6291456
llama32_3b,smoothquant_hadamard,qkv,13,0.5873051364741618,0.009941571105635216,6291456
llama32_3b,smoothquant_hadamard,qkv,14,0.588955892268956,0.009951872341753635,6291456
llama32_3b,smoothquant_hadamard,qkv,15,0.5744887449040116,0.00995812061603946,6291456
llama32_3b,smoothquant_hadamard,qkv,16,0.569274870383552,0.009951368049351317,6291456
llama32_3b,smoothquant_hadamard,qkv,17,0.5643672145294261,0.009953292872816853,6291456
llama32_3b,smoothquant_hadamard,qkv,18,0.5752691063165069,0.009948649150782439,6291456
llama32_3b,smoothquant_hadamard,qkv,19,0.5601329266057083,0.009940271716044745,6291456
llama32_3b,smoothquant_hadamard,qkv,20,0.5568782544580037,0.009949546522559185,6291456
llama32_3b,smoothquant_hadamard,qkv,21,0.5680215200982323,0.009935048460814376,6291456
llama32_3b,smoothquant_hadamard,qkv,22,0.5638087995465876,0.009936944978279438,6291456
llama32_3b,smoothquant_hadamard,qkv,23,0.5602508188594394,0.009939121166299752,6291456
llama32_3b,smoothquant_hadamard,qkv,24,0.5720191219223381,0.009943560805372632,6291456
llama32_3b,smoothquant_hadamard,qkv,25,0.55727804781651,0.009949079027247879,6291456
llama32_3b,smoothquant_hadamard,qkv,26,0.5686976035286051,0.009962028129691951,6291456
llama32_3b,smoothquant_hadamard,qkv,27,0.5375127218721,0.009928457156443235,6291456
llama32_3b,smoothquant_hadamard,down,0,0.03696623098967361,0.009787902188837428,16777216
llama32_3b,smoothquant_hadamard,down,1,0.03408136232490183,0.007846393453932565,16777216
llama32_3b,smoothquant_hadamard,down,2,0.04151415280267701,0.009705947420520599,16777216
llama32_3b,smoothquant_hadamard,down,3,0.051160956085490095,0.009848209220070648,16777216
