model,method,seed,sequence,nll,tokens_scored,alpha,smoothing_sites,weight_fold_max_relative_error
llama32_3b,smoothquant_a065_both,20260902,0,1.8645713329315186,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,1,2.436741828918457,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,2,2.51865291595459,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,3,2.028951406478882,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,4,1.9375207424163818,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,5,1.5824658870697021,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,6,1.6776801347732544,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,7,1.9229918718338013,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,8,2.2720115184783936,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,9,1.976540207862854,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,10,1.9117496013641357,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,11,2.2508158683776855,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,12,2.1350481510162354,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,13,2.283601999282837,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,14,2.208390951156616,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,15,2.4167885780334473,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,16,2.146648406982422,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,17,2.1583251953125,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,18,1.978597640991211,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,19,2.128819465637207,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,20,2.2496888637542725,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,21,2.172743558883667,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,22,2.228032350540161,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,23,2.2623517513275146,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,24,2.2967798709869385,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,25,2.3565220832824707,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,26,2.439269542694092,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,27,2.2458131313323975,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,28,2.016260862350464,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,29,1.828091025352478,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,30,1.717679738998413,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,31,1.7449777126312256,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,32,2.0351057052612305,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,33,1.9955949783325195,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,34,2.17759370803833,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,35,1.4894169569015503,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,36,1.4584053754806519,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,37,1.4918692111968994,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,38,1.4927546977996826,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,39,1.6903822422027588,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,40,2.2864344120025635,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,41,2.6997764110565186,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,42,2.6994292736053467,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,43,2.330388307571411,2047,0.65,qkv+down,0.03125467523932457
llama32_3b,smoothquant_a065_both,20260902,44,2.325063705444336,2047,0.65,qkv+down,0.03125467523932457
