model,k,tokens,backend,config,splits,projection_ms
llama32_3b,8,1,v2_triton_fp32,-,32,0.010404110134263104
llama32_3b,8,1,cublas_fp32out_2term,-,1,0.024368625156057533
llama32_3b,8,1,triton_dot_2term,T16_D64_S4_w4_s4,4,0.016515837531947537
llama32_3b,8,1,triton_dot_2term,T16_D128_S4_w4_s4,4,0.013435297857131098
llama32_3b,8,1,triton_dot_2term,T16_D256_S4_w8_s3,4,0.015908580295006587
llama32_3b,8,1,triton_dot_2term,T32_D64_S4_w4_s4,4,0.015910251464197552
llama32_3b,8,1,triton_dot_2term,T32_D128_S4_w8_s3,4,0.016734627774439126
llama32_3b,8,1,triton_dot_2term,T32_D256_S4_w8_s3,4,0.016163015390674655
llama32_3b,8,1,triton_dot_2term,T64_D64_S4_w8_s3,4,0.02218993555288762
llama32_3b,8,1,triton_dot_2term,T64_D128_S4_w8_s3,4,0.017597821291086738
llama32_3b,8,1,cublas_fp32out_3term,-,1,0.034731395666026676
llama32_3b,8,1,triton_dot_3term,T16_D64_S4_w4_s4,4,0.02016574825474364
llama32_3b,8,1,triton_dot_3term,T16_D128_S4_w4_s4,4,0.018745237064717334
llama32_3b,8,1,triton_dot_3term,T16_D256_S4_w8_s3,4,0.020615229620973348
llama32_3b,8,1,triton_dot_3term,T32_D64_S4_w4_s4,4,0.01749358160507887
llama32_3b,8,1,triton_dot_3term,T32_D128_S4_w8_s3,4,0.02088671142076166
llama32_3b,8,1,triton_dot_3term,T32_D256_S4_w8_s3,4,0.02033024728810506
llama32_3b,8,1,triton_dot_3term,T64_D64_S4_w8_s3,4,0.02502930098862359
llama32_3b,8,1,triton_dot_3term,T64_D128_S4_w8_s3,4,0.02151458206595761
llama32_3b,8,32,v2_triton_fp32,-,32,0.01184798557419866
llama32_3b,8,32,cublas_fp32out_2term,-,1,0.02798215150684712
llama32_3b,8,32,triton_dot_2term,T16_D64_S4_w4_s4,4,0.016816901017739933
llama32_3b,8,32,triton_dot_2term,T16_D128_S4_w4_s4,4,0.0139632367667607
llama32_3b,8,32,triton_dot_2term,T16_D256_S4_w8_s3,4,0.016327474859604275
llama32_3b,8,32,triton_dot_2term,T32_D64_S4_w4_s4,4,0.017497562716016546
llama32_3b,8,32,triton_dot_2term,T32_D128_S4_w8_s3,4,0.017840031509017154
llama32_3b,8,32,triton_dot_2term,T32_D256_S4_w8_s3,4,0.01632222397303259
llama32_3b,8,32,triton_dot_2term,T64_D64_S4_w8_s3,4,0.02325190420821309
llama32_3b,8,32,triton_dot_2term,T64_D128_S4_w8_s3,4,0.01791198472373931
llama32_3b,8,32,cublas_fp32out_3term,-,1,0.0401601343325296
llama32_3b,8,32,triton_dot_3term,T16_D64_S4_w4_s4,4,0.020633422673897076
llama32_3b,8,32,triton_dot_3term,T16_D128_S4_w4_s4,4,0.01556144464688683
llama32_3b,8,32,triton_dot_3term,T16_D256_S4_w8_s3,4,0.019497769142987675
llama32_3b,8,32,triton_dot_3term,T32_D64_S4_w4_s4,4,0.02123133448312188
llama32_3b,8,32,triton_dot_3term,T32_D128_S4_w8_s3,4,0.021084261195051787
llama32_3b,8,32,triton_dot_3term,T32_D256_S4_w8_s3,4,0.020036661256779366
llama32_3b,8,32,triton_dot_3term,T64_D64_S4_w8_s3,4,0.026143089262390038
llama32_3b,8,32,triton_dot_3term,T64_D128_S4_w8_s3,4,0.02132490205163965
llama32_3b,8,2048,v2_triton_fp32,-,2,0.08508216021185237
llama32_3b,8,2048,cublas_fp32out_2term,-,1,0.06837083216328009
llama32_3b,8,2048,triton_dot_2term,T16_D64_S4_w4_s4,4,0.04669766620111962
llama32_3b,8,2048,triton_dot_2term,T16_D128_S4_w4_s4,4,0.050226072264704734
llama32_3b,8,2048,triton_dot_2term,T16_D256_S4_w8_s3,4,0.04838539970417818
llama32_3b,8,2048,triton_dot_2term,T32_D64_S4_w4_s4,4,0.0440766805110507
llama32_3b,8,2048,triton_dot_2term,T32_D128_S4_w8_s3,4,0.044355319619673414
llama32_3b,8,2048,triton_dot_2term,T32_D256_S4_w8_s3,4,0.045995419651764555
llama32_3b,8,2048,triton_dot_2term,T64_D64_S4_w8_s3,4,0.042963682771290194
llama32_3b,8,2048,triton_dot_2term,T64_D128_S4_w8_s3,4,0.04125466306031365
llama32_3b,8,2048,cublas_fp32out_3term,-,1,0.0907367404795041
llama32_3b,8,2048,triton_dot_3term,T16_D64_S4_w4_s4,4,0.05083419839373099
