model,layer,rank,eigenvalue,fraction_total,cumulative_fraction
llama32_3b,0,1,61.88690597053501,0.18354243311157206,0.18354243311157206
llama32_3b,0,2,37.65343570210854,0.11167149327299598,0.29521392638456806
llama32_3b,0,3,26.95788574850325,0.07995093411488066,0.3751648604994487
llama32_3b,0,4,19.81254566507397,0.0587594868490138,0.43392434734846247
llama32_3b,0,5,17.7066879656237,0.05251399372114822,0.4864383410696107
llama32_3b,0,6,9.72149007869126,0.028831719966135136,0.5152700610357458
llama32_3b,0,7,7.6933987082446205,0.022816864014512887,0.5380869250502588
llama32_3b,0,8,6.802425713461262,0.02017444153863244,0.5582613665888911
llama32_3b,0,9,6.795917118179712,0.020155138531067592,0.5784165051199588
llama32_3b,0,10,4.989981583058862,0.014799146064477908,0.5932156511844368
llama32_3b,0,11,4.389280613372821,0.01301760414022741,0.6062332553246641
llama32_3b,0,12,4.387087822224366,0.013011100822338412,0.6192443561470025
llama32_3b,0,13,3.501719561220973,0.010385300707178457,0.6296296568541809
llama32_3b,0,14,3.4982556206496866,0.010375027450329737,0.6400046843045106
llama32_3b,0,15,3.4823757790235326,0.01032793146574653,0.6503326157702572
llama32_3b,0,16,3.4277279328163988,0.010165858431073576,0.6604984742013308
llama32_3b,0,17,2.88037169294139,0.00854252479579228,0.6690409989971231
llama32_3b,0,18,2.554360932210577,0.007575651314129182,0.6766166503112522
llama32_3b,0,19,2.3879308811405036,0.007082057781907225,0.6836987080931594
llama32_3b,0,20,2.3222643258629905,0.006887305771919382,0.6905860138650789
llama32_3b,0,21,2.3202788719036556,0.006881417368794159,0.697467431233873
llama32_3b,0,22,2.308077278543841,0.006845230228752538,0.7043126614626256
llama32_3b,0,23,2.304403756051637,0.0068343353997780505,0.7111469968624036
llama32_3b,0,24,2.2594694720138766,0.006701070572702293,0.717848067435106
llama32_3b,0,25,2.2337658532368008,0.006624839508050863,0.7244729069431567
llama32_3b,0,26,2.130451270689802,0.0063184320449663324,0.7307913389881231
llama32_3b,0,27,2.1148067881621953,0.006272034081732308,0.7370633730698555
llama32_3b,0,28,2.040730460544599,0.0060523406071001,0.7431157136769556
llama32_3b,0,29,2.0214580949632013,0.00599518317104554,0.7491108968480011
llama32_3b,0,30,1.9696111084290482,0.005841416846671332,0.7549523136946724
llama32_3b,0,31,1.928782403712999,0.005720328230479315,0.7606726419251517
llama32_3b,0,32,1.917657963988147,0.005687335682183646,0.7663599776073354
llama32_3b,0,33,1.916453363858524,0.005683763113233071,0.7720437407205685
llama32_3b,0,34,1.911556116201217,0.0056692389948193945,0.7777129797153878
llama32_3b,0,35,1.9087441969668781,0.005660899484386776,0.7833738791997747
llama32_3b,0,36,1.8950141372555283,0.005620179262125412,0.7889940584619
llama32_3b,0,37,1.8885381334971878,0.005600972913577119,0.7945950313754772
llama32_3b,0,38,1.8192083044670224,0.005395356470036311,0.7999903878455135
llama32_3b,0,39,1.8067954696995339,0.005358542836210094,0.8053489306817236
llama32_3b,0,40,1.7883992030187026,0.005303983709464015,0.8106529143911876
llama32_3b,0,41,1.7820436902599097,0.005285134709709917,0.8159380491008975
llama32_3b,0,42,1.7755719976319855,0.005265941146990124,0.8212039902478878
llama32_3b,0,43,1.768605353010931,0.005245279669665974,0.8264492699175537
llama32_3b,0,44,1.7674539242765959,0.005241864794933748,0.8316911347124875
llama32_3b,0,45,1.7241074287259723,0.005113308985987518,0.836804443698475
llama32_3b,0,46,1.7223127473111053,0.005107986370672064,0.841912430069147
llama32_3b,0,47,1.6890468601391844,0.005009327344576037,0.846921757413723
llama32_3b,0,48,1.6882642689267875,0.005007006357721023,0.851928763771444
llama32_3b,0,49,1.6804085358271037,0.004983708046965634,0.8569124718184097
llama32_3b,0,50,1.648731033741531,0.004889759808376181,0.8618022316267857
llama32_3b,0,51,1.6419619831775807,0.004869684349910796,0.8666719159766967
llama32_3b,0,52,1.5643738988551716,0.004639575806695193,0.8713114917833917
llama32_3b,0,53,1.5553622516890326,0.004612849318736598,0.8759243411021285
llama32_3b,0,54,1.5495152754576895,0.004595508522214032,0.8805198496243425
llama32_3b,0,55,1.5242567176497237,0.004520597406780816,0.8850404470311234
llama32_3b,0,56,1.4790823227206917,0.004386620465623583,0.8894270674967468
llama32_3b,0,57,1.4759275178752378,0.004377264034755922,0.8938043315315027
llama32_3b,0,58,1.454693235629404,0.00431428800181878,0.8981186195333215
llama32_3b,0,59,1.44860689987744,0.004296237319608535,0.9024148568529301
llama32_3b,0,60,1.435716093083758,0.004258006129883037,0.906672862982813
llama32_3b,0,61,1.4236639853032333,0.004222262329939094,0.9108951253127522
llama32_3b,0,62,1.360692644594506,0.004035503710991809,0.914930629023744
llama32_3b,0,63,1.3581786841554544,0.004028047878316163,0.9189586769020601
