model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,0,32,bf16,7.112534046173096,0.0,0.0,65536,True,
llama32_3b,0,32,identity,7.112534046173096,0.008509275762118662,0.022177426144480705,65536,True,
llama32_3b,0,32,hadamard,6.261038303375244,0.005752107251099715,0.014991513453423977,65536,True,
llama32_3b,0,32,nar,4.701869487762451,0.003201794287422722,0.008344723843038082,65536,True,
llama32_3b,0,32,nar_rope,5.580329895019531,0.004531769257797763,0.011810991913080215,65536,True,
llama32_3b,0,64,bf16,9.369365692138672,0.0,0.0,65536,True,
llama32_3b,0,64,identity,9.369365692138672,0.014436375797045355,0.0376250185072422,65536,True,
llama32_3b,0,64,hadamard,7.076384544372559,0.007541538397819798,0.019655246287584305,65536,True,
llama32_3b,0,64,nar,5.869485378265381,0.00505022100133038,0.013162213377654552,65536,True,
llama32_3b,0,64,nar_rope,6.521041393280029,0.006329675526823209,0.0164968091994524,65536,True,
llama32_3b,0,128,bf16,12.004758834838867,0.0,0.0,65536,True,
llama32_3b,0,128,identity,12.004758834838867,0.02320944778043057,0.060489967465400696,65536,True,
llama32_3b,0,128,hadamard,7.79390811920166,0.009247718078461016,0.024102002382278442,65536,True,
llama32_3b,0,128,nar,7.006903648376465,0.0073437714118124685,0.019139811396598816,65536,True,
llama32_3b,0,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,1,32,bf16,8.717625617980957,0.0,0.0,65536,True,
llama32_3b,1,32,identity,8.717625617980957,0.007909485226706474,0.02953326515853405,65536,True,
llama32_3b,1,32,hadamard,7.716503143310547,0.005754108292051193,0.02148529142141342,65536,True,
llama32_3b,1,32,nar,6.021541595458984,0.0035795297526723963,0.013365622609853745,65536,True,
llama32_3b,1,32,nar_rope,7.06256103515625,0.004869788179729804,0.018183324486017227,65536,True,
llama32_3b,1,64,bf16,11.12264633178711,0.0,0.0,65536,True,
llama32_3b,1,64,identity,11.12264633178711,0.01256458006196487,0.04691494628787041,65536,True,
llama32_3b,1,64,hadamard,8.74138069152832,0.00756677173383763,0.028253605589270592,65536,True,
llama32_3b,1,64,nar,7.406543731689453,0.005506534425480865,0.02056087553501129,65536,True,
llama32_3b,1,64,nar_rope,8.437801361083984,0.007081107260867686,0.026440178975462914,65536,True,
llama32_3b,1,128,bf16,13.824491500854492,0.0,0.0,65536,True,
llama32_3b,1,128,identity,13.824491500854492,0.019315701444825317,0.07212299108505249,65536,True,
llama32_3b,1,128,hadamard,9.71578311920166,0.00946489053855689,0.03534099832177162,65536,True,
llama32_3b,1,128,nar,8.801385879516602,0.007792900822079783,0.02909795008599758,65536,True,
