model,layer,b,position,method,mean_group_range,valid,reduction_vs_hadamard,invalid_reason
llama32_3b,0,32,0,bf16,7.146762847900391,True,nan,
llama32_3b,0,32,0,hadamard,6.374670028686523,True,0.0,
llama32_3b,0,32,0,nar_rope,5.654130935668945,True,0.11303159061960773,
llama32_3b,0,32,512,bf16,7.1151628494262695,True,nan,
llama32_3b,0,32,512,hadamard,6.2604780197143555,True,0.0,
llama32_3b,0,32,512,nar_rope,5.564554691314697,True,0.11116137237574884,
llama32_3b,0,32,1024,bf16,7.18111515045166,True,nan,
llama32_3b,0,32,1024,hadamard,6.2284393310546875,True,0.0,
llama32_3b,0,32,1024,nar_rope,5.535257816314697,True,0.11129297050126535,
llama32_3b,0,32,2048,bf16,7.135103225708008,True,nan,
llama32_3b,0,32,2048,hadamard,6.323997974395752,True,0.0,
llama32_3b,0,32,2048,nar_rope,5.574359893798828,True,0.1185386338882486,
llama32_3b,0,64,0,bf16,9.485118865966797,True,nan,
llama32_3b,0,64,0,hadamard,7.0569047927856445,True,0.0,
llama32_3b,0,64,0,nar_rope,6.542971134185791,True,0.07282706422867627,
llama32_3b,0,64,512,bf16,9.366425514221191,True,nan,
llama32_3b,0,64,512,hadamard,7.126737594604492,True,0.0,
llama32_3b,0,64,512,nar_rope,6.681570529937744,True,0.06246435465840288,
llama32_3b,0,64,1024,bf16,9.452279090881348,True,nan,
llama32_3b,0,64,1024,hadamard,7.339541435241699,True,0.0,
llama32_3b,0,64,1024,nar_rope,6.499305725097656,True,0.11448068214582852,
llama32_3b,0,64,2048,bf16,9.39719009399414,True,nan,
llama32_3b,0,64,2048,hadamard,7.065161228179932,True,0.0,
llama32_3b,0,64,2048,nar_rope,6.646283149719238,True,0.059287830090835915,
llama32_3b,0,128,0,bf16,11.865320205688477,True,nan,
llama32_3b,0,128,0,hadamard,7.84194278717041,True,0.0,
llama32_3b,0,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,0,128,512,bf16,12.191797256469727,True,nan,
llama32_3b,0,128,512,hadamard,7.8019585609436035,True,0.0,
llama32_3b,0,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,0,128,1024,bf16,12.039056777954102,True,nan,
llama32_3b,0,128,1024,hadamard,7.693696975708008,True,0.0,
llama32_3b,0,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,0,128,2048,bf16,11.948949813842773,True,nan,
llama32_3b,0,128,2048,hadamard,7.84765625,True,0.0,
