model,layer,b,method,valid,max_abs_error,max_relative_error,invalid_reason
llama32_3b,0,32,identity,True,0.0,0.0,
llama32_3b,0,32,hadamard,True,4.57763671875e-05,2.268932348670205e-07,
llama32_3b,0,32,nar,True,3.337860107421875e-05,1.6544298375720246e-07,
llama32_3b,0,32,nar_rope,True,2.288818359375e-05,1.1344661743351026e-07,
llama32_3b,0,64,identity,True,0.0,0.0,
llama32_3b,0,64,hadamard,True,4.57763671875e-05,2.268932348670205e-07,
llama32_3b,0,64,nar,True,3.0517578125e-05,1.5126215657801367e-07,
llama32_3b,0,64,nar_rope,True,1.52587890625e-05,7.563107828900684e-08,
llama32_3b,0,128,identity,True,0.0,0.0,
llama32_3b,0,128,hadamard,True,3.0517578125e-05,1.5126215657801367e-07,
llama32_3b,0,128,nar,True,3.814697265625e-05,1.890776957225171e-07,
llama32_3b,0,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,1,32,identity,True,0.0,0.0,
llama32_3b,1,32,hadamard,True,6.103515625e-05,2.9987282346155553e-07,
llama32_3b,1,32,nar,True,6.103515625e-05,2.9987282346155553e-07,
llama32_3b,1,32,nar_rope,True,4.57763671875e-05,2.24904624701594e-07,
llama32_3b,1,64,identity,True,0.0,0.0,
llama32_3b,1,64,hadamard,True,4.57763671875e-05,2.24904624701594e-07,
llama32_3b,1,64,nar,True,6.103515625e-05,2.9987282346155553e-07,
llama32_3b,1,64,nar_rope,True,3.0517578125e-05,1.4993641173077776e-07,
llama32_3b,1,128,identity,True,0.0,0.0,
llama32_3b,1,128,hadamard,True,6.103515625e-05,2.9987282346155553e-07,
llama32_3b,1,128,nar,True,6.103515625e-05,2.9987282346155553e-07,
llama32_3b,1,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,2,32,identity,True,0.0,0.0,
llama32_3b,2,32,hadamard,True,3.814697265625e-05,2.031720782724733e-07,
llama32_3b,2,32,nar,True,3.814697265625e-05,2.031720782724733e-07,
llama32_3b,2,32,nar_rope,True,3.0517578125e-05,1.625376739866624e-07,
llama32_3b,2,64,identity,True,0.0,0.0,
llama32_3b,2,64,hadamard,True,3.814697265625e-05,2.031720782724733e-07,
llama32_3b,2,64,nar,True,3.814697265625e-05,2.031720782724733e-07,
llama32_3b,2,64,nar_rope,True,3.0517578125e-05,1.625376739866624e-07,
llama32_3b,2,128,identity,True,0.0,0.0,
llama32_3b,2,128,hadamard,True,4.57763671875e-05,2.438065109799936e-07,
llama32_3b,2,128,nar,True,3.814697265625e-05,2.031720782724733e-07,
llama32_3b,2,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,3,32,identity,True,0.0,0.0,
llama32_3b,3,32,hadamard,True,4.9591064453125e-05,2.982237390369846e-07,
llama32_3b,3,32,nar,True,3.814697265625e-05,2.294028860205799e-07,
llama32_3b,3,32,nar_rope,True,4.57763671875e-05,2.7528346890903777e-07,
llama32_3b,3,64,identity,True,0.0,0.0,
llama32_3b,3,64,hadamard,True,4.57763671875e-05,2.7528346890903777e-07,
llama32_3b,3,64,nar,True,5.340576171875e-05,3.211640375866409e-07,
llama32_3b,3,64,nar_rope,True,3.0517578125e-05,1.8352230313212203e-07,
llama32_3b,3,128,identity,True,0.0,0.0,
llama32_3b,3,128,hadamard,True,3.0517578125e-05,1.8352230313212203e-07,
llama32_3b,3,128,nar,True,3.814697265625e-05,2.294028860205799e-07,
llama32_3b,3,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,4,32,identity,True,0.0,0.0,
llama32_3b,4,32,hadamard,True,3.814697265625e-05,2.223957125124798e-07,
llama32_3b,4,32,nar,True,3.4332275390625e-05,2.001561369979754e-07,
llama32_3b,4,32,nar_rope,True,3.0517578125e-05,1.7791656148347101e-07,
llama32_3b,4,64,identity,True,0.0,0.0,
llama32_3b,4,64,hadamard,True,3.337860107421875e-05,1.9459625377749035e-07,
llama32_3b,4,64,nar,True,3.814697265625e-05,2.223957125124798e-07,
llama32_3b,4,64,nar_rope,True,1.52587890625e-05,8.895828074173551e-08,
llama32_3b,4,128,identity,True,0.0,0.0,
llama32_3b,4,128,hadamard,True,3.0517578125e-05,1.7791656148347101e-07,
llama32_3b,4,128,nar,True,3.528594970703125e-05,2.0571603442931519e-07,
llama32_3b,4,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,5,32,identity,True,0.0,0.0,
llama32_3b,5,32,hadamard,True,4.57763671875e-05,2.8621633418879355e-07,
llama32_3b,5,32,nar,True,3.814697265625e-05,2.3851362129789777e-07,
llama32_3b,5,32,nar_rope,True,3.0517578125e-05,1.9081089419614727e-07,
llama32_3b,5,64,identity,True,0.0,0.0,
llama32_3b,5,64,hadamard,True,3.814697265625e-05,2.3851362129789777e-07,
llama32_3b,5,64,nar,True,4.57763671875e-05,2.8621633418879355e-07,
llama32_3b,5,64,nar_rope,True,1.52587890625e-05,9.540544709807364e-08,
llama32_3b,5,128,identity,True,0.0,0.0,
llama32_3b,5,128,hadamard,True,3.0517578125e-05,1.9081089419614727e-07,
llama32_3b,5,128,nar,True,3.814697265625e-05,2.3851362129789777e-07,
llama32_3b,5,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,6,32,identity,True,0.0,0.0,
llama32_3b,6,32,hadamard,True,3.814697265625e-05,2.3743261579056707e-07,
llama32_3b,6,32,nar,True,6.103515625e-05,3.798921852649073e-07,
llama32_3b,6,32,nar_rope,True,3.0517578125e-05,1.8994609263245366e-07,
llama32_3b,6,64,identity,True,0.0,0.0,
llama32_3b,6,64,hadamard,True,4.9591064453125e-05,3.0866240763316455e-07,
llama32_3b,6,64,nar,True,4.57763671875e-05,2.849191389486805e-07,
llama32_3b,6,64,nar_rope,True,3.0517578125e-05,1.8994609263245366e-07,
llama32_3b,6,128,identity,True,0.0,0.0,
llama32_3b,6,128,hadamard,True,3.814697265625e-05,2.3743261579056707e-07,
llama32_3b,6,128,nar,True,3.814697265625e-05,2.3743261579056707e-07,
llama32_3b,6,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,7,32,identity,True,0.0,0.0,
llama32_3b,7,32,hadamard,True,3.814697265625e-05,2.2734667481927318e-07,
llama32_3b,7,32,nar,True,3.4332275390625e-05,2.0461200733734586e-07,
llama32_3b,7,32,nar_rope,True,3.0517578125e-05,1.8187733985541854e-07,
llama32_3b,7,64,identity,True,0.0,0.0,
llama32_3b,7,64,hadamard,True,4.57763671875e-05,2.728160097831278e-07,
llama32_3b,7,64,nar,True,4.57763671875e-05,2.728160097831278e-07,
llama32_3b,7,64,nar_rope,True,3.0517578125e-05,1.8187733985541854e-07,
llama32_3b,7,128,identity,True,0.0,0.0,
llama32_3b,7,128,hadamard,True,5.340576171875e-05,3.1828534474698245e-07,
llama32_3b,7,128,nar,True,4.57763671875e-05,2.728160097831278e-07,
llama32_3b,7,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,8,32,identity,True,0.0,0.0,
llama32_3b,8,32,hadamard,True,4.57763671875e-05,2.508146792479238e-07,
llama32_3b,8,32,nar,True,3.0517578125e-05,1.672097909022341e-07,
llama32_3b,8,32,nar_rope,True,2.288818359375e-05,1.254073396239619e-07,
llama32_3b,8,64,identity,True,0.0,0.0,
llama32_3b,8,64,hadamard,True,3.814697265625e-05,2.090122421805063e-07,
llama32_3b,8,64,nar,True,3.24249267578125e-05,1.776604108272295e-07,
llama32_3b,8,64,nar_rope,True,3.0517578125e-05,1.672097909022341e-07,
llama32_3b,8,128,identity,True,0.0,0.0,
llama32_3b,8,128,hadamard,True,3.814697265625e-05,2.090122421805063e-07,
llama32_3b,8,128,nar,True,4.57763671875e-05,2.508146792479238e-07,
llama32_3b,8,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,9,32,identity,True,0.0,0.0,
llama32_3b,9,32,hadamard,True,3.814697265625e-05,2.897618855968176e-07,
llama32_3b,9,32,nar,True,3.0517578125e-05,2.3180950847745407e-07,
llama32_3b,9,32,nar_rope,True,2.288818359375e-05,1.7385713135809056e-07,
llama32_3b,9,64,identity,True,0.0,0.0,
llama32_3b,9,64,hadamard,True,3.0517578125e-05,2.3180950847745407e-07,
llama32_3b,9,64,nar,True,3.528594970703125e-05,2.680297370716289e-07,
llama32_3b,9,64,nar_rope,True,1.9073486328125e-05,1.448809427984088e-07,
llama32_3b,9,128,identity,True,0.0,0.0,
llama32_3b,9,128,hadamard,True,3.0517578125e-05,2.3180950847745407e-07,
llama32_3b,9,128,nar,True,3.0517578125e-05,2.3180950847745407e-07,
llama32_3b,9,128,nar_rope,False,nan,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,10,32,identity,True,0.0,0.0,
