model,layer,b,k,nar_mean_group_range,dc_absorption_fraction_vs_k0,identity_residual_range_after_projection,projection_range_attribution_fraction
llama32_3b,0,32,0,5.65824031829834,0.0,7.112534046173096,0.0
llama32_3b,0,32,1,5.355460166931152,0.05351136295643336,6.276683330535889,0.11751799150781389
llama32_3b,0,32,2,5.103829860687256,0.09798284032195675,5.64752197265625,0.20597610696923083
llama32_3b,0,32,3,4.9024457931518555,0.13357412952261846,5.111002445220947,0.2814090713603085
llama32_3b,0,32,4,4.701869487762451,0.16902266017988926,4.856753349304199,0.31715569756500794
llama32_3b,0,64,0,6.579038619995117,0.0,9.369365692138672,0.0
llama32_3b,0,64,1,6.172697067260742,0.06176305934721456,7.943278789520264,0.15220741184378794
llama32_3b,0,64,2,5.869485378265381,0.1078505968293378,7.126132011413574,0.2394221502750473
llama32_3b,0,128,0,7.49215030670166,0.0,12.004758834838867,0.0
llama32_3b,0,128,1,7.006903648376465,0.0647673416123468,9.824949264526367,0.1815787889038221
llama32_3b,1,32,0,7.29572057723999,0.0,8.717625617980957,0.0
llama32_3b,1,32,1,6.8863325119018555,0.05611345185221011,7.866768836975098,0.09760189509066367
llama32_3b,1,32,2,6.525908470153809,0.10551556887851722,7.076710224151611,0.18822962418170344
llama32_3b,1,32,3,6.2318572998046875,0.14582017857895646,6.639000415802002,0.23843937480999264
llama32_3b,1,32,4,6.021541595458984,0.17464744822546843,6.144008636474609,0.29521994798652634
llama32_3b,1,64,0,8.336542129516602,0.0,11.12264633178711,0.0
llama32_3b,1,64,1,7.868264675140381,0.056171665314114355,9.771045684814453,0.12151790200412589
llama32_3b,1,64,2,7.406543731689453,0.11155685215508829,8.697588920593262,0.21802881606181632
llama32_3b,1,128,0,9.491264343261719,0.0,13.824491500854492,0.0
llama32_3b,1,128,1,8.801385879516602,0.07268562319991576,11.695647239685059,0.15399078230384458
llama32_3b,2,32,0,6.772790431976318,0.0,8.385395050048828,0.0
llama32_3b,2,32,1,6.45716667175293,0.046601731353333606,7.614686012268066,0.09191087995028617
llama32_3b,2,32,2,6.224456787109375,0.08096125967195152,6.873233795166016,0.1803327387508126
llama32_3b,2,32,3,5.928492546081543,0.1246602702939986,6.2490363121032715,0.2547713882523778
llama32_3b,2,32,4,5.762214660644531,0.1492111385228405,5.811512470245361,0.30694827905436356
llama32_3b,2,64,0,7.837461948394775,0.0,11.482460021972656,0.0
llama32_3b,2,64,1,7.4069294929504395,0.054932637412359646,10.040278434753418,0.12559865956071278
llama32_3b,2,64,2,7.08991003036499,0.09538188803365029,8.664989471435547,0.2453716838678856
llama32_3b,2,128,0,8.856203079223633,0.0,14.63798999786377,0.0
llama32_3b,2,128,1,8.335591316223145,0.05878498475512906,12.144933700561523,0.17031411400513843
llama32_3b,3,32,0,6.660430908203125,0.0,9.017364501953125,0.0
llama32_3b,3,32,1,6.276304721832275,0.05767287307158338,7.932524681091309,0.120305641479486
llama32_3b,3,32,2,6.0763702392578125,0.08769112344157362,7.145504951477051,0.20758388441219572
llama32_3b,3,32,3,5.86147928237915,0.119954945383484,6.571992874145508,0.2711847377665569
llama32_3b,3,32,4,5.671936988830566,0.14841290796292309,6.165127277374268,0.31630497180867806
llama32_3b,3,64,0,7.748020172119141,0.0,12.247233390808105,0.0
llama32_3b,3,64,1,7.263424873352051,0.06254440334459654,10.304664611816406,0.1586128652083704
llama32_3b,3,64,2,6.970501899719238,0.10035057409862749,9.111915588378906,0.25600212736881
llama32_3b,3,128,0,8.9616060256958,0.0,17.226024627685547,0.0
llama32_3b,3,128,1,8.214801788330078,0.08333375013634779,13.7131986618042,0.20392551629326933
llama32_3b,4,32,0,6.841020584106445,0.0,8.967658042907715,0.0
llama32_3b,4,32,1,6.440964221954346,0.05847904669100683,7.79581356048584,0.1306745280445496
llama32_3b,4,32,2,6.243786334991455,0.0873019225380681,7.142397880554199,0.20353810923879573
llama32_3b,4,32,3,6.0498270988464355,0.11565430560144312,6.729060173034668,0.2496301552938334
llama32_3b,4,32,4,5.816150665283203,0.14981243021023707,6.2409772872924805,0.30405717329639864
llama32_3b,4,64,0,7.906451225280762,0.0,12.356450080871582,0.0
llama32_3b,4,64,1,7.3841118812561035,0.06606495495153196,10.32137393951416,0.16469747605809731
llama32_3b,4,64,2,7.159366607666016,0.09449051114436197,9.343864440917969,0.24380672606101086
llama32_3b,4,128,0,8.948365211486816,0.0,15.955010414123535,0.0
llama32_3b,4,128,1,8.38973617553711,0.0624280550410043,12.739303588867188,0.20154840026990967
llama32_3b,5,32,0,6.977452754974365,0.0,8.791072845458984,0.0
llama32_3b,5,32,1,6.614048957824707,0.05208258800327675,7.814280986785889,0.11111179213782264
llama32_3b,5,32,2,6.370904922485352,0.08692969394262019,7.159293174743652,0.18561780790591736
llama32_3b,5,32,3,6.1834940910339355,0.1137891852258549,6.465641975402832,0.264521851989584
llama32_3b,5,32,4,5.9338908195495605,0.14956202099409824,5.942265510559082,0.3240568455045222
llama32_3b,5,64,0,8.009559631347656,0.0,11.96639633178711,0.0
llama32_3b,5,64,1,7.571588516235352,0.05468104805639776,10.063918113708496,0.15898505826895754
llama32_3b,5,64,2,7.280891418457031,0.0909748158985892,8.861997604370117,0.25942636708184047
llama32_3b,5,128,0,9.057662963867188,0.0,15.550454139709473,0.0
llama32_3b,5,128,1,8.42452621459961,0.06990067435643015,12.480565071105957,0.19741475335850675
llama32_3b,6,32,0,7.231935977935791,0.0,8.906068801879883,0.0
llama32_3b,6,32,1,6.912934303283691,0.044110135325499955,8.239034652709961,0.07489658613788444
llama32_3b,6,32,2,6.657917022705078,0.07937279270474888,7.576393127441406,0.14929995534705617
llama32_3b,6,32,3,6.46954870223999,0.10541952777538398,7.104168891906738,0.2023227026488726
llama32_3b,6,32,4,6.292236328125,0.1299374956688996,6.64121150970459,0.25430493998622933
llama32_3b,6,64,0,8.324127197265625,0.0,11.969077110290527,0.0
llama32_3b,6,64,1,7.917157173156738,0.0488904139094092,10.641714096069336,0.11089936191320704
llama32_3b,6,64,2,7.616851806640625,0.08496691291038073,9.55048942565918,0.20206968861048977
llama32_3b,6,128,0,9.479013442993164,0.0,15.431696891784668,0.0
llama32_3b,6,128,1,8.953115463256836,0.05548024410969362,13.301950454711914,0.13801116312792286
llama32_3b,7,32,0,7.660196781158447,0.0,9.922567367553711,0.0
llama32_3b,7,32,1,7.30255126953125,0.0466888151629325,8.95588207244873,0.09742290067649145
llama32_3b,7,32,2,7.090124607086182,0.07442004303002435,8.285236358642578,0.1650108231328438
llama32_3b,7,32,3,6.827938079833984,0.10864716992278113,7.70305061340332,0.2236837173217989
llama32_3b,7,32,4,6.5712080001831055,0.14216198514036799,7.089510917663574,0.2855164742094961
llama32_3b,7,64,0,8.920395851135254,0.0,13.452250480651855,0.0
llama32_3b,7,64,1,8.354816436767578,0.06340295025087898,11.6250638961792,0.13582757673897522
llama32_3b,7,64,2,8.13235092163086,0.08834192368314059,10.514730453491211,0.21836643849188134
llama32_3b,7,128,0,10.078645706176758,0.0,18.449129104614258,0.0
llama32_3b,7,128,1,9.506121635437012,0.05680565498883162,14.981614112854004,0.18795006377254977
llama32_3b,8,32,0,7.578402996063232,0.0,9.462088584899902,0.0
llama32_3b,8,32,1,7.283499717712402,0.038913644273605406,8.700518608093262,0.08048645602642042
llama32_3b,8,32,2,6.996837139129639,0.07673989589042716,8.278707504272461,0.12506552543969449
llama32_3b,8,32,3,6.7282209396362305,0.11218485700333536,7.510761260986328,0.20622585662827178
llama32_3b,8,32,4,6.501940727233887,0.1420434185656975,7.128365993499756,0.24663926684478768
llama32_3b,8,64,0,8.749463081359863,0.0,12.894309997558594,0.0
llama32_3b,8,64,1,8.389301300048828,0.04116387233844501,11.529866218566895,0.10581751014595141
llama32_3b,8,64,2,8.036571502685547,0.08147832296053498,10.607243537902832,0.17737020903707096
llama32_3b,8,128,0,9.81247329711914,0.0,16.367549896240234,0.0
llama32_3b,8,128,1,9.370174407958984,0.04507516869268949,14.594587326049805,0.1083218063442528
llama32_3b,9,32,0,7.4184088706970215,0.0,8.865304946899414,0.0
llama32_3b,9,32,1,7.23095703125,0.025268469656271293,8.215936660766602,0.0732482740325729
llama32_3b,9,32,2,6.947023391723633,0.06354266624954821,7.719653129577637,0.12922869818736038
llama32_3b,9,32,3,6.676434516906738,0.10001799128666368,7.240630149841309,0.18326214459507403
llama32_3b,9,32,4,6.461601257324219,0.1289774707824783,6.844329833984375,0.22796453421738896
llama32_3b,9,64,0,8.491534233093262,0.0,11.978992462158203,0.0
llama32_3b,9,64,1,8.252145767211914,0.028191426815239274,10.935528755187988,0.08710780228525317
llama32_3b,9,64,2,7.945420265197754,0.06431275584654525,10.010441780090332,0.16433357715905983
llama32_3b,9,128,0,9.627571105957031,0.0,16.070236206054688,0.0
llama32_3b,9,128,1,9.196441650390625,0.044780708531941785,14.042250633239746,0.1261951315968131
llama32_3b,10,32,0,7.293360233306885,0.0,8.893056869506836,0.0
llama32_3b,10,32,1,7.008499622344971,0.03905752655148302,8.209528923034668,0.07686085409122914
llama32_3b,10,32,2,6.747879981994629,0.07479134909875822,7.640772819519043,0.14081592734234233
llama32_3b,10,32,3,6.541693687438965,0.10306176053600832,7.131661415100098,0.19806411678827107
llama32_3b,10,32,4,6.3164777755737305,0.1339413420541036,6.615983009338379,0.2560507476317007
llama32_3b,10,64,0,8.36924934387207,0.0,12.063010215759277,0.0
llama32_3b,10,64,1,8.042640686035156,0.039024844931410195,10.73090648651123,0.11042879890027522
llama32_3b,10,64,2,7.723696708679199,0.07713387529379108,9.852826118469238,0.18321994740604838
