model,layer,b,hadamard_range,nar_cal_a_range,nar_disjoint_cal_b_range,reduction_cal_a_vs_hadamard,reduction_disjoint_cal_b_vs_hadamard,reduction_degradation_fraction_points,retained_fraction_of_cal_a_reduction
llama32_3b,0,32,6.261038303375244,4.701869487762451,4.712913513183594,0.2490271964591345,0.24726326771664636,0.0017639287424881245,0.9929167224802389
llama32_3b,0,64,7.076384544372559,5.869485378265381,5.858736038208008,0.17055307813464649,0.17207212221569793,-0.0015190440810514405,1.0089065767540835
llama32_3b,0,128,7.79390811920166,7.006903648376465,7.017572402954102,0.10097687306401158,0.09960801492320898,0.0013688581408026063,0.9864438450185038
llama32_3b,1,32,7.716503143310547,6.021541595458984,6.009485244750977,0.21965409932100247,0.2212165104914637,-0.001562411170461242,1.0071130526372647
llama32_3b,1,64,8.74138069152832,7.406543731689453,7.436450958251953,0.15270321782604893,0.14928187883877836,0.003421338987270567,0.9775948468147674
llama32_3b,1,128,9.71578311920166,8.801385879516602,8.811279296875,0.09411462035189955,0.09309633729257047,0.0010182830593290781,0.989180394549522
llama32_3b,2,32,7.347033500671387,5.762214660644531,5.75925874710083,0.21570867206227268,0.2161109995517868,-0.00040232748951413155,1.001865142859894
llama32_3b,2,64,8.169116973876953,7.08991003036499,7.09615421295166,0.13210815158639916,0.13134378713836425,0.0007643644480349043,0.9942141008041051
llama32_3b,2,128,9.105335235595703,8.335591316223145,8.380057334899902,0.08453768032212372,0.0796541677960911,0.004883512526032627,0.9422327119998513
llama32_3b,3,32,7.374949932098389,5.671936988830566,5.6685709953308105,0.2309185769323949,0.2313749859291673,-0.0004564089967724061,1.0019764931987523
llama32_3b,3,64,8.238485336303711,6.970501899719238,6.983399391174316,0.1539097764727427,0.15234425915632,0.0015655173164227099,0.9898283439018576
llama32_3b,3,128,9.237858772277832,8.214801788330078,8.205541610717773,0.11074611651542848,0.11174853253418099,-0.0010024160187525055,1.0090514778332011
llama32_3b,4,32,7.433088779449463,5.816150665283203,5.815208911895752,0.21753246357512487,0.21765916102424657,-0.00012669744912169323,1.0005824300752146
llama32_3b,4,64,8.312463760375977,7.159366607666016,7.173828125,0.1387190592284526,0.13697932023519288,0.0017397389932597151,0.9874585438876529
llama32_3b,4,128,9.221471786499023,8.38973617553711,8.362403869628906,0.09019553821979284,0.09315952342096429,-0.002963985201171443,1.0328617718755517
llama32_3b,5,32,7.525584697723389,5.9338908195495605,5.930057525634766,0.2115043471180839,0.21201371536902586,-0.0005093682509419439,1.002408311024726
llama32_3b,5,64,8.390993118286133,7.280891418457031,7.284114837646484,0.1322968192418016,0.13191266695565224,0.00038415228614935293,0.9970962847908895
llama32_3b,5,128,9.398602485656738,8.42452621459961,8.511293411254883,0.10364054363866036,0.09440861827659836,0.009231925362062007,0.9109236111859
llama32_3b,6,32,7.791530609130859,6.292236328125,6.328657627105713,0.19242615555521828,0.18775168261686764,0.004674472938350632,0.9757077049901917
llama32_3b,6,64,8.780261039733887,7.616851806640625,7.640539646148682,0.13250280690157276,0.12980495550502993,0.0026978513965428275,0.9796392887092054
llama32_3b,6,128,9.699029922485352,8.953115463256836,8.930899620056152,0.07690608908209007,0.07919661126608503,-0.0022905221839949613,1.0297833658080058
llama32_3b,7,32,8.264386177062988,6.5712080001831055,6.571285724639893,0.2048764591348764,0.20486705438839894,9.404746477453818e-06,0.9999540955241165
llama32_3b,7,64,9.264086723327637,8.13235092163086,8.129895210266113,0.12216377453019575,0.12242885315457461,-0.0002650786243788561,1.0021698627551274
llama32_3b,7,128,10.192386627197266,9.506121635437012,9.437638282775879,0.0673311381192145,0.0740502074761787,-0.006719069356964202,1.0997914121853638
llama32_3b,8,32,8.145425796508789,6.501940727233887,6.496547698974609,0.20176785232999317,0.20242994518971683,-0.0006620928597236564,1.0032814586272187
llama32_3b,8,64,9.085549354553223,8.036571502685547,8.01983642578125,0.11545563299834814,0.1172975774148308,-0.001841944416482652,1.0159536989980298
llama32_3b,8,128,10.124176025390625,9.370174407958984,9.415616989135742,0.07447535636882101,0.0699868349264052,0.004488521442415808,0.9397314539834156
llama32_3b,9,32,7.867116451263428,6.461601257324219,6.465132236480713,0.17865697077783677,0.17820814315740321,0.0004488276204335506,0.9974877687756629
llama32_3b,9,64,8.851057052612305,7.945420265197754,7.960995674133301,0.10231961923093251,0.10055989620090754,0.0017597230300249733,0.9828017046657168
llama32_3b,9,128,9.807491302490234,9.196441650390625,9.21316909790039,0.06230437868901876,0.060598800066122775,0.001705578622895984,0.9726250600875249
llama32_3b,10,32,7.661538600921631,6.3164777755737305,6.320338249206543,0.17556014469288175,0.17505626762146062,0.0005038770714211327,0.9971298891767115
llama32_3b,10,64,8.580781936645508,7.723696708679199,7.712904930114746,0.09988428027823414,0.10114194871033415,-0.001257668432100012,1.0125912548861211
llama32_3b,10,128,9.59200668334961,9.023927688598633,9.010058403015137,0.059224207562019605,0.060670128737989104,-0.0014459211759694987,1.0244143608752438
llama32_3b,11,32,8.258484840393066,6.635219097137451,6.634055137634277,0.19655733159623445,0.19669827264361409,-0.00014094104737963353,1.0007170480298804
llama32_3b,11,64,9.19260025024414,8.198495864868164,8.201108932495117,0.10814180518179008,0.10785754745755327,0.0002842577242368055,0.997371435368968
llama32_3b,11,128,10.189699172973633,9.639148712158203,9.669166564941406,0.05403009956129686,0.05108419779583355,0.0029459017654633116,0.9454766548760252
llama32_3b,12,32,7.911473274230957,6.511847496032715,6.5114898681640625,0.1769108900054136,0.17695609370594523,-4.520370053162637e-05,1.0002555167775722
llama32_3b,12,64,8.937055587768555,7.858262538909912,7.876575469970703,0.12071011959857358,0.11866101842862511,0.0020491011699484696,0.9830246115506899
llama32_3b,12,128,9.826103210449219,9.16893196105957,9.155607223510742,0.06688014926311818,0.06823620438114893,-0.0013560551180307467,1.0202758984986082
llama32_3b,13,32,8.295989990234375,6.681215286254883,6.678362846374512,0.19464520881538241,0.19498904238843745,-0.0003438335730550357,1.0017664630696415
llama32_3b,13,64,9.284481048583984,8.13144302368164,8.136356353759766,0.12418981942757032,0.12366062129011768,0.0005291981374526411,0.9957387961437428
llama32_3b,13,128,10.363543510437012,9.667593955993652,9.653302192687988,0.06715362884736058,0.06853267099556702,-0.001379042148206444,1.0205356310876512
llama32_3b,14,32,8.090779304504395,6.377938270568848,6.371941089630127,0.21170284956134616,0.21244408606193665,-0.000741236500590492,1.0035013062040796
llama32_3b,14,64,9.060842514038086,7.739764213562012,7.726738929748535,0.14580082353592502,0.14723835915066463,-0.0014375356147396101,1.009859585013835
llama32_3b,14,128,9.977372169494629,8.968679428100586,8.980195999145508,0.10109803706411555,0.09994376809937418,0.00115426896474137,0.9885826767931276
llama32_3b,15,32,7.7535505294799805,6.396636009216309,6.393535614013672,0.17500556875260065,0.17540543655391935,-0.00039986780131870403,1.0022848861563027
llama32_3b,15,64,8.692119598388672,7.785884857177734,7.804905891418457,0.10425935020255975,0.10207104227312803,0.0021883079294317126,0.979010919162836
llama32_3b,15,128,9.79018497467041,8.99960708618164,9.010473251342773,0.08075208900896018,0.07964218503990891,0.0011099039690512652,0.9862554147803148
llama32_3b,16,32,8.005404472351074,6.397415637969971,6.410272598266602,0.2008629095425156,0.19925687447695006,0.0016060350655655309,0.9920043224046519
llama32_3b,16,64,9.01314926147461,7.863222122192383,7.897200107574463,0.1275832792648206,0.12381345537792303,0.0037698238868975747,0.9704520536811672
llama32_3b,16,128,9.869710922241211,9.152078628540039,9.075258255004883,0.07271056866356651,0.08049401583242359,-0.00778344716885708,1.1070469852171185
llama32_3b,17,32,7.582863807678223,6.060579299926758,6.060181617736816,0.20075324394063845,0.20080568879525112,-5.244485461267101e-05,1.0002612403843805
llama32_3b,17,64,8.519804954528809,7.448877334594727,7.459707736968994,0.125698607614816,0.12442740452600462,0.0012712030888113734,0.9898868960211017
llama32_3b,17,128,9.509982109069824,8.759092330932617,8.785017967224121,0.07895806422401902,0.07623191437492749,0.0027261498490915304,0.9654734462415779
llama32_3b,18,32,7.772652626037598,6.233556747436523,6.228948593139648,0.19801423692154455,0.19860710457157152,-0.0005928676500269736,1.0029940657765022
llama32_3b,18,64,8.731433868408203,7.6689839363098145,7.667018890380859,0.12168103751464136,0.12190609172206826,-0.0002250542074268974,1.0018495421474345
llama32_3b,18,128,9.72976016998291,8.928634643554688,8.952878952026367,0.08233764372730985,0.07984587537453224,0.002491768352777618,0.9697371913989914
llama32_3b,19,32,7.962360382080078,6.2870049476623535,6.296397686004639,0.21040939545869394,0.20922975300450106,0.0011796424541928863,0.9943935846989091
llama32_3b,19,64,8.959458351135254,7.891330718994141,7.936007499694824,0.11921788017528658,0.11423133088293759,0.004986549292348985,0.9581728069227767
llama32_3b,19,128,9.905052185058594,9.241576194763184,9.246317863464355,0.066983593614604,0.06650488147734494,0.0004787121372590575,0.9928532927030853
llama32_3b,20,32,7.769624710083008,6.13409423828125,6.140856742858887,0.21050314948664803,0.2096327722380712,0.0008703772485768313,0.9958652530819638
llama32_3b,20,64,8.668720245361328,7.619419097900391,7.632037162780762,0.12104452765359723,0.11958894199351978,0.0014555856600774464,0.9879747916878736
llama32_3b,20,128,9.756531715393066,8.844499588012695,8.915498733520508,0.0934791331576815,0.08620204457959633,0.007277088578085164,0.9221528021038652
llama32_3b,21,32,7.585346221923828,6.041882514953613,6.044846057891846,0.2034796648449825,0.20308897167798284,0.0003906931669996616,0.9980799399915599
llama32_3b,21,64,8.449519157409668,7.560770511627197,7.590367317199707,0.10518333993042635,0.1016805600655443,0.0035027798648820524,0.966698339611587
llama32_3b,21,128,9.442255973815918,8.926971435546875,8.901449203491211,0.05457218483569663,0.057275165153794244,-0.0027029803180976114,1.049530366545441
llama32_3b,22,32,7.490407466888428,5.795081615447998,5.789495468139648,0.2263329276724489,0.22707870116114673,-0.0007457734886978373,1.003295028683485
llama32_3b,22,64,8.428471565246582,7.14656925201416,7.126964092254639,0.15209190697375494,0.15441797043707137,-0.00232606346331643,1.0152938016860937
llama32_3b,22,128,9.313283920288086,8.482452392578125,8.424003601074219,0.08920929876303621,0.09548515076155428,-0.006275851998518073,1.070349751489342
llama32_3b,23,32,7.838180065155029,6.215052127838135,6.217611312866211,0.20707969500886825,0.20675319255462468,0.0003265024542435657,0.9984233004871406
llama32_3b,23,64,8.694053649902344,7.742425441741943,7.75367546081543,0.10945736551454219,0.10816337544655903,0.0012939900679831556,0.9881781361911982
llama32_3b,23,128,9.713644027709961,9.092677116394043,9.078965187072754,0.06392728717919818,0.06533890256083799,-0.001411615381639808,1.0220815780541856
