model,layer,b,position,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,0,32,0,bf16,7.146762847900391,0.0,-0.12111886822994569,-0.005982492378844226,65536
llama32_3b,0,32,0,identity,7.146762847900391,0.00859624580046397,-0.12111886822994569,0.0026137534216197442,65536
llama32_3b,0,32,0,hadamard,6.374670028686523,0.005982492378844226,0.0,0.0,65536
llama32_3b,0,32,0,nar,4.824120998382568,0.0033394138198406245,0.24323596724636112,-0.0026430785590036013,65536
llama32_3b,0,32,512,bf16,7.1151628494262695,0.0,-0.13652069810332318,-0.005693699242590151,65536
llama32_3b,0,32,512,identity,7.1151628494262695,0.008527835319651445,-0.13652069810332318,0.002834136077061294,65536
llama32_3b,0,32,512,hadamard,6.2604780197143555,0.005693699242590151,0.0,0.0,65536
llama32_3b,0,32,512,nar,4.757284641265869,0.003315652743137924,0.2401084028591593,-0.002378046499452227,65536
llama32_3b,0,32,1024,bf16,7.18111515045166,0.0,-0.1529556954781375,-0.005648644357652895,65536
llama32_3b,0,32,1024,identity,7.18111515045166,0.008687476916411203,-0.1529556954781375,0.0030388325587583087,65536
llama32_3b,0,32,1024,hadamard,6.228439807891846,0.005648644357652895,0.0,0.0,65536
llama32_3b,0,32,1024,nar,4.697763442993164,0.0032026646573311557,0.24575598578623387,-0.002445979700321739,65536
llama32_3b,0,32,2048,bf16,7.135103702545166,0.0,-0.12825837886624464,-0.005855001674715086,65536
llama32_3b,0,32,2048,identity,7.135103702545166,0.008609250875521108,-0.12825837886624464,0.0027542492008060214,65536
llama32_3b,0,32,2048,hadamard,6.323997974395752,0.005855001674715086,0.0,0.0,65536
llama32_3b,0,32,2048,nar,4.82093620300293,0.0033663929071151427,0.23767587805662405,-0.0024886087675999435,65536
llama32_3b,0,64,0,bf16,9.485118865966797,0.0,-0.34409052473876983,-0.007543762164374398,65536
llama32_3b,0,64,0,identity,9.485118865966797,0.014652903333588523,-0.34409052473876983,0.007109141169214126,65536
llama32_3b,0,64,0,hadamard,7.0569047927856445,0.007543762164374398,0.0,0.0,65536
llama32_3b,0,64,0,nar,6.0137553215026855,0.005320984849794472,0.14781968893067435,-0.002222777314579926,65536
llama32_3b,0,64,512,bf16,9.366426467895508,0.0,-0.314265657120116,-0.007666225900450184,65536
llama32_3b,0,64,512,identity,9.366426467895508,0.014500229130738491,-0.314265657120116,0.0068340032302883075,65536
llama32_3b,0,64,512,hadamard,7.126737594604492,0.007666225900450184,0.0,0.0,65536
llama32_3b,0,64,512,nar,5.8666486740112305,0.005065116973654745,0.17681146581673632,-0.0026011089267954386,65536
llama32_3b,0,64,1024,bf16,9.452279090881348,0.0,-0.28785681778388766,-0.008124795146011759,65536
llama32_3b,0,64,1024,identity,9.452279090881348,0.014843027708904307,-0.28785681778388766,0.006718232562892548,65536
llama32_3b,0,64,1024,hadamard,7.339541912078857,0.008124795146011759,0.0,0.0,65536
llama32_3b,0,64,1024,nar,5.865901470184326,0.005037197934262329,0.20078098327489982,-0.0030875972117494297,65536
llama32_3b,0,64,2048,bf16,9.39719009399414,0.0,-0.33007431200350845,-0.0073820387424435455,65536
llama32_3b,0,64,2048,identity,9.39719009399414,0.014432158512926176,-0.33007431200350845,0.0070501197704826305,65536
llama32_3b,0,64,2048,hadamard,7.06516170501709,0.0073820387424435455,0.0,0.0,65536
llama32_3b,0,64,2048,nar,6.054374694824219,0.005344436089543019,0.14306636597929448,-0.0020376026529005265,65536
llama32_3b,1,32,0,bf16,8.706348419189453,0.0,-0.12197924651270599,-0.005817236904645819,65536
llama32_3b,1,32,0,identity,8.706348419189453,0.007857945605287919,-0.12197924651270599,0.0020407087006420995,65536
llama32_3b,1,32,0,hadamard,7.759812355041504,0.005817236904645819,0.0,0.0,65536
llama32_3b,1,32,0,nar,6.023293495178223,0.003596731585092935,0.22378361491371312,-0.002220505319552884,65536
llama32_3b,1,32,512,bf16,8.729942321777344,0.0,-0.13930697737169553,-0.0056620868534218915,65536
