model,site,layer,duquant_range,hadamard_range,prismquant_range,duquant_over_hadamard,null_space_capture,inside_paired_bracket,construction_seed,permutation_sha256,sampled_bf16_sha256,hadamard_replay_range,hadamard_replay_nmse,frozen_hadamard_source_csv_line
llama32_3b,q_input,0,0.5491500496864319,0.662574052810669,0.3634862899780273,0.8288130924489311,0.2993212634082025,True,20260902,d4314e24a3a0495712d16da36519ce6bf592592e57a4b3665184a818ae0dcaae,96820b2555f14810075f22cc30267e4460878fb028b3ce5c5f2b0992d0255326,0.662574052810669,0.009868488493289,4
llama32_3b,q_input,1,1.0288493633270264,1.1484920978546145,0.6660040020942688,0.8958262449074913,0.1798577877284405,True,20261902,77166675543de5834f7baa937b33612550f67f91f7a195dbf7dedbc0274b03d4,69237fdc8b00b73582ae804757057d97c03eb3b66a2b01e778979a4fe9993b2d,1.1484919786453247,0.0098925234005707,8
llama32_3b,q_input,2,1.922948956489563,2.1016387939453125,1.5422385931015017,0.9149759521138724,0.1531310424854662,True,20262902,9d89237fe06fa31286e1c22d9eca853abb43a62bd954eb5df94628c8ed708ff8,c53b43e6e14a2039a7a373d1ad967619a12a6ee6008a6ffd1b96887003729166,2.1016385555267334,0.0099421513673211,12
llama32_3b,q_input,3,1.7029314041137695,1.7879337072372437,1.395761251449585,0.9524577993135878,0.0898558469637203,True,20263902,061ce1f11dbb27586a11ae6f01e26aab8f9d4220c89e69f438105dec28900895,0b4f1e4d61041b74c500f02d2e328b6994d52385d970c591c1d81228065e64a5,1.7879337072372437,0.0099671597368512,16
llama32_3b,q_input,4,1.630505084991455,1.7455101013183594,1.3139222860336304,0.934113806479812,0.1257908741233483,True,20264902,11607db4b4f33713c4f43d080db3db9ff14c5c52bdc6dd18ed258c825e4f2650,f5dbbb0f57c94247506721955862b2bdc16379beb04c2f573eddaddf37d503e1,1.7455101013183594,0.0099278819493852,20
llama32_3b,q_input,5,1.9310420751571653,2.040992259979248,1.5971286296844482,0.9461290535108642,0.1053575738992171,True,20265902,8d0f1120465ef7f217b198abcbf5363dda2632c540a775cf22b7ff5dde42c267,c1b5f7773a621f3ecd0574f3f16e4096cbb170ebb4e8103518ba121fc5ba6783,2.040992021560669,0.0099089706470407,24
llama32_3b,q_input,6,1.799880862236023,1.9328553676605225,1.502599596977234,0.931203075176055,0.1290738612563228,True,20266902,9c3d0d5f45a042029f791e82182dd61eff0cd00242127c4674b9b255fde13d46,67a379dcbfe7ee1ef79e6373ddf106cf9fcd6e6ed5651ac38f81b0f2e7abfc6e,1.932855486869812,0.0099531706002648,28
llama32_3b,down_input,0,0.06216072291135788,0.0744665786623954,0.0475555919110775,0.834746594081785,0.6413479531259171,True,20360902,63db956e077950b13319874f82fcd37c4abc742f280efe532d7f1d4faf68d290,aa37eeeb80d2a873833bb5e827483884b56816e470e6d269cf8df43133f7dc5b,0.07446657866239548,0.004573240589456158,116
llama32_3b,down_input,1,0.0735238790512085,0.2666968405246734,0.0612714290618896,0.27568335232830193,0.9994934792274162,True,20361902,7acae8a07c37856ddc38848f4576b04045f671567508cc109e9d97976b3ff042,7d6f9bb6957fa350359b95077cce51a022409586baba7df3d20904ced96415a1,0.26669687032699585,0.0007495666460075334,120
llama32_3b,down_input,2,0.10658156871795654,0.1158598884940147,0.0882665067911148,0.9199177567261557,0.014830832606018146,True,20362902,f8bb5253e05185c7b188515eed9675e44574da6cc72e5fcb0ba8fb0d506a7806,be5f240f60d887b76e6fb1e6bd37486ebc506c94f21b15a4a23699204bb9805c,0.11585989594459534,0.009371917509225261,124
