model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual
llama32_3b,q_input,0,1,11.395369368243323,0.22213889033734108,0.22213889033734108,0.00023210360924560367
llama32_3b,q_input,0,2,3.4156645717703302,0.06658423375482014,0.2887231240921612,0.0024505703821752762
llama32_3b,q_input,0,3,1.9717405509067414,0.03843668808421275,0.327159812176374,0.008068228655480623
llama32_3b,q_input,0,4,1.5956835891421104,0.03110591419786309,0.35826572637423715,0.00940913927506446
llama32_3b,q_input,0,5,1.1999505165096016,0.02339157841956409,0.3816573047938011,0.02069807555616038
llama32_3b,q_input,0,6,0.9986208574155021,0.01946690115655293,0.40112420595035403,0.026660907486778608
llama32_3b,q_input,0,7,0.9036703175702022,0.017615955664873978,0.41874016161522803,0.030847530445037474
llama32_3b,q_input,0,8,0.8437478920944308,0.01644784073403151,0.43518800234925964,0.03619959385081848
llama32_3b,q_input,0,9,0.7724511903635151,0.015057998097481724,0.4502460004467413,0.028838018884837058
llama32_3b,q_input,0,10,0.7034562145784841,0.01371302481364501,0.46395902526038635,0.05177694554139724
llama32_3b,q_input,0,11,0.6623033379441129,0.012910799448732775,0.47686982470911904,0.060944824003941744
llama32_3b,q_input,0,12,0.6092802938309553,0.011877179580786323,0.4887470042899054,0.052658400259965384
llama32_3b,q_input,0,13,0.5856556269694125,0.011416645383813515,0.500163649673719,0.07143919321462533
llama32_3b,q_input,0,14,0.5179981290097077,0.01009774460630527,0.5102613942800241,0.09869350375640594
llama32_3b,q_input,0,15,0.4945104410566434,0.009639880646842607,0.5199012749268668,0.09706743121663244
llama32_3b,q_input,0,16,0.4520383412391626,0.00881193862768835,0.5287132135545551,0.07233047103088688
llama32_3b,q_input,0,17,0.428549258080774,0.008354047470391852,0.5370672610249471,0.09201972122149665
llama32_3b,q_input,0,18,0.4156125213818076,0.008101861495367353,0.5451691225203144,0.09364195775728171
llama32_3b,q_input,0,19,0.3856373955034274,0.007517532810164588,0.5526866553304789,0.104429833876011
llama32_3b,q_input,0,20,0.3598012557374782,0.007013888633943107,0.559700543964422,0.12979994352293261
llama32_3b,q_input,0,21,0.33967064322388113,0.006621466784236027,0.5663220107486582,0.14106233441886373
llama32_3b,q_input,0,22,0.31286816585024907,0.006098985029615364,0.5724209957782734,0.18095230974982446
llama32_3b,q_input,0,23,0.28934130751307896,0.005640357491072623,0.5780613532693462,0.19844246119070044
llama32_3b,q_input,0,24,0.27307332329507666,0.005323232890242813,0.5833845861595889,0.16206419147352596
llama32_3b,q_input,1,1,47.49027166769759,0.3060136063409284,0.3060136063409284,0.0001955635200320909
llama32_3b,q_input,1,2,5.870065855952923,0.03782501044862924,0.3438386167895576,0.012452387322127813
llama32_3b,q_input,1,3,4.519852238466861,0.029124623529204977,0.3729632403187626,0.01156980134590673
