model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,q_input,0,3072,128,bf16,1.2217453718185425,0.0,-0.843937846095608,-0.009868490402573144,8192
llama32_3b,q_input,0,3072,128,identity,1.2217453718185425,0.03884422316931915,-0.843937846095608,0.02897573276674601,8192
llama32_3b,q_input,0,3072,128,hadamard_full,0.662574052810669,0.009868490402573144,0.0,0.0,8192
llama32_3b,q_input,0,3072,128,nar_kmax,0.36348628997802734,0.003675254506106439,0.45140277009625995,-0.006193235896466705,8192
llama32_3b,q_input,1,3072,128,bf16,2.1740829944610596,0.0,-0.8929890754339985,-0.009892526514336275,8192
llama32_3b,q_input,1,3072,128,identity,2.1740829944610596,0.038545060671098676,-0.8929890754339985,0.028652534156762402,8192
llama32_3b,q_input,1,3072,128,hadamard_full,1.1484920978546143,0.009892526514336275,0.0,0.0,8192
llama32_3b,q_input,1,3072,128,nar_kmax,0.6660040020942688,0.0035466521166630798,0.4201057165840621,-0.006345874397673196,8192
llama32_3b,q_input,2,3072,128,bf16,3.631944179534912,0.0,-0.7281486190673259,-0.009942154420386191,8192
llama32_3b,q_input,2,3072,128,identity,3.631944179534912,0.03227259072058572,-0.7281486190673259,0.022330436300199527,8192
llama32_3b,q_input,2,3072,128,hadamard_full,2.1016387939453125,0.009942154420386191,0.0,0.0,8192
llama32_3b,q_input,2,3072,128,nar_kmax,1.5422385931015015,0.0055100901856075,0.26617333218981654,-0.004432064234778691,8192
llama32_3b,q_input,3,3072,128,bf16,2.545168876647949,0.0,-0.4235253054101222,-0.009967161859278446,8192
llama32_3b,q_input,3,3072,128,identity,2.545168876647949,0.021560592754931843,-0.4235253054101222,0.011593430895653397,8192
llama32_3b,q_input,3,3072,128,hadamard_full,1.7879337072372437,0.009967161859278446,0.0,0.0,8192
llama32_3b,q_input,3,3072,128,nar_kmax,1.395761251449585,0.006280662815658492,0.2193439578884905,-0.0036864990436199533,8192
llama32_3b,q_input,4,3072,128,bf16,2.745443344116211,0.0,-0.572860186854614,-0.009927883120840933,8192
llama32_3b,q_input,4,3072,128,identity,2.745443344116211,0.026732327124760695,-0.572860186854614,0.016804444003919762,8192
llama32_3b,q_input,4,3072,128,hadamard_full,1.7455101013183594,0.009927883120840933,0.0,0.0,8192
llama32_3b,q_input,4,3072,128,nar_kmax,1.3139222860336304,0.0057512261124873865,0.24725598262579904,-0.0041766570083535464,8192
llama32_3b,q_input,5,3072,128,bf16,3.2557363510131836,0.0,-0.5951732962702595,-0.009908973614777564,8192
llama32_3b,q_input,5,3072,128,identity,3.2557363510131836,0.027195339415394777,-0.5951732962702595,0.017286365800617213,8192
llama32_3b,q_input,5,3072,128,hadamard_full,2.040992259979248,0.009908973614777564,0.0,0.0,8192
llama32_3b,q_input,5,3072,128,nar_kmax,1.5971286296844482,0.006168366858049553,0.21747443094140534,-0.0037406067567280106,8192
llama32_3b,q_input,6,3072,128,bf16,2.9247374534606934,0.0,-0.5131693257528726,-0.009953172817799087,8192
