model,site,layer,n,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_k0,range_reduction_vs_hadamard,range_reduction_vs_identity,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,normalized_range_vs_k0,evaluation_tokens,anchor_mapping_max_abs_error
llama32_3b,q_input,0,3072,128,0,24,0.569316029548645,0.007523308227634324,0.0,0.14075109471374436,0.5340141712988608,-0.00234518217493882,0.0,1.0,1.0,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,1,24,0.5186965465545654,0.006259577060638099,0.08891280126823554,0.21714932186941016,0.5754462766799792,-0.0036089133419350446,0.22213889033734108,0.8819643471607335,0.9110871987317645,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,2,24,0.5016979575157166,0.005849917563391877,0.11877071525025604,0.24280470177259245,0.5893596414701784,-0.004018572839181267,0.2887231240921612,0.8433723234182153,0.8812292847497439,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,3,24,0.4867440164089203,0.005581520910015974,0.1450372180899034,0.26537416558325777,0.6015994595629922,-0.00428696949255717,0.327159812176374,0.8202683632955899,0.8549627819100966,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,4,24,0.4759056270122528,0.00536409480076999,0.16407478041756207,0.28173217017261737,0.6104706938206959,-0.004504395601803154,0.35826572637423715,0.8010831877063473,0.8359252195824379,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,5,24,0.4679687023162842,0.0052187701813257124,0.17801593837557889,0.2937110948864661,0.6169670758648158,-0.004649720221247431,0.3816573047938011,0.7863476935848409,0.8219840616244212,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,6,24,0.4580065608024597,0.005052523119095904,0.19551437684695386,0.3087466089872139,0.6251211002168754,-0.00481596728347724,0.40112420595035403,0.7738706571835153,0.8044856231530462,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,7,24,0.4503846764564514,0.004930673371612645,0.2089021684256504,0.3202500542454095,0.6313596213701524,-0.004937817030960499,0.41874016161522803,0.7624039863384583,0.7910978315743495,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,8,24,0.44341421127319336,0.004810233201572813,0.2211457463708986,0.33077033519165094,0.6370649551852359,-0.005058257201000331,0.43518800234925964,0.7515397512112985,0.7788542536291014,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,9,24,0.43859946727752686,0.004706597951518909,0.22960281370392915,0.3380370610394896,0.6410058287147995,-0.005161892451054235,0.4502460004467413,0.741453976692592,0.7703971862960709,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,10,24,0.430886447429657,0.0045856477377968965,0.24315068421441657,0.34967805394458584,0.6473189443817646,-0.005282842664776247,0.46395902526038635,0.7321481917888029,0.7568493157855835,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,11,24,0.42470622062683105,0.004490108297445227,0.2540062134496036,0.35900565555622327,0.6523774671684127,-0.005378382105127917,0.47686982470911904,0.7232773847500563,0.7459937865503964,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,12,24,0.41714033484458923,0.004404963392018743,0.2672956439057249,0.3704245841275233,0.6585701534324746,-0.005463527010554401,0.4887470042899054,0.7150195771516292,0.7327043560942751,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,13,24,0.4081009328365326,0.0043049748252764804,0.28317329627961485,0.38406743954830397,0.6659689144317503,-0.005563515577296663,0.500163649673719,0.7069910539223824,0.7168267037203851,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,14,24,0.40282338857650757,0.0042307090445142335,0.2924432693457326,0.3920326537573987,0.6702885905130024,-0.00563778135805891,0.5102613942800241,0.6998132648928397,0.7075567306542674,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,15,24,0.3982122838497162,0.004170218038844011,0.30054264559278304,0.3989920339311783,0.6740627850654466,-0.005698272363729133,0.5199012749268668,0.692891568048806,0.6994573544072169,8192,2.384185791015625e-07
llama32_3b,q_input,0,3072,128,16,24,0.39327186346054077,0.00409202942437757,0.30922046271500986,0.40644843879372605,0.6781065248684643,-0.005776460978195574,0.5287132135545551,0.6865033040309747,0.6907795372849901,8192,2.384185791015625e-07
