model,layer,b,bits,method,axis,mean_group_range,relative_quantization_error_nmse,range_sum,group_count,error_sum,energy_sum,sequences,sequence_length
llama32_3b,0,32,4,bf16,channels,7.179779178928584,0.0,60228353.05859375,8388608,0.0,707119208.4929094,128,2048
llama32_3b,0,32,4,identity_per_token,channels,7.179779178928584,0.008524574434950857,60228353.05859375,8388608,6027890.32718134,707119208.4929094,128,2048
llama32_3b,0,32,4,hadamard_per_token,channels,6.305401806934427,0.005752276110167358,52893544.04086459,8388608,4067544.8076731334,707119187.217665,128,2048
llama32_3b,0,32,4,nar_per_token,channels,4.744202123571412,0.003213945596196892,39797251.88740814,8388608,2272642.6703224583,707119209.7998513,128,2048
llama32_3b,0,32,4,kivi_per_channel,tokens,3.028298980277029,0.001695650351803122,25403213.052343726,8388608,1199026.934647747,707119208.4929094,128,2048
llama32_3b,0,64,4,bf16,channels,9.452425742521882,0.0,39646347.1015625,4194304,0.0,707119208.4929094,128,2048
llama32_3b,0,64,4,identity_per_token,channels,9.452425742521882,0.014463935883593126,39646347.1015625,4194304,10227726.893698562,707119208.4929094,128,2048
llama32_3b,0,64,4,hadamard_per_token,channels,7.12162808611447,0.0075271420543384085,29870273.168102264,4194304,5322586.57150573,707119187.213686,128,2048
llama32_3b,0,64,4,nar_per_token,channels,5.915157435667055,0.005059887320642159,24809968.49304807,4194304,3577943.5249131112,707119210.0102,128,2048
llama32_3b,0,64,4,kivi_per_channel,tokens,3.4764008231333605,0.0022324559881202067,14581081.878071547,4194304,1578612.5113148165,707119208.4929094,128,2048
llama32_3b,1,32,4,bf16,channels,8.821088471915573,0.0,73996653.32421875,8388608,0.0,1014580431.7981492,128,2048
llama32_3b,1,32,4,identity_per_token,channels,8.821088471915573,0.00789837476691452,73996653.32421875,8388608,8013536.48151974,1014580431.7981492,128,2048
llama32_3b,1,32,4,hadamard_per_token,channels,7.807900730294477,0.005761968327459206,65497418.529354095,8388608,5845980.140207669,1014580401.6915708,128,2048
llama32_3b,1,32,4,nar_per_token,channels,6.086087491975917,0.0035712295119238596,51053802.22388911,8388608,3623299.5779555384,1014580431.1534232,128,2048
llama32_3b,1,32,4,kivi_per_channel,tokens,3.6174148008011002,0.0017290376741273827,30345074.737318516,8388608,1754247.7900114276,1014580431.7981492,128,2048
llama32_3b,1,64,4,bf16,channels,11.256542013958097,0.0,47213359.1953125,4194304,0.0,1014580431.7981492,128,2048
llama32_3b,1,64,4,identity_per_token,channels,11.256542013958097,0.012574271317917402,47213359.1953125,4194304,12757609.62327972,1014580431.7981492,128,2048
llama32_3b,1,64,4,hadamard_per_token,channels,8.822052382260836,0.007529709440853857,37002369.59512615,4194304,7639495.630778513,1014580401.9115254,128,2048
llama32_3b,1,64,4,nar_per_token,channels,7.4795740887333295,0.005488661472774825,31371607.51867056,4194304,5568688.521079366,1014580430.7118404,128,2048
llama32_3b,1,64,4,kivi_per_channel,tokens,4.143958393159551,0.0022352299986494292,17381021.264262676,4194304,2267820.6171979145,1014580431.7981492,128,2048
llama32_3b,2,32,4,bf16,channels,8.490919304313138,0.0,71226993.60351562,8388608,0.0,899236172.033616,128,2048
llama32_3b,2,32,4,identity_per_token,channels,8.490919304313138,0.009237855571518322,71226993.60351562,8388608,8307013.881931547,899236172.033616,128,2048
llama32_3b,2,32,4,hadamard_per_token,channels,7.4429870023409705,0.0059331441876989575,62436300.311733484,8388608,5335297.7091377545,899236145.3475708,128,2048
llama32_3b,2,32,4,nar_per_token,channels,5.834808086927339,0.0037123355569335433,48945917.79646337,8388608,3338266.414598984,899236171.7851963,128,2048
llama32_3b,2,32,4,kivi_per_channel,tokens,4.173098840473472,0.002141895433848415,35006490.31798649,8388608,1926069.8508301293,899236172.0336157,128,2048
llama32_3b,2,64,4,bf16,channels,11.618115136399865,0.0,48729906.7890625,4194304,0.0,899236172.033616,128,2048
llama32_3b,2,64,4,identity_per_token,channels,11.618115136399865,0.015927604482919883,48729906.7890625,4194304,14322678.084886335,899236172.033616,128,2048
llama32_3b,2,64,4,hadamard_per_token,channels,8.278132129988933,0.00754486927392884,34721002.7053411,4194304,6784619.1630710475,899236145.3518058,128,2048
llama32_3b,2,64,4,nar_per_token,channels,7.183937957104888,0.005814447294572187,30131619.70923686,4194304,5228561.327577052,899236172.0189531,128,2048
llama32_3b,2,64,4,kivi_per_channel,tokens,4.835789250450489,0.002914604176156583,20282770.196321487,4194304,2620917.502360236,899236172.0336157,128,2048
llama32_3b,3,32,4,bf16,channels,9.11783926282078,0.0,76485979.3828125,8388608,0.0,954919158.7527772,128,2048
llama32_3b,3,32,4,identity_per_token,channels,9.11783926282078,0.010280188192701392,76485979.3828125,8388608,9816748.660794647,954919158.7527772,128,2048
llama32_3b,3,32,4,hadamard_per_token,channels,7.4468692766124605,0.005595657721578883,62468867.1887455,8388608,5343400.596403775,954919128.7733141,128,2048
llama32_3b,3,32,4,nar_per_token,channels,5.738383846989734,0.0034249895356898807,48137052.64592886,8388608,3270588.124719281,954919158.3326987,128,2048
llama32_3b,3,32,4,kivi_per_channel,tokens,3.907356736447923,0.0017450834674995698,32777283.97822094,8388608,1666413.6367380687,954919158.7527772,128,2048
llama32_3b,3,64,4,bf16,channels,12.373603938147426,0.0,51898656.4921875,4194304,0.0,954919158.7527772,128,2048
llama32_3b,3,64,4,identity_per_token,channels,12.373603938147426,0.018213502147021738,51898656.4921875,4194304,17392422.1481759,954919158.7527772,128,2048
llama32_3b,3,64,4,hadamard_per_token,channels,8.32468268088104,0.00718833380380564,34916249.86715007,4194304,6864277.453796408,954919128.8476795,128,2048
llama32_3b,3,64,4,nar_per_token,channels,7.055434961711285,0.005329655172126764,29592639.08164549,4194304,5089389.840520021,954919160.0868865,128,2048
llama32_3b,3,64,4,kivi_per_channel,tokens,4.547986885226351,0.002387536227903586,19075639.584652424,4194304,2279904.0862414716,954919158.7527772,128,2048
llama32_3b,4,32,4,bf16,channels,9.067161601386033,0.0,76060864.34667969,8388608,0.0,949024649.7957898,128,2048
llama32_3b,4,32,4,identity_per_token,channels,9.067161601386033,0.009685652975505419,76060864.34667969,8388608,9191923.42312258,949024649.7957898,128,2048
llama32_3b,4,32,4,hadamard_per_token,channels,7.516618302109038,0.005733365688884763,63053964.42201829,8388608,5441105.195223432,949024620.1759057,128,2048
llama32_3b,4,32,4,nar_per_token,channels,5.882785579767543,0.0035671984349963676,49348382.176722646,8388608,3385359.2428310625,949024649.0407282,128,2048
llama32_3b,4,32,4,kivi_per_channel,tokens,3.757655743359777,0.001640232029005281,31521501.029993773,8388608,1556620.6269105745,949024649.7957898,128,2048
llama32_3b,4,64,4,bf16,channels,12.484986671246588,0.0,52365829.53515625,4194304,0.0,949024649.7957898,128,2048
llama32_3b,4,64,4,identity_per_token,channels,12.484986671246588,0.017442660832159576,52365829.53515625,4194304,16553515.087746982,949024649.7957898,128,2048
llama32_3b,4,64,4,hadamard_per_token,channels,8.394111457786892,0.0073347989885110395,35207455.26384139,4194304,6960904.824468877,949024620.2209744,128,2048
llama32_3b,4,64,4,nar_per_token,channels,7.226891229019543,0.005519668460701775,30311778.789441586,4194304,5238301.430623623,949024650.2880757,128,2048
llama32_3b,4,64,4,kivi_per_channel,tokens,4.387820608048628,0.002256427313715478,18403853.527620792,4194304,2141405.1411884865,949024649.7957898,128,2048
llama32_3b,5,32,4,bf16,channels,8.890017074183561,0.0,74574868.34863281,8388608,0.0,930314937.5115016,128,2048
llama32_3b,5,32,4,identity_per_token,channels,8.890017074183561,0.009696431743873921,74574868.34863281,8388608,9020735.291886607,930314937.5115016,128,2048
llama32_3b,5,32,4,hadamard_per_token,channels,7.609514383315229,0.006030974133873864,63833233.2319932,8388608,5610705.151755503,930314908.8705492,128,2048
llama32_3b,5,32,4,nar_per_token,channels,5.996940403039233,0.0037735200334464546,50305982.24045813,8388608,3510562.058262924,930314938.6109489,128,2048
llama32_3b,5,32,4,kivi_per_channel,tokens,4.030289946254555,0.0019215054136674308,33808522.48547053,8388608,1787605.188844028,930314937.5115016,128,2048
llama32_3b,5,64,4,bf16,channels,12.090027155354619,0.0,50709249.2578125,4194304,0.0,930314937.5115016,128,2048
llama32_3b,5,64,4,identity_per_token,channels,12.090027155354619,0.016825886256041325,50709249.2578125,4194304,15653373.320864718,930314937.5115016,128,2048
llama32_3b,5,64,4,hadamard_per_token,channels,8.487889619850705,0.007676269219973917,35600789.38409829,4194304,7141347.69935353,930314908.8064157,128,2048
llama32_3b,5,64,4,nar_per_token,channels,7.360233881277281,0.005808280815107057,30871058.409176826,4194304,5403530.410275953,930314938.6685355,128,2048
llama32_3b,5,64,4,kivi_per_channel,tokens,4.749313006855687,0.0027176353289929934,19920062.541906834,4194304,2528256.7412711657,930314937.5115016,128,2048
llama32_3b,6,32,4,bf16,channels,9.012109262985177,0.0,75599051.86035156,8388608,0.0,1023389211.4932866,128,2048
llama32_3b,6,32,4,identity_per_token,channels,9.012109262985177,0.008507185194350734,75599051.86035156,8388608,8706161.54807396,1023389211.4932866,128,2048
llama32_3b,6,32,4,hadamard_per_token,channels,7.87892741841398,0.005851414631804723,66093233.57352686,8388608,5988274.421005968,1023389179.8501781,128,2048
llama32_3b,6,32,4,nar_per_token,channels,6.373548391933369,0.0038867704505230194,53465199.02895939,8388608,3977678.9459163914,1023389211.3132483,128,2048
llama32_3b,6,32,4,kivi_per_channel,tokens,4.166199775135226,0.0018241900753726771,34948616.76329756,8388608,1866856.4428495232,1023389211.4932866,128,2048
llama32_3b,6,64,4,bf16,channels,12.097875454463065,0.0,50742167.41015625,4194304,0.0,1023389211.4932866,128,2048
llama32_3b,6,64,4,identity_per_token,channels,12.097875454463065,0.014926229984561024,50742167.41015625,4194304,15275342.734467357,1023389211.4932866,128,2048
llama32_3b,6,64,4,hadamard_per_token,channels,8.878802412239338,0.007617938564794139,37240396.472865105,4194304,7796115.900201558,1023389179.8800867,128,2048
llama32_3b,6,64,4,nar_per_token,channels,7.699916867123363,0.005795126191728308,32295792.11544299,4194304,5930669.626620078,1023389211.9700929,128,2048
llama32_3b,6,64,4,kivi_per_channel,tokens,4.903935279824168,0.0025687746702501148,20568595.359907627,4194304,2628856.2842911924,1023389211.4932866,128,2048
llama32_3b,7,32,4,bf16,channels,10.033290649065748,0.0,84165342.20507812,8388608,0.0,1155009989.276614,128,2048
llama32_3b,7,32,4,identity_per_token,channels,10.033290649065748,0.009643196207768821,84165342.20507812,8388608,11137987.948527351,1155009989.276614,128,2048
llama32_3b,7,32,4,hadamard_per_token,channels,8.35987409307046,0.005832752739396501,70127706.6961236,8388608,6736887.470611352,1155009953.5521197,128,2048
llama32_3b,7,32,4,nar_per_token,channels,6.64323735610391,0.0037882091805656244,55727514.03131211,8388608,4375419.440035923,1155009987.960227,128,2048
llama32_3b,7,32,4,kivi_per_channel,tokens,4.245274686439217,0.0016467438145871987,35611945.196861506,8388608,1902005.5556276906,1155009989.276614,128,2048
llama32_3b,7,64,4,bf16,channels,13.588360016234219,0.0,56993712.76953125,4194304,0.0,1155009989.276614,128,2048
llama32_3b,7,64,4,identity_per_token,channels,13.588360016234219,0.01686804973880516,56993712.76953125,4194304,19482765.94793474,1155009989.276614,128,2048
llama32_3b,7,64,4,hadamard_per_token,channels,9.381196691156163,0.0075472158568278295,39347590.80650306,4194304,8717109.43635887,1155009953.5675342,128,2048
llama32_3b,7,64,4,nar_per_token,channels,8.22278206944469,0.005937361766990916,34488847.72500014,4194304,6857712.150835809,1155009989.278678,128,2048
llama32_3b,7,64,4,kivi_per_channel,tokens,5.014508675447814,0.0023443471899119413,21032373.79546547,4194304,2707744.4226808515,1155009989.276614,128,2048
llama32_3b,8,32,4,bf16,channels,9.575345884950366,0.0,80323823.09326172,8388608,0.0,1090734672.3165724,128,2048
llama32_3b,8,32,4,identity_per_token,channels,9.575345884950366,0.009295548154376079,80323823.09326172,8388608,10138976.670166312,1090734672.3165724,128,2048
llama32_3b,8,32,4,hadamard_per_token,channels,8.239771469973903,0.005979572738208086,69120212.87119484,8388608,6522127.111929938,1090734638.9910195,128,2048
