model,row,site,layer,direction,captured_share,energy_fraction
llama32_3b,hadamard_g256_m2,qkv,0,0,0.0035501683596521616,0.222138911485672
llama32_3b,hadamard_g256_m2,qkv,0,1,0.003358881687745452,0.06658460944890976
llama32_3b,hadamard_g256_m2,qkv,0,2,0.0005084309377707541,0.03843880817294121
llama32_3b,hadamard_g256_m2,qkv,0,3,0.0023378343321383,0.03110792301595211
llama32_3b,hadamard_g256_m2,qkv,0,4,0.0012210010318085551,0.023402320221066475
llama32_3b,hadamard_g256_m2,qkv,0,5,0.0019335236866027117,0.019481446593999863
llama32_3b,hadamard_g256_m2,qkv,0,6,0.0015043424209579825,0.017632920295000076
llama32_3b,hadamard_g256_m2,qkv,0,7,0.00222835224121809,0.01646984927356243
llama32_3b,hadamard_g256_m2,qkv,0,8,0.0012456325348466635,0.01506657525897026
llama32_3b,hadamard_g256_m2,qkv,0,9,0.0017896938370540738,0.013752778992056847
llama32_3b,hadamard_g256_m2,qkv,0,10,0.002982058795168996,0.01296758558601141
llama32_3b,hadamard_g256_m2,qkv,0,11,0.0028147289995104074,0.011910475790500641
llama32_3b,hadamard_g256_m2,qkv,0,12,0.0026430885773152113,0.011486534960567951
llama32_3b,hadamard_g256_m2,qkv,0,13,0.0017799414927139878,0.010241641663014889
llama32_3b,hadamard_g256_m2,qkv,0,14,0.002867685630917549,0.00973620917648077
llama32_3b,hadamard_g256_m2,qkv,0,15,0.001575358328409493,0.008860318921506405
llama32_3b,hadamard_g256_m2,qkv,0,16,0.0023235930129885674,0.008429600857198238
llama32_3b,hadamard_g256_m2,qkv,0,17,0.002421250566840172,0.008188055828213692
llama32_3b,hadamard_g256_m2,qkv,0,18,0.003047033678740263,0.0076202815398573875
llama32_3b,hadamard_g256_m2,qkv,0,19,0.0020967985037714243,0.007222599815577269
llama32_3b,hadamard_g256_m2,qkv,0,20,0.0019408566877245903,0.006789931561797857
llama32_3b,hadamard_g256_m2,qkv,0,21,0.0025847763754427433,0.006467833183705807
llama32_3b,hadamard_g256_m2,qkv,0,22,0.0015975463902577758,0.006023741792887449
llama32_3b,hadamard_g256_m2,qkv,0,23,0.002374946605414152,0.005562898702919483
llama32_3b,hadamard_g256_m2,qkv,0,24,0.0008416869095526636,0.005433965474367142
llama32_3b,hadamard_g256_m2,qkv,0,25,0.001492872484959662,0.005376565270125866
llama32_3b,hadamard_g256_m2,qkv,0,26,0.0013524109963327646,0.004896472208201885
llama32_3b,hadamard_g256_m2,qkv,0,27,0.001060372102074325,0.004524016287177801
llama32_3b,hadamard_g256_m2,qkv,0,28,0.0010916527826339006,0.004485363606363535
llama32_3b,hadamard_g256_m2,qkv,0,29,0.0033989250659942627,0.004229997284710407
llama32_3b,hadamard_g256_m2,qkv,0,30,0.0010487771360203624,0.004201521165668964
llama32_3b,hadamard_g256_m2,qkv,0,31,0.002278268104419112,0.004016894847154617
llama32_3b,hadamard_g256_m2,qkv,0,32,0.0008605612674728036,0.0038468765560537577
llama32_3b,hadamard_g256_m2,qkv,0,33,0.004236225970089436,0.003743968205526471
llama32_3b,hadamard_g256_m2,qkv,0,34,0.0007744099711999297,0.0036015124060213566
llama32_3b,hadamard_g256_m2,qkv,0,35,0.0020062094554305077,0.003305298276245594
llama32_3b,hadamard_g256_m2,qkv,0,36,0.0007188070449046791,0.003269115462899208
llama32_3b,hadamard_g256_m2,qkv,0,37,0.0010339579312130809,0.003180050291121006
llama32_3b,hadamard_g256_m2,qkv,0,38,0.0004336018464528024,0.0030668394174426794
llama32_3b,hadamard_g256_m2,qkv,0,39,0.0015037317061796784,0.0029874646570533514
llama32_3b,hadamard_g256_m2,qkv,0,40,0.001325307646766305,0.0029609198682010174
llama32_3b,hadamard_g256_m2,qkv,0,41,0.0013574123149737716,0.002918059006333351
llama32_3b,hadamard_g256_m2,qkv,0,42,0.0014176304684951901,0.002827124437317252
llama32_3b,hadamard_g256_m2,qkv,0,43,0.0011337798787280917,0.0026988654863089323
llama32_3b,hadamard_g256_m2,qkv,0,44,0.0009387300815433264,0.0026792269200086594
llama32_3b,hadamard_g256_m2,qkv,0,45,0.0018892820226028562,0.00256394874304533
llama32_3b,hadamard_g256_m2,qkv,0,46,0.0034988434053957462,0.002540367655456066
llama32_3b,hadamard_g256_m2,qkv,0,47,0.0010284233139827847,0.0024635305162519217
llama32_3b,hadamard_g256_m2,qkv,1,0,0.008898051455616951,0.3060247302055359
llama32_3b,hadamard_g256_m2,qkv,1,1,0.00869937427341938,0.037823356688022614
llama32_3b,hadamard_g256_m2,qkv,1,2,0.0023038694635033607,0.029123671352863312
llama32_3b,hadamard_g256_m2,qkv,1,3,0.005281605292111635,0.02442617155611515
llama32_3b,hadamard_g256_m2,qkv,1,4,0.0018945451593026519,0.017870411276817322
llama32_3b,hadamard_g256_m2,qkv,1,5,0.002300756284967065,0.014702233485877514
llama32_3b,hadamard_g256_m2,qkv,1,6,0.006828673649579287,0.01399217639118433
llama32_3b,hadamard_g256_m2,qkv,1,7,0.013775033876299858,0.01360792014747858
llama32_3b,hadamard_g256_m2,qkv,1,8,0.0008726318483240902,0.013178498484194279
llama32_3b,hadamard_g256_m2,qkv,1,9,0.0012396695092320442,0.012673670426011086
llama32_3b,hadamard_g256_m2,qkv,1,10,0.0021760971285402775,0.011886514723300934
llama32_3b,hadamard_g256_m2,qkv,1,11,0.0038563734851777554,0.010156601667404175
