model,row,site,group,m,slots,effective_bits,mean_captured_fraction,min_captured_fraction,max_captured_fraction,predicted_range_reduction,directions_measured,window_saturated
llama32_3b,hadamard_g256_m2,qkv,256,2,0,4.1875,0.0012943113501283474,0.000949731795117259,0.0046428656205534935,0.0006473652159255661,48,False
llama32_3b,hadamard_g256_m2,down,256,2,0,4.1875,0.0027965524423702198,2.1805377400596626e-05,0.0076946234330534935,0.001399255178712644,128,False
llama32_3b,hadamard_g256_m3,qkv,256,3,0,4.25,0.0026250640262982677,0.0017247612122446299,0.0073005869053304195,0.0013133945157260962,48,False
llama32_3b,hadamard_g256_m3,down,256,3,0,4.25,0.004319362717329308,3.185754030710086e-05,0.01367510948330164,0.0021620185207066323,128,False
llama32_3b,nar_g64_m1,qkv,64,1,48,4.5,0.47445183247327805,0.41828665137290955,0.7050295472145081,0.275052989849105,48,True
llama32_3b,nar_g64_m1,down,64,1,128,4.5,0.3728812890393393,0.25787660479545593,0.9878207445144653,0.208091728190278,128,True
llama32_3b,nar_g128_m1,qkv,128,1,24,4.25,0.3973347246646881,0.3498486280441284,0.5995404124259949,0.22368480928471335,48,False
llama32_3b,nar_g128_m1,down,128,1,64,4.25,0.3193787102188383,0.20441193878650665,0.9869748950004578,0.17500224862054226,128,False
llama32_3b,nar_g256_m1,qkv,256,1,12,4.125,0.32113753259181976,0.2814405858516693,0.5054659247398376,0.1760688940159012,48,False
llama32_3b,nar_g256_m1,down,256,1,32,4.125,0.26951862233025686,0.15509507060050964,0.9862277507781982,0.1453179669200111,128,False
llama32_3b,nar_g256_m2,qkv,256,2,24,4.1875,0.39733472785779406,0.3498486578464508,0.5995404124259949,0.2236848113412917,48,False
llama32_3b,nar_g256_m2,down,256,2,64,4.1875,0.3193787192659719,0.20441195368766785,0.9869748950004578,0.17500225410366832,128,False
llama32_3b,nar_g256_m3,qkv,256,3,36,4.25,0.4435474042381559,0.3902117609977722,0.662286639213562,0.2540424973486465,48,False
llama32_3b,nar_g256_m3,down,256,3,96,4.25,0.35080115337456974,0.23575133085250854,0.9874683618545532,0.1942712325941004,128,False
llama32_3b,nar_g128_m2,qkv,128,2,48,4.375,0.4744518282158034,0.41828665137290955,0.7050296068191528,0.27505298691270097,48,True
llama32_3b,nar_g128_m2,down,128,2,128,4.375,0.3728812847818647,0.25787660479545593,0.9878207445144653,0.20809172550216704,128,True
