model,row,site,layer,group,m,slots,effective_bits,rows_used,mean_group_range,hadamard_reference_range,range_ratio_vs_hadamard,measured_range_reduction,absorbed_energy_fraction,sqrt_one_minus_f,predicted_range_reduction
llama32_3b,hadamard_g64_m1,qkv,0,64,1,0,4.5,4096,0.604824423789978,0.604824423789978,1.0,0.0,0.003406270407140255,0.9982954119862816,0.0017045880137184222
llama32_3b,hadamard_g128_m1,qkv,0,128,1,0,4.25,4096,0.6673904657363892,0.6673904657363892,1.0,0.0,0.0017012041062116623,0.9991490358769248,0.0008509641230751708
llama32_3b,hadamard_g256_m1,qkv,0,256,1,0,4.125,4096,0.7252391576766968,0.7252391576766968,1.0,0.0,0.0013825915521010756,0.9993084651137,0.000691534886300027
llama32_3b,hadamard_g256_m2,qkv,0,256,2,0,4.1875,4096,0.7250369787216187,0.7252391576766968,0.9997212244361904,0.00027877556380960614,0.0017012041062116623,0.9991490358769248,0.0008509641230751708
llama32_3b,hadamard_g256_m3,qkv,0,256,3,0,4.25,4096,0.7244430780410767,0.7252391576766968,0.9989023212174997,0.0010976787825003242,0.0023914563935250044,0.9988035560641917,0.0011964439358083112
llama32_3b,nar_g64_m1,qkv,0,64,1,48,4.5,4096,0.2616528868675232,0.604824423789978,0.4326096575729236,0.5673903424270764,0.6714017987251282,0.5732348569956923,0.4267651430043077
llama32_3b,nar_g128_m1,qkv,0,128,1,24,4.25,4096,0.3198602795600891,0.6673904657363892,0.47927007648687314,0.5207299235131269,0.5855838656425476,0.6437516092076605,0.3562483907923395
llama32_3b,nar_g256_m1,qkv,0,256,1,12,4.125,4096,0.39500635862350464,0.7252391576766968,0.5446566893725199,0.45534331062748007,0.48895418643951416,0.7148746838156222,0.28512531618437775
llama32_3b,nar_g256_m2,qkv,0,256,2,24,4.1875,4096,0.34991002082824707,0.7252391576766968,0.4824753560593496,0.5175246439406503,0.5855838656425476,0.6437516092076605,0.3562483907923395
llama32_3b,nar_g256_m3,qkv,0,256,3,36,4.25,4096,0.3305947184562683,0.7252391576766968,0.45584234518628075,0.5441576548137192,0.637246310710907,0.6022903695802325,0.3977096304197675
llama32_3b,nar_g128_m2,qkv,0,128,2,48,4.375,4096,0.2905980944633484,0.6673904657363892,0.43542440202933763,0.5645755979706624,0.6714017987251282,0.5732348569956923,0.4267651430043077
llama32_3b,nar_g128_m2_c32,qkv,0,128,2,48,4.375,4096,0.2905980944633484,0.6673904657363892,0.43542440202933763,0.5645755979706624,0.6714017987251282,0.5732348569956923,0.4267651430043077
llama32_3b,nar_g256_m3_c32,qkv,0,256,3,36,4.25,4096,0.3305947184562683,0.7252391576766968,0.45584234518628075,0.5441576548137192,0.637246310710907,0.6022903695802325,0.3977096304197675
llama32_3b,hadamard_g64_m1,qkv,4,64,1,0,4.5,4096,1.6005239486694336,1.6005239486694336,1.0,0.0,0.0025488389655947685,0.9987247674081209,0.0012752325918791163
llama32_3b,hadamard_g128_m1,qkv,4,128,1,0,4.25,4096,1.7702159881591797,1.7702159881591797,1.0,0.0,0.0009497317369095981,0.9995250213291763,0.00047497867082368916
llama32_3b,hadamard_g256_m1,qkv,4,256,1,0,4.125,4096,1.9273231029510498,1.9273231029510498,1.0,0.0,0.00037357109249569476,0.9998131970060729,0.00018680299392714872
llama32_3b,hadamard_g256_m2,qkv,4,256,2,0,4.1875,4096,1.9250304698944092,1.9273231029510498,0.998810457336847,0.0011895426631529636,0.000949731795117259,0.9995250213000587,0.0004749786999412864
llama32_3b,hadamard_g256_m3,qkv,4,256,3,0,4.25,4096,1.9217599630355835,1.9273231029510498,0.9971135405854118,0.0028864594145881525,0.0020697901491075754,0.9989645688666302,0.0010354311333697908
llama32_3b,nar_g64_m1,qkv,4,64,1,48,4.5,4096,1.102092981338501,1.6005239486694336,0.6885826246178358,0.31141737538216413,0.4815629720687866,0.720025713381969,0.27997428661803103
llama32_3b,nar_g128_m1,qkv,4,128,1,24,4.25,4096,1.2744472026824951,1.7702159881591797,0.7199388160581315,0.2800611839418685,0.4108272194862366,0.767575911889999,0.23242408811000104
llama32_3b,nar_g256_m1,qkv,4,256,1,12,4.125,4096,1.4372470378875732,1.9273231029510498,0.7457218956629071,0.25427810433709286,0.3474588096141815,0.8078002168765607,0.19219978312343933
llama32_3b,nar_g256_m2,qkv,4,256,2,24,4.1875,4096,1.387206792831421,1.9273231029510498,0.7197582962126995,0.28024170378730046,0.4108272194862366,0.767575911889999,0.23242408811000104
llama32_3b,nar_g256_m3,qkv,4,256,3,36,4.25,4096,1.3523492813110352,1.9273231029510498,0.7016723242928833,0.29832767570711666,0.4520360231399536,0.7402458894583923,0.2597541105416077
llama32_3b,nar_g128_m2,qkv,4,128,2,48,4.375,4096,1.2168681621551514,1.7702159881591797,0.6874122538123463,0.3125877461876537,0.4815629720687866,0.720025713381969,0.27997428661803103
llama32_3b,nar_g128_m2_c32,qkv,4,128,2,48,4.375,4096,1.2168681621551514,1.7702159881591797,0.6874122538123463,0.3125877461876537,0.4815629720687866,0.720025713381969,0.27997428661803103
llama32_3b,nar_g256_m3_c32,qkv,4,256,3,36,4.25,4096,1.3523492813110352,1.9273231029510498,0.7016723242928833,0.29832767570711666,0.4520360231399536,0.7402458894583923,0.2597541105416077
llama32_3b,hadamard_g64_m1,qkv,8,64,1,0,4.5,4096,1.910297155380249,1.910297155380249,1.0,0.0,0.0022967299446463585,0.9988509748983347,0.0011490251016652575
llama32_3b,hadamard_g128_m1,qkv,8,128,1,0,4.25,4096,2.1120352745056152,2.1120352745056152,1.0,0.0,0.0009761903202161193,0.9995117856632727,0.0004882143367272995
llama32_3b,hadamard_g256_m1,qkv,8,256,1,0,4.125,4096,2.298367977142334,2.298367977142334,1.0,0.0,0.0004698594275396317,0.99976504268376,0.00023495731624001426
llama32_3b,hadamard_g256_m2,qkv,8,256,2,0,4.1875,4096,2.295360565185547,2.298367977142334,0.9986915011056992,0.0013084988943007996,0.0009761903202161193,0.9995117856632727,0.0004882143367272995
llama32_3b,hadamard_g256_m3,qkv,8,256,3,0,4.25,4096,2.291625738143921,2.298367977142334,0.9970665102083454,0.002933489791654694,0.0019968044944107533,0.9990010988510419,0.0009989011489580646
llama32_3b,nar_g64_m1,qkv,8,64,1,48,4.5,4096,1.3789314031600952,1.910297155380249,0.7218413110632601,0.2781586889367399,0.46307724714279175,0.7327501298923176,0.2672498701076824
llama32_3b,nar_g128_m1,qkv,8,128,1,24,4.25,4096,1.5909745693206787,2.1120352745056152,0.7532897714945096,0.24671022850549043,0.394235759973526,0.7783085763541823,0.22169142364581773
llama32_3b,nar_g256_m1,qkv,8,256,1,12,4.125,4096,1.798675537109375,2.298367977142334,0.7825881473278055,0.21741185267219457,0.3242967426776886,0.8220117136162425,0.17798828638375752
llama32_3b,nar_g256_m2,qkv,8,256,2,24,4.1875,4096,1.7304843664169312,2.298367977142334,0.7529187595837119,0.24708124041628812,0.3942357301712036,0.7783085954997518,0.22169140450024816
llama32_3b,nar_g256_m3,qkv,8,256,3,36,4.25,4096,1.6849673986434937,2.298367977142334,0.7331147211416036,0.2668852788583964,0.4355532228946686,0.7512967303970725,0.24870326960292755
llama32_3b,nar_g128_m2,qkv,8,128,2,48,4.375,4096,1.522216558456421,2.1120352745056152,0.7207344388756675,0.27926556112433254,0.46307724714279175,0.7327501298923176,0.2672498701076824
llama32_3b,nar_g128_m2_c32,qkv,8,128,2,48,4.375,4096,1.522216558456421,2.1120352745056152,0.7207344388756675,0.27926556112433254,0.46307724714279175,0.7327501298923176,0.2672498701076824
llama32_3b,nar_g256_m3_c32,qkv,8,256,3,36,4.25,4096,1.6849673986434937,2.298367977142334,0.7331147211416036,0.2668852788583964,0.4355532228946686,0.7512967303970725,0.24870326960292755
llama32_3b,hadamard_g64_m1,qkv,12,64,1,0,4.5,4096,2.129105806350708,2.129105806350708,1.0,0.0,0.004008430056273937,0.9979937724974671,0.0020062275025328757
llama32_3b,hadamard_g128_m1,qkv,12,128,1,0,4.25,4096,2.3566031455993652,2.3566031455993652,1.0,0.0,0.0009607321699149907,0.9995195184837988,0.00048048151620116997
llama32_3b,hadamard_g256_m1,qkv,12,256,1,0,4.125,4096,2.5631115436553955,2.5631115436553955,1.0,0.0,0.0005577189149335027,0.9997211016503885,0.0002788983496114783
llama32_3b,hadamard_g256_m2,qkv,12,256,2,0,4.1875,4096,2.559967041015625,2.5631115436553955,0.9987731698031035,0.0012268301968965261,0.0009607321699149907,0.9995195184837988,0.00048048151620116997
llama32_3b,hadamard_g256_m3,qkv,12,256,3,0,4.25,4096,2.5544095039367676,2.5631115436553955,0.996604892307489,0.0033951076925109033,0.003748716553673148,0.9981238818134385,0.0018761181865615262
llama32_3b,nar_g64_m1,qkv,12,64,1,48,4.5,4096,1.5270650386810303,2.129105806350708,0.7172330440911356,0.28276695590886436,0.4939005970954895,0.7114066368150571,0.2885933631849429
llama32_3b,nar_g128_m1,qkv,12,128,1,24,4.25,4096,1.7705281972885132,2.3566031455993652,0.7513051998571474,0.24869480014285267,0.42318445444107056,0.759483736204357,0.24051626379564295
llama32_3b,nar_g256_m1,qkv,12,256,1,12,4.125,4096,2.023221969604492,2.5631115436553955,0.7893616548264081,0.21063834517359195,0.3309481143951416,0.817955919108639,0.18204408089136104
llama32_3b,nar_g256_m2,qkv,12,256,2,24,4.1875,4096,1.9286160469055176,2.5631115436553955,0.7524510791110601,0.24754892088893982,0.42318445444107056,0.759483736204357,0.24051626379564295
llama32_3b,nar_g256_m3,qkv,12,256,3,36,4.25,4096,1.8695859909057617,2.5631115436553955,0.7294204559819669,0.2705795440180331,0.46792155504226685,0.7294370740219701,0.2705629259780299
llama32_3b,nar_g128_m2,qkv,12,128,2,48,4.375,4096,1.6850759983062744,2.3566031455993652,0.7150444492331787,0.28495555076682133,0.4939005672931671,0.7114066577611099,0.2885933422388901
llama32_3b,nar_g128_m2_c32,qkv,12,128,2,48,4.375,4096,1.6850759983062744,2.3566031455993652,0.7150444492331787,0.28495555076682133,0.4939005672931671,0.7114066577611099,0.2885933422388901
llama32_3b,nar_g256_m3_c32,qkv,12,256,3,36,4.25,4096,1.8695859909057617,2.5631115436553955,0.7294204559819669,0.2705795440180331,0.46792155504226685,0.7294370740219701,0.2705629259780299
