model,row,seed,site,round_trip_relative_error,tolerance
llama32_3b,hadamard_g64_m1,0,qkv,1.467191452775296e-07,1e-06
llama32_3b,hadamard_g64_m1,0,down,1.474291337899558e-07,1e-06
llama32_3b,hadamard_g64_m1,1,qkv,1.460367400341056e-07,1e-06
llama32_3b,hadamard_g64_m1,1,down,1.4769513256851496e-07,1e-06
llama32_3b,hadamard_g64_m1,2,qkv,1.4771588041639916e-07,1e-06
llama32_3b,hadamard_g64_m1,2,down,1.4800868086695118e-07,1e-06
llama32_3b,hadamard_g128_m1,0,qkv,1.4742563791969587e-07,1e-06
llama32_3b,hadamard_g128_m1,0,down,1.4785261726046883e-07,1e-06
llama32_3b,hadamard_g128_m1,1,qkv,1.463705530113657e-07,1e-06
llama32_3b,hadamard_g128_m1,1,down,1.472989055173457e-07,1e-06
llama32_3b,hadamard_g128_m1,2,qkv,1.472000974445109e-07,1e-06
llama32_3b,hadamard_g128_m1,2,down,1.4839481821127265e-07,1e-06
llama32_3b,hadamard_g256_m1,0,qkv,1.4632776412781823e-07,1e-06
llama32_3b,hadamard_g256_m1,0,down,1.4761192801415746e-07,1e-06
llama32_3b,hadamard_g256_m1,1,qkv,1.4676143678116205e-07,1e-06
llama32_3b,hadamard_g256_m1,1,down,1.4828654570919753e-07,1e-06
llama32_3b,hadamard_g256_m1,2,qkv,1.4713658913478866e-07,1e-06
llama32_3b,hadamard_g256_m1,2,down,1.484074800828239e-07,1e-06
llama32_3b,hadamard_g256_m2,0,qkv,1.4653120672392106e-07,1e-06
llama32_3b,hadamard_g256_m2,0,down,1.4748535193120915e-07,1e-06
llama32_3b,hadamard_g256_m2,1,qkv,1.4759291389054852e-07,1e-06
llama32_3b,hadamard_g256_m2,1,down,1.4741587506250653e-07,1e-06
llama32_3b,hadamard_g256_m2,2,qkv,1.4714282770000864e-07,1e-06
llama32_3b,hadamard_g256_m2,2,down,1.4700884776175371e-07,1e-06
llama32_3b,hadamard_g256_m3,0,qkv,1.4758026622985199e-07,1e-06
llama32_3b,hadamard_g256_m3,0,down,1.4708039941524476e-07,1e-06
llama32_3b,hadamard_g256_m3,1,qkv,1.4684631821637595e-07,1e-06
llama32_3b,hadamard_g256_m3,1,down,1.474185609140477e-07,1e-06
llama32_3b,hadamard_g256_m3,2,qkv,1.4685633686895017e-07,1e-06
llama32_3b,hadamard_g256_m3,2,down,1.4854504115646705e-07,1e-06
llama32_3b,nar_g64_m1,0,qkv,2.172207445028107e-07,1e-06
llama32_3b,nar_g64_m1,0,down,3.149013991787797e-07,1e-06
llama32_3b,nar_g64_m1,1,qkv,2.1472841638114915e-07,1e-06
llama32_3b,nar_g64_m1,1,down,3.107125507995079e-07,1e-06
llama32_3b,nar_g64_m1,2,qkv,2.1683592876797775e-07,1e-06
llama32_3b,nar_g64_m1,2,down,3.1681071277489536e-07,1e-06
llama32_3b,nar_g128_m1,0,qkv,1.78191200461697e-07,1e-06
llama32_3b,nar_g128_m1,0,down,2.447017664053419e-07,1e-06
llama32_3b,nar_g128_m1,1,qkv,1.78627558966582e-07,1e-06
llama32_3b,nar_g128_m1,1,down,2.415422102330922e-07,1e-06
llama32_3b,nar_g128_m1,2,qkv,1.8000370971549273e-07,1e-06
llama32_3b,nar_g128_m1,2,down,2.434536270357057e-07,1e-06
llama32_3b,nar_g256_m1,0,qkv,1.4896170341671677e-07,1e-06
llama32_3b,nar_g256_m1,0,down,1.896894303854424e-07,1e-06
llama32_3b,nar_g256_m1,1,qkv,1.4722294849889295e-07,1e-06
llama32_3b,nar_g256_m1,1,down,1.8950744617995952e-07,1e-06
llama32_3b,nar_g256_m1,2,qkv,1.4847840645870747e-07,1e-06
llama32_3b,nar_g256_m1,2,down,1.8806068169396895e-07,1e-06
llama32_3b,nar_g256_m2,0,qkv,1.795533819404227e-07,1e-06
llama32_3b,nar_g256_m2,0,down,2.3830558859572193e-07,1e-06
llama32_3b,nar_g256_m2,1,qkv,1.7421814391127555e-07,1e-06
llama32_3b,nar_g256_m2,1,down,2.4114785901474534e-07,1e-06
llama32_3b,nar_g256_m2,2,qkv,1.7619200320950767e-07,1e-06
llama32_3b,nar_g256_m2,2,down,2.4137662535395066e-07,1e-06
llama32_3b,nar_g256_m3,0,qkv,2.022757001896025e-07,1e-06
llama32_3b,nar_g256_m3,0,down,2.830956304933352e-07,1e-06
llama32_3b,nar_g256_m3,1,qkv,2.0251084720257495e-07,1e-06
llama32_3b,nar_g256_m3,1,down,2.8172115662528086e-07,1e-06
llama32_3b,nar_g256_m3,2,qkv,1.995801994780777e-07,1e-06
llama32_3b,nar_g256_m3,2,down,2.8200813062539964e-07,1e-06
llama32_3b,nar_g128_m2,0,qkv,2.2272789124144765e-07,1e-06
llama32_3b,nar_g128_m2,0,down,3.1944685474627477e-07,1e-06
llama32_3b,nar_g128_m2,1,qkv,2.242290406684333e-07,1e-06
llama32_3b,nar_g128_m2,1,down,3.1917528531266726e-07,1e-06
llama32_3b,nar_g128_m2,2,qkv,2.2187479942203936e-07,1e-06
llama32_3b,nar_g128_m2,2,down,3.20853018820344e-07,1e-06
