model,row,method,group,m,coeff,bit_accounted,effective_bits,slots,seeds,mean_ppl,seed_ppl_std,ppl_delta_vs_bf16,paired_delta_vs_nar_g128_m1,paired_90ci_low,paired_90ci_high,seed_ppls
llama32_3b,bf16,bf16,0,0,,,16.0,0,1,7.616752022439199,0.0,0.0,nan,nan,nan,7.616752
llama32_3b,hadamard_g128_m1,hadamard,128,1,,,4.25,0,3,7.770807865215864,0.0033954969133235926,0.15405584277666495,0.057650417489193195,0.048657252600738526,0.06664358237764786,7.774709 7.769198 7.768516
llama32_3b,hadamard_g256_m1,hadamard,256,1,,,4.125,0,3,7.790031166232037,0.012857432075347855,0.17327914379283804,0.07687371850536658,0.051376135913340046,0.1023713010973931,7.802559 7.790667 7.776868
llama32_3b,hadamard_g256_m2,hadamard,256,2,,,4.1875,0,3,7.791242825602765,0.007216035502736823,0.17449080316356635,0.07808537787609489,0.05879700269948955,0.09737375305270023,7.789523 7.799163 7.785042
llama32_3b,hadamard_g256_m3,hadamard,256,3,,,4.25,0,3,7.788981080611163,0.005691574639588226,0.17222905817196388,0.07582363288449241,0.059673058469281386,0.09197420729970343,7.784906 7.795484 7.786554
llama32_3b,hadamard_g64_m1,hadamard,64,1,,,4.5,0,3,7.7374116693654456,0.005431290687405321,0.12065964692624664,0.02425422163877459,0.007966137386965833,0.04054230589058335,7.736827 7.743112 7.732297
llama32_3b,nar_g128_m1,nar,128,1,,,4.25,64,3,7.71315744772667,0.004232373660426916,0.09640542528747087,nan,nan,nan,7.713815 7.708635 7.717023
llama32_3b,nar_g128_m2,nar,128,2,,,4.375,128,3,7.704236462720888,0.008239837212915786,0.08748444028168922,-0.008920985005783422,-0.016848589135107683,-0.0009933808764591608,7.701563 7.697665 7.713481
llama32_3b,nar_g128_m2_c32,nar,128,2,fp32,False,4.375,128,3,7.704386849865643,0.007022276962205137,0.08763482742644424,-0.008770597861027222,-0.01552098635994505,-0.002020209362109394,7.701242 7.699486 7.712432
llama32_3b,nar_g256_m1,nar,256,1,,,4.125,32,3,7.739518233777171,0.008982668025966003,0.12276621133797239,0.02636078605050063,0.01826587466024206,0.0344556974407592,7.742070 7.729536 7.746949
llama32_3b,nar_g256_m2,nar,256,2,,,4.1875,64,3,7.726741961494824,0.002826749662215948,0.10998993905562493,0.013584513768153469,0.002428316236937157,0.02474071129936978,7.724266 7.729822 7.726138
llama32_3b,nar_g256_m3,nar,256,3,,,4.25,96,3,7.725288991346312,0.004839746218645434,0.10853696890711273,0.012131543619641269,0.007301040588797822,0.016962046650484716,7.729155 7.719861 7.726851
llama32_3b,nar_g256_m3_c32,nar,256,3,fp32,False,4.25,96,3,7.729383509328064,0.0032394686595569534,0.11263148688886471,0.016226061601393244,0.013249992208026777,0.01920213099475971,7.728415 7.726739 7.732997
llama32_3b,nar_g64_m1,nar,64,1,,,4.5,128,3,7.684924881276758,0.00444895294330849,0.06817285883755897,-0.028232566449911605,-0.03815244230215754,-0.018312690597665673,7.679908 7.686476 7.688390
