model,site,method,seed,E5_ppl,E27_ppl,hardware_replay_ppl_delta
llama32_3b,qkv_only,A_full,20260902,7.645476709588533,7.645476709588533,0.0
llama32_3b,qkv_only,A_full,20260903,7.636404619438118,7.636404619438118,0.0
llama32_3b,qkv_only,A_full,20260904,7.643102323589634,7.643102323589634,0.0
llama32_3b,qkv_only,hadamard,20260902,7.662650163505278,7.662650163505278,0.0
llama32_3b,qkv_only,hadamard,20260903,7.657007207929261,7.657007207929261,0.0
llama32_3b,qkv_only,hadamard,20260904,7.656147126213181,7.656147126213181,0.0
llama32_3b,both,A_full,20260902,7.715191233691403,7.715191233691403,0.0
llama32_3b,both,A_full,20260903,7.695009390507365,7.695009390507365,0.0
llama32_3b,both,A_full,20260904,7.705643801900256,7.705643801900256,0.0
llama32_3b,both,hadamard,20260902,7.767210515964804,7.767210515964804,0.0
llama32_3b,both,hadamard,20260903,7.778210023499892,7.778210023499892,0.0
llama32_3b,both,hadamard,20260904,7.767967437555272,7.767967437555272,0.0
llama32_3b,down_only,A_full,20260902,7.673702017480185,7.673702017480185,0.0
llama32_3b,down_only,A_full,20260903,7.67653727648315,7.67653727648315,0.0
llama32_3b,down_only,A_full,20260904,7.67592547529067,7.67592547529067,0.0
llama32_3b,down_only,hadamard,20260902,7.7103123128519915,7.7103123128519915,0.0
llama32_3b,down_only,hadamard,20260903,7.711663553933813,7.711663553933813,0.0
llama32_3b,down_only,hadamard,20260904,7.7157440354380995,7.7157440354380995,0.0
